predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_vaccine_type,plus_days_since_first_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,3.06 [1.72-5.45],3.06 [1.72-5.45],3.05 [1.72-5.43],3.06 [1.72-5.46],2.94 [1.64-5.25],3.03 [1.69-5.42]
Age group,25-34,1.44 [1.07-1.95],1.44 [1.07-1.95],1.44 [1.07-1.95],1.44 [1.06-1.95],1.35 [0.99-1.84],1.41 [1.04-1.93]
Age group,45-54,0.91 [0.75-1.1],0.91 [0.75-1.1],0.93 [0.76-1.13],0.96 [0.79-1.17],0.98 [0.8-1.19],0.97 [0.79-1.18]
Age group,55-64,0.76 [0.64-0.9],0.76 [0.64-0.9],0.78 [0.66-0.93],0.82 [0.68-0.98],0.88 [0.73-1.05],1.02 [0.85-1.22]
Age group,65-74,0.73 [0.57-0.93],0.73 [0.57-0.93],0.75 [0.58-0.96],0.78 [0.6-1],0.79 [0.62-1.02],1.03 [0.79-1.34]
Age group,74+,0.54 [0.34-0.87],0.54 [0.34-0.87],0.53 [0.33-0.85],0.56 [0.35-0.91],0.35 [0.21-0.58],0.3 [0.18-0.5]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.77 [0.71-0.84],0.79 [0.72-0.86],0.79 [0.72-0.86],0.78 [0.72-0.85],0.79 [0.73-0.87],0.79 [0.72-0.87]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,2.78 [1.96-3.96],2.52 [1.76-3.59],2.57 [1.8-3.67],2.57 [1.8-3.67],2.52 [1.76-3.6],2.55 [1.78-3.64]
Ethnicity,Black,1.98 [1.19-3.3],2 [1.2-3.34],2 [1.2-3.33],2 [1.2-3.33],2.02 [1.21-3.37],2.11 [1.26-3.53]
Ethnicity,Mixed,0.98 [0.63-1.53],0.89 [0.57-1.39],0.88 [0.56-1.37],0.88 [0.56-1.37],0.87 [0.56-1.37],0.92 [0.58-1.44]
Ethnicity,Other,3.41 [1.77-6.58],3.23 [1.67-6.24],3.21 [1.66-6.21],3.21 [1.66-6.21],3.19 [1.65-6.18],3.36 [1.73-6.52]
Vaccine type,AstraZeneca/Oxford [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Vaccine type,Don't know,0.48 [0.17-1.33],0.5 [0.18-1.41],0.51 [0.18-1.45],0.5 [0.17-1.43],0.5 [0.17-1.43],0.45 [0.16-1.32]
Vaccine type,Moderna,9.9 [2.4-40.78],9.63 [2.33-39.81],9.71 [2.35-40.14],9.53 [2.3-39.44],9.53 [2.3-39.44],6.92 [1.67-28.71]
Vaccine type,Pfizer/BioNTech,2.12 [1.77-2.54],2.14 [1.76-2.6],2.11 [1.73-2.56],2.1 [1.73-2.56],2.1 [1.73-2.56],1.9 [1.56-2.31]
