predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,3.06 [1.72-5.45],3.06 [1.72-5.45],3.05 [1.72-5.43],3.06 [1.72-5.46],3.21 [1.68-6.13],3.12 [1.63-5.97],3.16 [1.65-6.07],3.17 [1.65-6.07],3.17 [1.65-6.07],3.18 [1.66-6.09],3.18 [1.66-6.09],3.18 [1.66-6.1],3.18 [1.66-6.09],3.17 [1.65-6.07],3.2 [1.67-6.13],3.25 [1.69-6.23],3.25 [1.69-6.23],3.25 [1.69-6.23],3.26 [1.7-6.24],3.24 [1.69-6.21],3.29 [1.71-6.32],3.29 [1.71-6.32],3.29 [1.71-6.33],3.35 [1.74-6.45]
Age group,25-34,1.44 [1.07-1.95],1.44 [1.07-1.95],1.44 [1.07-1.95],1.44 [1.06-1.95],1.36 [0.98-1.88],1.35 [0.97-1.87],1.35 [0.97-1.87],1.35 [0.97-1.88],1.35 [0.97-1.88],1.35 [0.97-1.88],1.35 [0.97-1.88],1.35 [0.97-1.88],1.36 [0.98-1.88],1.35 [0.97-1.87],1.35 [0.97-1.87],1.36 [0.98-1.9],1.36 [0.98-1.89],1.36 [0.98-1.89],1.37 [0.99-1.9],1.39 [1-1.93],1.39 [1-1.93],1.4 [1.01-1.95],1.4 [1.01-1.95],1.44 [1.03-2.01]
Age group,45-54,0.91 [0.75-1.1],0.91 [0.75-1.1],0.93 [0.76-1.13],0.96 [0.79-1.17],0.94 [0.76-1.16],0.95 [0.77-1.17],0.95 [0.77-1.17],0.95 [0.77-1.18],0.95 [0.77-1.17],0.95 [0.77-1.17],0.95 [0.77-1.18],0.95 [0.77-1.18],0.95 [0.77-1.18],0.95 [0.77-1.17],0.95 [0.77-1.17],0.94 [0.76-1.16],0.94 [0.76-1.16],0.94 [0.76-1.16],0.93 [0.76-1.16],0.92 [0.75-1.14],0.92 [0.74-1.13],0.91 [0.73-1.13],0.91 [0.73-1.13],0.91 [0.73-1.12]
Age group,55-64,0.76 [0.64-0.9],0.76 [0.64-0.9],0.78 [0.66-0.93],0.82 [0.68-0.98],0.8 [0.66-0.97],0.8 [0.66-0.97],0.81 [0.67-0.98],0.81 [0.67-0.98],0.81 [0.67-0.98],0.81 [0.67-0.98],0.81 [0.67-0.98],0.81 [0.67-0.98],0.81 [0.67-0.98],0.81 [0.67-0.98],0.8 [0.66-0.97],0.79 [0.65-0.96],0.79 [0.65-0.96],0.79 [0.65-0.96],0.79 [0.65-0.96],0.78 [0.64-0.94],0.77 [0.64-0.94],0.76 [0.63-0.93],0.76 [0.63-0.93],0.91 [0.75-1.11]
Age group,65-74,0.73 [0.57-0.93],0.73 [0.57-0.93],0.75 [0.58-0.96],0.78 [0.6-1],0.77 [0.59-1.01],0.76 [0.58-1],0.82 [0.62-1.07],0.82 [0.62-1.08],0.82 [0.63-1.08],0.83 [0.63-1.09],0.83 [0.63-1.1],0.83 [0.63-1.09],0.83 [0.63-1.1],0.83 [0.63-1.09],0.83 [0.63-1.09],0.81 [0.62-1.07],0.81 [0.62-1.07],0.81 [0.62-1.07],0.82 [0.62-1.07],0.81 [0.61-1.07],0.8 [0.61-1.05],0.79 [0.6-1.04],0.79 [0.6-1.04],1.04 [0.78-1.39]
Age group,74+,0.54 [0.34-0.87],0.54 [0.34-0.87],0.53 [0.33-0.85],0.56 [0.35-0.91],0.57 [0.35-0.94],0.55 [0.33-0.9],0.71 [0.42-1.18],0.71 [0.42-1.18],0.71 [0.42-1.19],0.72 [0.43-1.2],0.72 [0.43-1.21],0.72 [0.43-1.21],0.73 [0.43-1.22],0.73 [0.43-1.23],0.74 [0.44-1.24],0.72 [0.43-1.21],0.72 [0.43-1.2],0.72 [0.43-1.21],0.72 [0.43-1.21],0.71 [0.42-1.19],0.7 [0.41-1.17],0.68 [0.4-1.15],0.68 [0.4-1.15],0.54 [0.32-0.91]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.77 [0.71-0.84],0.79 [0.72-0.86],0.79 [0.72-0.86],0.78 [0.72-0.85],0.76 [0.69-0.84],0.76 [0.69-0.84],0.76 [0.69-0.83],0.76 [0.69-0.83],0.76 [0.69-0.83],0.76 [0.69-0.83],0.76 [0.69-0.83],0.76 [0.69-0.83],0.76 [0.69-0.83],0.76 [0.69-0.83],0.75 [0.68-0.83],0.74 [0.68-0.82],0.74 [0.67-0.82],0.74 [0.68-0.82],0.74 [0.67-0.82],0.74 [0.67-0.81],0.73 [0.67-0.81],0.73 [0.66-0.8],0.73 [0.66-0.8],0.73 [0.66-0.8]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
