predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_vaccine_type,plus_days_since_second_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,1.12 [0.7-1.78],1.12 [0.7-1.78],1.1 [0.69-1.75],1.09 [0.68-1.73],1.07 [0.67-1.7],1.11 [0.7-1.79],1.1 [0.69-1.77]
Age group,25-34,1.53 [1.07-2.17],1.53 [1.07-2.17],1.54 [1.08-2.19],1.52 [1.07-2.16],1.48 [1.04-2.1],1.53 [1.07-2.19],1.54 [1.08-2.21]
Age group,45-54,0.64 [0.5-0.81],0.64 [0.5-0.81],0.65 [0.51-0.82],0.64 [0.51-0.82],0.64 [0.51-0.82],0.67 [0.53-0.86],0.68 [0.53-0.86]
Age group,55-64,0.45 [0.37-0.55],0.45 [0.37-0.55],0.47 [0.38-0.57],0.47 [0.38-0.58],0.47 [0.39-0.58],0.54 [0.44-0.67],0.54 [0.43-0.66]
Age group,65-74,0.3 [0.24-0.36],0.3 [0.24-0.36],0.32 [0.26-0.39],0.32 [0.26-0.39],0.34 [0.28-0.41],0.48 [0.39-0.59],0.44 [0.36-0.54]
Age group,74+,0.28 [0.23-0.34],0.28 [0.23-0.34],0.3 [0.24-0.37],0.3 [0.24-0.37],0.32 [0.26-0.39],0.34 [0.27-0.42],0.34 [0.28-0.42]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.68 [0.65-0.71],0.73 [0.7-0.77],0.73 [0.7-0.77],0.73 [0.7-0.77],0.74 [0.7-0.77],0.75 [0.72-0.79],0.74 [0.71-0.78]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,1.27 [1.11-1.44],1.07 [0.94-1.22],1.11 [0.98-1.27],1.11 [0.98-1.27],1.1 [0.97-1.26],1.01 [0.88-1.16],1.06 [0.93-1.22]
Ethnicity,Black,1.06 [0.86-1.31],0.88 [0.71-1.09],0.9 [0.73-1.11],0.9 [0.73-1.11],0.87 [0.71-1.08],0.86 [0.69-1.07],0.87 [0.7-1.09]
Ethnicity,Mixed,1.51 [1.09-2.1],1.12 [0.81-1.57],1.12 [0.8-1.56],1.12 [0.8-1.56],1.12 [0.81-1.57],1.12 [0.79-1.57],1.14 [0.81-1.6]
Ethnicity,Other,1.19 [0.94-1.51],1.12 [0.89-1.42],1.14 [0.9-1.45],1.14 [0.9-1.45],1.13 [0.89-1.44],1.09 [0.85-1.39],1.13 [0.89-1.45]
Prior infection,No COVID [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Prior infection,COVID suspected or confirmed,2.39 [2.18-2.63],2.12 [1.93-2.33],2.11 [1.92-2.32],2.11 [1.92-2.32],2.11 [1.92-2.32],2.12 [1.92-2.33],2.15 [1.95-2.36]
Vaccine type,AstraZeneca/Oxford [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Vaccine type,Don't know,0.77 [0.5-1.18],0.74 [0.48-1.15],0.77 [0.5-1.19],0.79 [0.51-1.23],0.79 [0.5-1.23],0.79 [0.5-1.23],1.1 [0.7-1.74]
Vaccine type,Moderna,1.64 [0.48-5.64],1.43 [0.42-4.92],1.43 [0.41-4.92],1.43 [0.41-4.92],1.5 [0.43-5.17],1.5 [0.43-5.17],2.05 [0.59-7.13]
Vaccine type,Pfizer/BioNTech,3.78 [3.61-3.97],3.69 [3.51-3.87],3.67 [3.49-3.85],3.67 [3.49-3.85],3.67 [3.49-3.85],3.67 [3.49-3.85],4.14 [3.93-4.36]
