predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_vaccine_type,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,1.12 [0.7-1.78],1.12 [0.7-1.78],1.1 [0.69-1.75],1.09 [0.68-1.73],1.07 [0.67-1.7],1.11 [0.7-1.79],0.92 [0.56-1.52],0.92 [0.56-1.52],0.92 [0.56-1.51],0.93 [0.56-1.54],0.94 [0.57-1.55],0.94 [0.57-1.55],0.94 [0.57-1.56],0.94 [0.57-1.56],0.94 [0.57-1.55],0.94 [0.57-1.55],0.94 [0.57-1.56],0.95 [0.57-1.57],0.95 [0.57-1.57],0.95 [0.57-1.57],0.95 [0.57-1.57],0.93 [0.56-1.54],0.94 [0.57-1.55],0.93 [0.56-1.54],0.93 [0.56-1.54],0.93 [0.56-1.54]
Age group,25-34,1.53 [1.07-2.17],1.53 [1.07-2.17],1.54 [1.08-2.19],1.52 [1.07-2.16],1.48 [1.04-2.1],1.53 [1.07-2.19],1.65 [1.1-2.46],1.66 [1.11-2.48],1.66 [1.11-2.48],1.66 [1.11-2.48],1.65 [1.1-2.47],1.65 [1.1-2.47],1.66 [1.11-2.49],1.66 [1.11-2.49],1.66 [1.11-2.49],1.66 [1.11-2.49],1.66 [1.11-2.49],1.66 [1.11-2.49],1.66 [1.11-2.49],1.66 [1.11-2.48],1.65 [1.1-2.47],1.63 [1.09-2.45],1.64 [1.09-2.46],1.64 [1.09-2.45],1.64 [1.09-2.45],1.64 [1.09-2.45]
Age group,45-54,0.64 [0.5-0.81],0.64 [0.5-0.81],0.65 [0.51-0.82],0.64 [0.51-0.82],0.64 [0.51-0.82],0.67 [0.53-0.86],0.66 [0.5-0.86],0.66 [0.5-0.86],0.67 [0.51-0.87],0.67 [0.51-0.88],0.68 [0.52-0.88],0.68 [0.52-0.89],0.68 [0.52-0.88],0.68 [0.52-0.88],0.68 [0.52-0.88],0.68 [0.52-0.88],0.68 [0.52-0.88],0.67 [0.52-0.88],0.68 [0.52-0.88],0.68 [0.52-0.89],0.68 [0.52-0.89],0.68 [0.52-0.89],0.68 [0.52-0.88],0.68 [0.52-0.89],0.68 [0.52-0.89],0.67 [0.52-0.88]
Age group,55-64,0.45 [0.37-0.55],0.45 [0.37-0.55],0.47 [0.38-0.57],0.47 [0.38-0.58],0.47 [0.39-0.58],0.54 [0.44-0.67],0.55 [0.44-0.69],0.55 [0.44-0.7],0.57 [0.45-0.72],0.57 [0.45-0.71],0.58 [0.46-0.73],0.58 [0.46-0.72],0.57 [0.45-0.72],0.57 [0.45-0.72],0.57 [0.45-0.72],0.57 [0.45-0.72],0.57 [0.45-0.72],0.57 [0.45-0.71],0.57 [0.45-0.72],0.58 [0.46-0.73],0.57 [0.46-0.72],0.57 [0.45-0.72],0.57 [0.45-0.72],0.57 [0.45-0.72],0.57 [0.45-0.72],0.56 [0.44-0.7]
Age group,65-74,0.3 [0.24-0.36],0.3 [0.24-0.36],0.32 [0.26-0.39],0.32 [0.26-0.39],0.34 [0.28-0.41],0.48 [0.39-0.59],0.46 [0.36-0.57],0.45 [0.36-0.57],0.47 [0.37-0.58],0.46 [0.36-0.57],0.47 [0.37-0.59],0.47 [0.37-0.58],0.46 [0.36-0.57],0.46 [0.36-0.57],0.46 [0.36-0.57],0.46 [0.36-0.57],0.46 [0.36-0.57],0.45 [0.36-0.57],0.46 [0.36-0.57],0.46 [0.37-0.58],0.46 [0.36-0.57],0.44 [0.35-0.56],0.44 [0.35-0.55],0.44 [0.35-0.56],0.44 [0.35-0.56],0.43 [0.34-0.53]
Age group,74+,0.28 [0.23-0.34],0.28 [0.23-0.34],0.3 [0.24-0.37],0.3 [0.24-0.37],0.32 [0.26-0.39],0.34 [0.27-0.42],0.32 [0.25-0.4],0.31 [0.25-0.39],0.33 [0.26-0.42],0.32 [0.25-0.41],0.33 [0.26-0.42],0.33 [0.26-0.41],0.32 [0.25-0.4],0.32 [0.25-0.4],0.32 [0.25-0.4],0.32 [0.25-0.4],0.32 [0.25-0.4],0.32 [0.25-0.4],0.32 [0.25-0.4],0.32 [0.25-0.41],0.32 [0.25-0.41],0.31 [0.24-0.39],0.3 [0.24-0.39],0.31 [0.24-0.39],0.31 [0.24-0.39],0.31 [0.25-0.4]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.68 [0.65-0.71],0.73 [0.7-0.77],0.73 [0.7-0.77],0.73 [0.7-0.77],0.74 [0.7-0.77],0.75 [0.72-0.79],0.75 [0.71-0.78],0.75 [0.72-0.79],0.76 [0.72-0.79],0.76 [0.72-0.8],0.77 [0.73-0.81],0.77 [0.73-0.8],0.77 [0.73-0.8],0.77 [0.73-0.81],0.77 [0.73-0.81],0.77 [0.73-0.81],0.76 [0.73-0.8],0.76 [0.73-0.8],0.76 [0.73-0.8],0.77 [0.73-0.81],0.77 [0.73-0.81],0.76 [0.73-0.8],0.76 [0.73-0.8],0.76 [0.73-0.8],0.76 [0.73-0.8],0.76 [0.72-0.8]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,1.27 [1.11-1.44],1.07 [0.94-1.22],1.11 [0.98-1.27],1.11 [0.98-1.27],1.1 [0.97-1.26],1.01 [0.88-1.16],0.97 [0.83-1.12],0.94 [0.81-1.09],1 [0.86-1.16],1 [0.86-1.16],1.04 [0.9-1.21],1.04 [0.89-1.21],1.03 [0.89-1.2],1.03 [0.88-1.2],1.03 [0.88-1.2],1.03 [0.88-1.2],1.03 [0.89-1.2],1.03 [0.89-1.2],1.03 [0.88-1.2],1.02 [0.88-1.19],1.02 [0.88-1.19],1 [0.86-1.17],1 [0.86-1.16],1 [0.86-1.16],1 [0.86-1.16],1.01 [0.87-1.18]
Ethnicity,Black,1.06 [0.86-1.31],0.88 [0.71-1.09],0.9 [0.73-1.11],0.9 [0.73-1.11],0.87 [0.71-1.08],0.86 [0.69-1.07],0.85 [0.66-1.08],0.83 [0.65-1.06],0.85 [0.66-1.08],0.86 [0.67-1.1],0.89 [0.69-1.14],0.89 [0.69-1.14],0.88 [0.68-1.12],0.87 [0.68-1.12],0.87 [0.68-1.12],0.87 [0.68-1.12],0.88 [0.68-1.12],0.88 [0.68-1.12],0.87 [0.68-1.12],0.87 [0.68-1.12],0.87 [0.68-1.11],0.85 [0.66-1.09],0.85 [0.66-1.09],0.85 [0.66-1.09],0.85 [0.66-1.09],0.85 [0.67-1.09]
