Variable,Category,Positive,Total,Prevalence,Prevalence_adjusted
All participants,All participants,109965,180333,61.0 [60.8-61.2],63.8 [63.5-64.0]
Age group,18-24,910,1297,70.2 [67.6-72.6],74.5 [71.5-77.4]
Age group,25-34,2550,3753,67.9 [66.4-69.4],71.9 [70.2-73.7]
Age group,35-44,4625,8618,53.7 [52.6-54.7],55.2 [54.0-56.5]
Age group,45-54,8221,15635,52.6 [51.8-53.4],54.0 [53.0-54.9]
Age group,55-64,36791,69990,52.6 [52.2-52.9],53.9 [53.5-54.4]
Age group,65-74,49988,67784,73.7 [73.4-74.1],78.7 [78.3-79.1]
Age group,74+,6880,13256,51.9 [51.1-52.8],53.2 [52.2-54.2]
Sex,Female,64762,101227,64.0 [63.7-64.3],67.3 [66.9-67.6]
Sex,Male,45202,79105,57.1 [56.8-57.5],59.3 [58.9-59.7]
Ethnicity,Asian,3272,4707,69.5 [68.2-70.8],73.8 [72.2-75.3]
Ethnicity,Black,1077,1597,67.4 [65.1-69.7],71.3 [68.6-74.0]
Ethnicity,Mixed,764,1190,64.2 [61.4-66.9],67.6 [64.3-70.7]
Ethnicity,Other,925,1387,66.7 [64.2-69.1],70.5 [67.5-73.3]
Ethnicity,White,103193,170208,60.6 [60.4-60.9],63.4 [63.1-63.6]
BMI,Normal weight,39141,61825,63.3 [62.9-63.7],66.5 [66.1-67.0]
BMI,Obese,20810,35121,59.3 [58.7-59.8],61.8 [61.2-62.4]
BMI,Overweight,36517,60579,60.3 [59.9-60.7],63.0 [62.5-63.4]
BMI,Underweight,1095,1722,63.6 [61.3-65.8],66.8 [64.1-69.5]
Vaccine type,AstraZeneca/Oxford,62050,117985,52.6 [52.3-52.9],54.0 [53.6-54.3]
Vaccine type,Don't know,167,408,40.9 [36.3-45.8],40.3 [34.9-46.0]
Vaccine type,Moderna,392,516,76.0 [72.1-79.5],81.3 [76.8-85.4]
Vaccine type,Pfizer/BioNTech,47308,61362,77.1 [76.8-77.4],82.6 [82.2-83.0]
