predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_second_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,0.87 [0.23-3.26],0.87 [0.23-3.26],0.86 [0.23-3.26],0.86 [0.23-3.23],0.51 [0.13-2.11],0.53 [0.13-2.19],0.52 [0.13-2.13],0.51 [0.12-2.09],0.51 [0.12-2.11],0.51 [0.12-2.1],0.51 [0.12-2.1],0.51 [0.12-2.09],0.51 [0.12-2.09],0.51 [0.12-2.09],0.51 [0.12-2.09],0.51 [0.12-2.09],0.51 [0.12-2.09],0.51 [0.12-2.09],0.51 [0.12-2.08],0.5 [0.12-2.04],0.53 [0.13-2.17],0.52 [0.13-2.14],0.5 [0.12-2.05],0.5 [0.12-2.07]
Age group,25-34,1.26 [0.44-3.57],1.26 [0.44-3.57],1.26 [0.44-3.59],1.27 [0.45-3.61],0.92 [0.28-3.05],0.91 [0.27-3.03],0.9 [0.27-3],0.91 [0.27-3.04],0.91 [0.27-3.04],0.91 [0.27-3.04],0.91 [0.27-3.04],0.91 [0.27-3.02],0.91 [0.27-3.02],0.91 [0.27-3.02],0.91 [0.27-3.03],0.91 [0.27-3.02],0.91 [0.27-3.03],0.91 [0.27-3.03],0.9 [0.27-3.01],0.9 [0.27-3],0.88 [0.26-2.94],0.88 [0.26-2.93],0.89 [0.27-2.98],0.89 [0.27-2.99]
Age group,45-54,0.52 [0.24-1.12],0.52 [0.24-1.12],0.52 [0.24-1.12],0.51 [0.24-1.11],0.43 [0.17-1.09],0.44 [0.17-1.11],0.44 [0.17-1.1],0.43 [0.17-1.08],0.43 [0.17-1.09],0.43 [0.17-1.09],0.43 [0.17-1.09],0.43 [0.17-1.08],0.43 [0.17-1.09],0.43 [0.17-1.09],0.43 [0.17-1.09],0.43 [0.17-1.09],0.43 [0.17-1.1],0.43 [0.17-1.09],0.43 [0.17-1.09],0.43 [0.17-1.08],0.41 [0.16-1.04],0.42 [0.16-1.05],0.42 [0.17-1.07],0.42 [0.17-1.07]
Age group,55-64,0.43 [0.22-0.85],0.43 [0.22-0.85],0.43 [0.22-0.86],0.44 [0.22-0.87],0.37 [0.16-0.84],0.38 [0.16-0.87],0.38 [0.17-0.88],0.38 [0.16-0.87],0.38 [0.17-0.88],0.38 [0.16-0.88],0.38 [0.16-0.87],0.38 [0.16-0.87],0.38 [0.16-0.87],0.38 [0.16-0.87],0.38 [0.16-0.87],0.38 [0.16-0.87],0.38 [0.17-0.88],0.38 [0.17-0.88],0.38 [0.16-0.88],0.38 [0.16-0.87],0.37 [0.16-0.84],0.37 [0.16-0.86],0.38 [0.16-0.88],0.38 [0.17-0.89]
Age group,65-74,0.27 [0.14-0.54],0.27 [0.14-0.54],0.28 [0.14-0.55],0.28 [0.14-0.54],0.2 [0.09-0.45],0.2 [0.09-0.46],0.21 [0.09-0.48],0.21 [0.09-0.47],0.21 [0.09-0.48],0.21 [0.09-0.47],0.21 [0.09-0.47],0.21 [0.09-0.47],0.21 [0.09-0.47],0.21 [0.09-0.47],0.21 [0.09-0.47],0.21 [0.09-0.47],0.21 [0.09-0.48],0.21 [0.09-0.48],0.21 [0.09-0.48],0.21 [0.09-0.47],0.19 [0.08-0.45],0.2 [0.09-0.46],0.2 [0.09-0.47],0.21 [0.09-0.49]
Age group,74+,0.22 [0.1-0.45],0.22 [0.1-0.45],0.22 [0.11-0.46],0.22 [0.11-0.46],0.15 [0.06-0.37],0.15 [0.06-0.37],0.16 [0.07-0.39],0.16 [0.06-0.38],0.16 [0.07-0.39],0.15 [0.06-0.38],0.15 [0.06-0.37],0.15 [0.06-0.38],0.15 [0.06-0.38],0.15 [0.06-0.38],0.15 [0.06-0.38],0.15 [0.06-0.38],0.16 [0.06-0.39],0.16 [0.06-0.39],0.16 [0.06-0.38],0.15 [0.06-0.38],0.15 [0.06-0.36],0.15 [0.06-0.37],0.15 [0.06-0.37],0.15 [0.06-0.38]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.8 [0.67-0.97],0.92 [0.76-1.11],0.92 [0.76-1.11],0.9 [0.74-1.09],0.87 [0.71-1.07],0.87 [0.71-1.08],0.87 [0.71-1.08],0.88 [0.71-1.08],0.89 [0.72-1.1],0.87 [0.71-1.08],0.87 [0.71-1.08],0.87 [0.71-1.08],0.87 [0.71-1.08],0.87 [0.71-1.08],0.88 [0.71-1.08],0.87 [0.7-1.08],0.87 [0.71-1.08],0.87 [0.7-1.08],0.87 [0.7-1.08],0.87 [0.7-1.07],0.85 [0.68-1.05],0.85 [0.69-1.06],0.85 [0.69-1.06],0.86 [0.69-1.06]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
