predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_vaccine_type,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,1.86 [1.54-2.24],1.86 [1.54-2.24],1.83 [1.51-2.22],1.86 [1.53-2.25],1.85 [1.52-2.25],1.75 [1.44-2.14],1.79 [1.43-2.23],1.77 [1.42-2.21],1.78 [1.43-2.22],1.78 [1.42-2.22],1.77 [1.42-2.22],1.78 [1.42-2.22],1.78 [1.42-2.22],1.77 [1.42-2.22],1.77 [1.42-2.22],1.77 [1.42-2.22],1.78 [1.42-2.22],1.79 [1.43-2.24],1.79 [1.43-2.24],1.79 [1.43-2.24],1.79 [1.43-2.24],1.8 [1.44-2.26],1.81 [1.45-2.27],1.82 [1.46-2.27],1.83 [1.46-2.28],1.95 [1.56-2.45]
Age group,25-34,1.44 [1.28-1.62],1.44 [1.28-1.62],1.42 [1.27-1.6],1.43 [1.27-1.62],1.44 [1.27-1.62],1.39 [1.23-1.57],1.36 [1.18-1.55],1.36 [1.19-1.56],1.36 [1.19-1.56],1.36 [1.19-1.55],1.36 [1.19-1.55],1.36 [1.19-1.55],1.36 [1.18-1.55],1.36 [1.18-1.55],1.36 [1.18-1.55],1.36 [1.18-1.55],1.36 [1.19-1.55],1.36 [1.19-1.56],1.36 [1.19-1.56],1.36 [1.19-1.56],1.36 [1.19-1.56],1.38 [1.2-1.57],1.38 [1.2-1.58],1.38 [1.21-1.58],1.38 [1.21-1.58],1.48 [1.29-1.7]
Age group,45-54,0.7 [0.65-0.76],0.7 [0.65-0.76],0.72 [0.66-0.77],0.74 [0.68-0.8],0.76 [0.7-0.82],0.76 [0.71-0.83],0.76 [0.69-0.82],0.75 [0.69-0.82],0.75 [0.69-0.82],0.75 [0.69-0.82],0.75 [0.69-0.82],0.75 [0.69-0.82],0.75 [0.69-0.82],0.75 [0.69-0.82],0.75 [0.69-0.82],0.75 [0.69-0.82],0.75 [0.69-0.82],0.75 [0.69-0.82],0.75 [0.69-0.82],0.75 [0.69-0.82],0.75 [0.69-0.82],0.75 [0.69-0.81],0.75 [0.68-0.81],0.74 [0.68-0.81],0.74 [0.68-0.81],0.75 [0.68-0.81]
Age group,55-64,0.49 [0.46-0.53],0.49 [0.46-0.53],0.51 [0.47-0.54],0.52 [0.49-0.56],0.55 [0.51-0.59],0.6 [0.56-0.65],0.59 [0.54-0.63],0.58 [0.54-0.63],0.58 [0.54-0.63],0.58 [0.54-0.63],0.58 [0.54-0.63],0.58 [0.54-0.63],0.59 [0.54-0.64],0.59 [0.54-0.64],0.59 [0.54-0.64],0.59 [0.54-0.64],0.59 [0.54-0.64],0.58 [0.54-0.63],0.58 [0.54-0.63],0.59 [0.54-0.63],0.59 [0.54-0.63],0.58 [0.54-0.63],0.58 [0.54-0.63],0.58 [0.54-0.63],0.58 [0.53-0.63],0.7 [0.65-0.76]
Age group,65-74,0.43 [0.39-0.47],0.43 [0.39-0.47],0.44 [0.4-0.48],0.45 [0.41-0.49],0.47 [0.42-0.51],0.47 [0.43-0.52],0.46 [0.42-0.52],0.46 [0.41-0.51],0.47 [0.42-0.52],0.47 [0.42-0.52],0.48 [0.43-0.53],0.48 [0.43-0.53],0.48 [0.43-0.54],0.48 [0.43-0.54],0.48 [0.43-0.54],0.48 [0.43-0.54],0.48 [0.43-0.54],0.48 [0.43-0.53],0.48 [0.43-0.53],0.48 [0.43-0.54],0.48 [0.43-0.54],0.48 [0.43-0.54],0.48 [0.43-0.53],0.48 [0.43-0.53],0.48 [0.43-0.53],0.64 [0.57-0.72]
Age group,74+,0.42 [0.37-0.48],0.42 [0.37-0.48],0.44 [0.38-0.5],0.46 [0.4-0.52],0.53 [0.46-0.61],0.32 [0.28-0.37],0.31 [0.26-0.36],0.3 [0.26-0.36],0.33 [0.28-0.39],0.33 [0.28-0.39],0.34 [0.29-0.4],0.34 [0.29-0.4],0.34 [0.29-0.4],0.34 [0.29-0.41],0.34 [0.29-0.41],0.34 [0.29-0.41],0.34 [0.29-0.41],0.34 [0.29-0.4],0.34 [0.29-0.4],0.35 [0.29-0.41],0.35 [0.29-0.41],0.34 [0.29-0.4],0.34 [0.29-0.4],0.34 [0.28-0.4],0.34 [0.28-0.4],0.27 [0.23-0.32]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.7 [0.68-0.73],0.73 [0.7-0.75],0.73 [0.7-0.75],0.73 [0.7-0.75],0.71 [0.69-0.74],0.72 [0.7-0.74],0.7 [0.68-0.73],0.7 [0.68-0.73],0.7 [0.68-0.73],0.7 [0.68-0.73],0.7 [0.68-0.73],0.71 [0.68-0.73],0.71 [0.68-0.73],0.71 [0.68-0.73],0.71 [0.68-0.73],0.71 [0.68-0.73],0.71 [0.68-0.73],0.7 [0.68-0.73],0.7 [0.68-0.73],0.71 [0.68-0.73],0.7 [0.68-0.73],0.7 [0.68-0.73],0.7 [0.68-0.73],0.7 [0.68-0.73],0.7 [0.68-0.73],0.7 [0.67-0.72]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,1.98 [1.79-2.19],1.71 [1.54-1.89],1.72 [1.55-1.91],1.72 [1.55-1.91],1.76 [1.59-1.96],1.75 [1.57-1.94],1.77 [1.57-1.98],1.74 [1.55-1.96],1.79 [1.59-2.01],1.79 [1.59-2.01],1.8 [1.61-2.03],1.8 [1.61-2.03],1.81 [1.61-2.03],1.81 [1.61-2.03],1.81 [1.61-2.03],1.81 [1.61-2.03],1.81 [1.61-2.03],1.81 [1.61-2.03],1.81 [1.61-2.03],1.81 [1.61-2.03],1.8 [1.6-2.03],1.79 [1.6-2.02],1.79 [1.59-2.01],1.79 [1.59-2.01],1.79 [1.59-2.01],1.77 [1.57-1.99]
Ethnicity,Black,1.86 [1.59-2.18],1.81 [1.54-2.12],1.85 [1.57-2.17],1.85 [1.57-2.17],1.88 [1.6-2.22],1.89 [1.61-2.23],2.01 [1.67-2.43],2.02 [1.68-2.44],2.07 [1.71-2.5],2.07 [1.71-2.5],2.1 [1.74-2.54],2.1 [1.74-2.54],2.12 [1.75-2.56],2.12 [1.75-2.56],2.12 [1.75-2.56],2.12 [1.75-2.56],2.12 [1.76-2.56],2.13 [1.76-2.57],2.13 [1.76-2.57],2.12 [1.76-2.57],2.12 [1.76-2.56],2.13 [1.76-2.57],2.12 [1.75-2.56],2.12 [1.75-2.56],2.12 [1.75-2.56],2.1 [1.74-2.54]
Ethnicity,Mixed,1.34 [1.14-1.58],1.16 [0.98-1.37],1.15 [0.97-1.36],1.15 [0.97-1.36],1.16 [0.97-1.37],1.14 [0.96-1.36],1.11 [0.92-1.33],1.11 [0.92-1.34],1.13 [0.94-1.36],1.13 [0.94-1.36],1.14 [0.94-1.37],1.14 [0.94-1.37],1.14 [0.94-1.37],1.14 [0.94-1.37],1.14 [0.94-1.37],1.14 [0.94-1.37],1.14 [0.94-1.37],1.14 [0.95-1.37],1.14 [0.94-1.37],1.14 [0.94-1.37],1.14 [0.94-1.37],1.13 [0.94-1.36],1.13 [0.94-1.36],1.13 [0.94-1.36],1.13 [0.94-1.36],1.13 [0.93-1.36]
Ethnicity,Other,1.54 [1.29-1.85],1.47 [1.22-1.76],1.48 [1.23-1.78],1.48 [1.23-1.78],1.45 [1.2-1.75],1.43 [1.18-1.73],1.42 [1.16-1.75],1.4 [1.14-1.72],1.44 [1.17-1.77],1.44 [1.17-1.77],1.45 [1.18-1.78],1.45 [1.18-1.78],1.45 [1.18-1.78],1.45 [1.18-1.77],1.45 [1.18-1.77],1.44 [1.17-1.77],1.44 [1.18-1.77],1.44 [1.17-1.77],1.44 [1.17-1.77],1.44 [1.17-1.77],1.44 [1.17-1.77],1.43 [1.16-1.75],1.43 [1.16-1.75],1.43 [1.16-1.75],1.43 [1.16-1.75],1.4 [1.14-1.73]
Prior infection,No COVID [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Prior infection,COVID suspected or confirmed,4.09 [3.9-4.28],3.99 [3.81-4.18],4.02 [3.84-4.22],4.04 [3.85-4.23],4.04 [3.85-4.23],4.07 [3.88-4.27],4.08 [3.88-4.29],4.09 [3.89-4.3],4.09 [3.89-4.3],4.09 [3.89-4.31],4.1 [3.9-4.32],4.1 [3.9-4.32],4.1 [3.9-4.32],4.1 [3.9-4.32],4.1 [3.9-4.32],4.11 [3.9-4.32],4.11 [3.9-4.32],4.11 [3.91-4.33],4.11 [3.91-4.33],4.11 [3.91-4.33],4.11 [3.91-4.33],4.12 [3.92-4.34],4.13 [3.92-4.34],4.13 [3.92-4.34],4.13 [3.92-4.35],4.11 [3.9-4.32]
Vaccine type,AstraZeneca/Oxford [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Vaccine type,Don't know,0.76 [0.54-1.06],0.84 [0.59-1.2],0.85 [0.6-1.21],0.85 [0.6-1.21],0.89 [0.62-1.28],0.89 [0.62-1.28],1 [0.66-1.5],1.02 [0.68-1.53],1.04 [0.69-1.56],1.04 [0.69-1.56],1.09 [0.72-1.64],1.09 [0.72-1.64],1.08 [0.72-1.63],1.08 [0.72-1.63],1.08 [0.72-1.63],1.08 [0.72-1.63],1.08 [0.72-1.63],1.09 [0.72-1.64],1.09 [0.72-1.64],1.09 [0.72-1.64],1.09 [0.72-1.64],1.1 [0.73-1.66],1.12 [0.74-1.68],1.12 [0.74-1.68],1.11 [0.74-1.68],1.05 [0.69-1.58]
Vaccine type,Moderna,13.74 [9.38-20.14],11.24 [7.65-16.49],11.49 [7.82-16.86],11.39 [7.76-16.73],12.52 [8.51-18.43],12.52 [8.51-18.43],12.8 [8.45-19.38],13.25 [8.68-20.23],13.29 [8.71-20.29],13.29 [8.7-20.28],13.23 [8.67-20.19],13.23 [8.67-20.2],13.21 [8.66-20.17],13.21 [8.65-20.16],13.21 [8.65-20.16],13.22 [8.66-20.17],13.22 [8.66-20.18],13.22 [8.66-20.19],13.23 [8.66-20.19],13.21 [8.66-20.17],13.2 [8.65-20.15],13.16 [8.62-20.09],13.18 [8.63-20.12],13.18 [8.63-20.11],13.18 [8.63-20.12],9.28 [6.07-14.19]
