predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_vaccine_type,plus_days_since_first_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,1.86 [1.54-2.24],1.86 [1.54-2.24],1.83 [1.51-2.22],1.86 [1.53-2.25],1.85 [1.52-2.25],1.75 [1.44-2.14],1.89 [1.55-2.31]
Age group,25-34,1.44 [1.28-1.62],1.44 [1.28-1.62],1.42 [1.27-1.6],1.43 [1.27-1.62],1.44 [1.27-1.62],1.39 [1.23-1.57],1.49 [1.31-1.69]
Age group,45-54,0.7 [0.65-0.76],0.7 [0.65-0.76],0.72 [0.66-0.77],0.74 [0.68-0.8],0.76 [0.7-0.82],0.76 [0.71-0.83],0.76 [0.7-0.83]
Age group,55-64,0.49 [0.46-0.53],0.49 [0.46-0.53],0.51 [0.47-0.54],0.52 [0.49-0.56],0.55 [0.51-0.59],0.6 [0.56-0.65],0.73 [0.67-0.78]
Age group,65-74,0.43 [0.39-0.47],0.43 [0.39-0.47],0.44 [0.4-0.48],0.45 [0.41-0.49],0.47 [0.42-0.51],0.47 [0.43-0.52],0.64 [0.58-0.71]
Age group,74+,0.42 [0.37-0.48],0.42 [0.37-0.48],0.44 [0.38-0.5],0.46 [0.4-0.52],0.53 [0.46-0.61],0.32 [0.28-0.37],0.26 [0.22-0.3]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.7 [0.68-0.73],0.73 [0.7-0.75],0.73 [0.7-0.75],0.73 [0.7-0.75],0.71 [0.69-0.74],0.72 [0.7-0.74],0.72 [0.69-0.74]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,1.98 [1.79-2.19],1.71 [1.54-1.89],1.72 [1.55-1.91],1.72 [1.55-1.91],1.76 [1.59-1.96],1.75 [1.57-1.94],1.74 [1.57-1.94]
Ethnicity,Black,1.86 [1.59-2.18],1.81 [1.54-2.12],1.85 [1.57-2.17],1.85 [1.57-2.17],1.88 [1.6-2.22],1.89 [1.61-2.23],1.9 [1.61-2.24]
Ethnicity,Mixed,1.34 [1.14-1.58],1.16 [0.98-1.37],1.15 [0.97-1.36],1.15 [0.97-1.36],1.16 [0.97-1.37],1.14 [0.96-1.36],1.14 [0.96-1.36]
Ethnicity,Other,1.54 [1.29-1.85],1.47 [1.22-1.76],1.48 [1.23-1.78],1.48 [1.23-1.78],1.45 [1.2-1.75],1.43 [1.18-1.73],1.4 [1.16-1.7]
Prior infection,No COVID [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Prior infection,COVID suspected or confirmed,4.09 [3.9-4.28],3.99 [3.81-4.18],4.02 [3.84-4.22],4.04 [3.85-4.23],4.04 [3.85-4.23],4.07 [3.88-4.27],4.06 [3.87-4.26]
Vaccine type,AstraZeneca/Oxford [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Vaccine type,Don't know,0.76 [0.54-1.06],0.84 [0.59-1.2],0.85 [0.6-1.21],0.85 [0.6-1.21],0.89 [0.62-1.28],0.89 [0.62-1.28],0.86 [0.6-1.24]
Vaccine type,Moderna,13.74 [9.38-20.14],11.24 [7.65-16.49],11.49 [7.82-16.86],11.39 [7.76-16.73],12.52 [8.51-18.43],12.52 [8.51-18.43],8.68 [5.89-12.78]
Vaccine type,Pfizer/BioNTech,1.85 [1.75-1.95],1.96 [1.84-2.09],1.92 [1.8-2.05],1.92 [1.8-2.05],1.96 [1.83-2.09],1.96 [1.83-2.09],1.79 [1.67-1.91]
