predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,2.68 [1.46-4.89],2.68 [1.46-4.89],2.63 [1.44-4.82],2.58 [1.41-4.72],2.52 [1.37-4.64],2.41 [1.21-4.8],2.44 [1.22-4.87],2.42 [1.21-4.84],2.4 [1.2-4.79],2.37 [1.19-4.74],2.37 [1.18-4.73],2.36 [1.18-4.72],2.36 [1.18-4.72],2.36 [1.18-4.72],2.36 [1.18-4.72],2.46 [1.23-4.93],2.45 [1.22-4.92],2.46 [1.22-4.92],2.45 [1.22-4.91],2.45 [1.22-4.91],2.38 [1.19-4.78],2.39 [1.19-4.8],2.46 [1.22-4.93],2.45 [1.22-4.92],2.21 [1.09-4.49]
Age group,25-34,1.64 [1.16-2.32],1.64 [1.16-2.32],1.65 [1.17-2.34],1.59 [1.12-2.25],1.54 [1.08-2.19],1.47 [1.01-2.15],1.48 [1.01-2.17],1.48 [1.01-2.17],1.46 [1-2.14],1.45 [0.99-2.12],1.44 [0.99-2.11],1.44 [0.99-2.12],1.44 [0.99-2.12],1.44 [0.99-2.11],1.44 [0.99-2.11],1.43 [0.98-2.09],1.43 [0.97-2.09],1.43 [0.97-2.09],1.42 [0.97-2.08],1.42 [0.97-2.08],1.46 [1-2.15],1.47 [1-2.16],1.49 [1.02-2.2],1.5 [1.02-2.2],1.49 [1-2.22]
Age group,45-54,0.51 [0.4-0.65],0.51 [0.4-0.65],0.51 [0.4-0.65],0.51 [0.4-0.65],0.49 [0.38-0.63],0.49 [0.37-0.65],0.49 [0.37-0.64],0.49 [0.37-0.64],0.48 [0.37-0.64],0.48 [0.36-0.63],0.48 [0.36-0.63],0.48 [0.36-0.63],0.48 [0.36-0.63],0.48 [0.36-0.63],0.48 [0.36-0.63],0.48 [0.36-0.63],0.47 [0.36-0.63],0.47 [0.36-0.62],0.47 [0.36-0.62],0.47 [0.36-0.62],0.48 [0.36-0.63],0.48 [0.36-0.63],0.47 [0.36-0.63],0.47 [0.36-0.63],0.49 [0.37-0.65]
Age group,55-64,0.25 [0.2-0.31],0.25 [0.2-0.31],0.26 [0.21-0.33],0.26 [0.21-0.33],0.26 [0.21-0.33],0.25 [0.2-0.33],0.25 [0.2-0.33],0.26 [0.2-0.33],0.26 [0.2-0.33],0.26 [0.2-0.33],0.26 [0.2-0.33],0.25 [0.2-0.33],0.25 [0.2-0.33],0.25 [0.2-0.33],0.25 [0.2-0.33],0.25 [0.2-0.32],0.25 [0.19-0.32],0.25 [0.19-0.32],0.25 [0.19-0.32],0.25 [0.19-0.32],0.25 [0.19-0.32],0.25 [0.19-0.32],0.25 [0.19-0.32],0.25 [0.19-0.32],0.38 [0.29-0.49]
Age group,65-74,0.19 [0.14-0.24],0.19 [0.14-0.24],0.2 [0.15-0.26],0.19 [0.15-0.26],0.2 [0.15-0.26],0.2 [0.15-0.27],0.2 [0.15-0.27],0.21 [0.16-0.28],0.21 [0.15-0.28],0.21 [0.16-0.28],0.21 [0.15-0.28],0.21 [0.15-0.28],0.21 [0.15-0.28],0.21 [0.15-0.28],0.21 [0.15-0.28],0.2 [0.15-0.28],0.2 [0.15-0.27],0.2 [0.15-0.27],0.2 [0.15-0.28],0.2 [0.15-0.28],0.2 [0.15-0.27],0.2 [0.15-0.27],0.2 [0.15-0.27],0.2 [0.14-0.27],0.3 [0.22-0.41]
Age group,74+,0.15 [0.12-0.19],0.15 [0.12-0.19],0.16 [0.13-0.2],0.16 [0.13-0.21],0.18 [0.14-0.23],0.16 [0.13-0.21],0.16 [0.12-0.21],0.19 [0.14-0.25],0.18 [0.14-0.24],0.19 [0.14-0.25],0.18 [0.14-0.24],0.18 [0.14-0.24],0.18 [0.14-0.24],0.18 [0.14-0.24],0.18 [0.14-0.24],0.18 [0.13-0.24],0.18 [0.13-0.23],0.18 [0.13-0.23],0.18 [0.14-0.24],0.18 [0.14-0.24],0.17 [0.13-0.23],0.17 [0.13-0.23],0.17 [0.13-0.23],0.17 [0.13-0.23],0.12 [0.09-0.16]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.54 [0.48-0.6],0.64 [0.57-0.72],0.64 [0.57-0.72],0.63 [0.56-0.71],0.63 [0.56-0.71],0.63 [0.55-0.71],0.63 [0.55-0.72],0.62 [0.55-0.71],0.62 [0.55-0.71],0.64 [0.56-0.73],0.64 [0.56-0.73],0.64 [0.56-0.73],0.64 [0.56-0.73],0.64 [0.56-0.73],0.64 [0.56-0.73],0.64 [0.56-0.73],0.63 [0.56-0.72],0.63 [0.56-0.72],0.64 [0.56-0.74],0.64 [0.56-0.74],0.64 [0.56-0.73],0.63 [0.55-0.73],0.63 [0.55-0.72],0.63 [0.55-0.72],0.71 [0.62-0.82]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,2.69 [1.93-3.76],1.89 [1.33-2.69],1.97 [1.38-2.82],1.97 [1.38-2.82],1.9 [1.32-2.73],1.78 [1.2-2.65],1.73 [1.17-2.58],1.77 [1.19-2.64],1.76 [1.18-2.62],1.83 [1.23-2.73],1.82 [1.22-2.72],1.82 [1.22-2.71],1.82 [1.22-2.71],1.82 [1.22-2.72],1.82 [1.22-2.72],1.84 [1.23-2.75],1.84 [1.23-2.76],1.84 [1.23-2.75],1.83 [1.22-2.74],1.83 [1.22-2.74],1.79 [1.2-2.68],1.78 [1.19-2.67],1.79 [1.19-2.68],1.78 [1.19-2.67],1.46 [0.97-2.21]
Ethnicity,Black,2.03 [1.09-3.77],1.51 [0.79-2.9],1.57 [0.82-3.01],1.57 [0.82-3.01],1.71 [0.89-3.31],2.1 [1.02-4.32],2.06 [1-4.23],2.23 [1.08-4.62],2.21 [1.07-4.58],2.19 [1.05-4.56],2.21 [1.06-4.61],2.2 [1.05-4.58],2.19 [1.05-4.58],2.2 [1.06-4.59],2.2 [1.06-4.59],2.2 [1.05-4.57],2.18 [1.05-4.53],2.18 [1.05-4.55],2.14 [1.03-4.44],2.14 [1.03-4.44],2.2 [1.05-4.62],2.16 [1.03-4.54],2.14 [1.02-4.5],2.14 [1.02-4.49],1.94 [0.91-4.15]
Ethnicity,Mixed,1.75 [1-3.07],1.03 [0.57-1.88],1.09 [0.6-2],1.09 [0.6-2],1.07 [0.58-1.97],1.09 [0.56-2.12],1.07 [0.55-2.08],1.09 [0.55-2.13],1.08 [0.55-2.12],1.11 [0.56-2.18],1.11 [0.57-2.2],1.11 [0.57-2.2],1.11 [0.57-2.19],1.11 [0.56-2.19],1.11 [0.56-2.19],1.11 [0.56-2.18],1.11 [0.57-2.2],1.12 [0.57-2.2],1.11 [0.56-2.18],1.11 [0.56-2.18],1.1 [0.56-2.16],1.12 [0.57-2.21],1.1 [0.55-2.16],1.09 [0.55-2.15],0.91 [0.45-1.81]
Ethnicity,Other,1.97 [1.06-3.68],1.32 [0.69-2.55],1.36 [0.7-2.62],1.36 [0.7-2.62],1.38 [0.71-2.7],1.41 [0.69-2.87],1.37 [0.67-2.81],1.44 [0.7-2.94],1.42 [0.7-2.92],1.5 [0.73-3.09],1.51 [0.73-3.11],1.51 [0.73-3.12],1.51 [0.73-3.12],1.51 [0.73-3.11],1.51 [0.73-3.11],1.5 [0.73-3.1],1.5 [0.73-3.1],1.51 [0.73-3.1],1.49 [0.72-3.06],1.49 [0.72-3.06],1.45 [0.71-2.99],1.47 [0.71-3.02],1.47 [0.71-3.05],1.47 [0.71-3.04],1.45 [0.68-3.11]
