Question,Category,Total antibody positive,Total tests (with valid results),Crude prevalence,Prevalence adjusted for test,Weighted prevalence
Full cohort,England,17576,365104,4.81 [4.75-4.88],4.11 [4.03-4.20],4.94 [4.85-5.03]
gender,Male,7551,159515,4.73 [4.63-4.84],4.02 [3.89-4.14],5.01 [4.88-5.14]
gender,Female,10025,205587,4.88 [4.78-4.97],4.19 [4.08-4.30],4.88 [4.76-5.00]
age_group,18-24,1448,21755,6.66 [6.33-6.99],6.33 [5.94-6.74],7.19 [6.88-7.50]
age_group,25-34,2741,47151,5.81 [5.61-6.03],5.32 [5.07-5.58],6.09 [5.87-6.33]
age_group,35-44,3003,60869,4.93 [4.76-5.11],4.26 [4.05-4.47],5.16 [4.94-5.39]
age_group,45-54,3914,74524,5.25 [5.09-5.41],4.64 [4.45-4.84],5.51 [5.29-5.73]
age_group,55-64,3742,75114,4.98 [4.83-5.14],4.32 [4.13-4.51],4.87 [4.65-5.11]
age_group,65-74,1949,59702,3.26 [3.12-3.41],2.25 [2.08-2.42],2.64 [2.44-2.85]
age_group,75+,779,25989,3.00 [2.80-3.21],1.92 [1.68-2.18],2.25 [2.04-2.47]
ethnic_num,White,15387,338967,4.54 [4.47-4.61],3.78 [3.70-3.87],4.13 [4.04-4.22]
ethnic_num,Mixed,290,4520,6.42 [5.74-7.17],6.04 [5.23-6.95],6.73 [5.83-7.72]
ethnic_num,Asian,1148,13106,8.76 [8.29-9.26],8.87 [8.30-9.46],10.74 [10.30-11.20]
ethnic_num,Black,391,3140,12.45 [11.34-13.65],13.32 [11.98-14.76],14.26 [13.46-15.11]
ethnic_num,Other,247,3094,7.98 [7.08-8.99],7.93 [6.84-9.15],9.42 [8.38-10.55]
region,North East,694,13928,4.98 [4.63-5.36],4.32 [3.90-4.77],4.32 [3.95-4.72]
region,North West,2281,43607,5.23 [5.03-5.44],4.62 [4.37-4.87],5.31 [5.06-5.57]
region,Yorkshire and The Humber,989,24504,4.04 [3.80-4.29],3.18 [2.89-3.48],3.71 [3.45-3.97]
region,East Midlands,1890,46838,4.04 [3.86-4.22],3.17 [2.96-3.39],3.50 [3.23-3.77]
region,West Midlands,1811,34728,5.21 [4.99-5.45],4.60 [4.32-4.88],5.70 [5.41-5.99]
region,East of England,2487,52796,4.71 [4.53-4.89],3.99 [3.77-4.21],4.17 [3.92-4.43]
region,London,3165,34646,9.14 [8.84-9.44],9.32 [8.96-9.69],10.40 [10.10-10.71]
region,South East,3211,79349,4.05 [3.91-4.19],3.19 [3.03-3.36],3.28 [3.09-3.48]
region,South West,1048,34708,3.02 [2.84-3.20],1.95 [1.74-2.17],1.85 [1.65-2.06]
imd_quintile,Most deprived: 1,2148,36760,5.84 [5.61-6.09],5.35 [5.07-5.65],6.16 [5.94-6.39]
imd_quintile,2,2985,58194,5.13 [4.95-5.31],4.49 [4.28-4.71],5.42 [5.22-5.62]
imd_quintile,3,3741,79253,4.72 [4.57-4.87],4.00 [3.83-4.18],4.81 [4.61-5.00]
imd_quintile,4,4147,90414,4.59 [4.45-4.72],3.84 [3.68-4.01],4.33 [4.15-4.53]
imd_quintile,Least deprived: 5,4555,100483,4.53 [4.41-4.66],3.77 [3.62-3.93],4.01 [3.83-4.20]
edu_num,No qualification,1375,34009,4.04 [3.84-4.26],3.18 [2.94-3.44],3.67 [3.42-3.92]
edu_num,Other,1130,24289,4.65 [4.39-4.92],3.92 [3.61-4.25],4.62 [4.29-4.97]
edu_num,GCSE,3505,79666,4.40 [4.26-4.54],3.61 [3.45-3.79],4.22 [4.04-4.41]
edu_num,Post-GCSE qualification,4910,100580,4.88 [4.75-5.02],4.19 [4.04-4.36],5.00 [4.83-5.18]
edu_num,Degree or above,6544,124115,5.27 [5.15-5.40],4.67 [4.52-4.82],5.78 [5.62-5.94]
gross_household_cat,"Â£0-14,999",908,23396,3.88 [3.64-4.14],2.99 [2.70-3.30],3.92 [3.62-4.23]
gross_household_cat,"Â£15,000-49,999",4897,108406,4.52 [4.40-4.64],3.76 [3.61-3.91],4.47 [4.31-4.63]
gross_household_cat,"Â£50,000-149,999",5208,94190,5.53 [5.39-5.68],4.97 [4.80-5.15],5.88 [5.69-6.07]
gross_household_cat,">Â£150,000",805,11360,7.09 [6.63-7.57],6.85 [6.30-7.44],7.84 [7.23-8.49]
work_new,Healthcare (patient-facing),1346,12329,10.92 [10.38-11.48],11.47 [10.82-12.14],13.18 [12.49-13.90]
work_new,Healthcare (other),248,3955,6.27 [5.56-7.07],5.87 [5.01-6.83],6.68 [5.74-7.72]
work_new,Care home (client-facing),306,2467,12.40 [11.16-13.76],13.26 [11.76-14.90],14.61 [13.04-16.32]
work_new,Care home (other),47,627,7.50 [5.68-9.83],7.34 [5.16-10.15],11.11 [8.42-14.41]
work_new,Other essential worker,3691,69114,5.34 [5.18-5.51],4.75 [4.55-4.95],5.50 [5.29-5.72]
work_new,Other worker,6875,139368,4.93 [4.82-5.05],4.26 [4.12-4.40],5.17 [5.02-5.32]
work_new,Not in employment,4916,134136,3.66 [3.57-3.77],2.73 [2.61-2.85],3.47 [3.35-3.61]
employment,Full time,8660,149268,5.80 [5.68-5.92],5.30 [5.16-5.45],6.20 [6.05-6.35]
employment,Part time,2275,45564,4.99 [4.80-5.20],4.33 [4.09-4.57],5.20 [4.93-5.47]
employment,Self-employed,1725,36110,4.78 [4.56-5.00],4.07 [3.81-4.34],4.83 [4.54-5.13]
employment,Govt supported training,7,122,5.74 [2.81-11.37],5.23 [1.69-12.01],3.64 [1.03-8.53]
employment,Unemployed,367,7731,4.75 [4.30-5.24],4.03 [3.49-4.63],5.24 [4.71-5.81]
employment,Retired,2556,83766,3.05 [2.94-3.17],1.99 [1.85-2.13],2.22 [2.07-2.37]
employment,Student,412,6070,6.79 [6.18-7.45],6.49 [5.76-7.29],8.03 [7.44-8.66]
employment,Looking after home/family,602,14217,4.23 [3.92-4.58],3.41 [3.03-3.83],3.94 [3.52-4.40]
employment,Sick/disabled,231,6540,3.53 [3.11-4.01],2.57 [2.06-3.14],3.10 [2.58-3.68]
employment,Other,278,6261,4.44 [3.96-4.98],3.66 [3.08-4.31],4.97 [4.32-5.70]
employment,Prefer not to say,463,9429,4.91 [4.49-5.37],4.23 [3.73-4.78],5.21 [4.69-5.77]
work_sector,Home delivery,120,2912,4.12 [3.46-4.91],3.28 [2.48-4.22],4.99 [4.09-6.04]
work_sector,Retail,572,12603,4.54 [4.19-4.92],3.78 [3.36-4.24],4.56 [4.13-5.01]
work_sector,"Emergency services, prisons, coastguard",137,2320,5.91 [5.02-6.94],5.43 [4.36-6.67],5.62 [4.49-6.93]
work_sector,Public transport or taxi,118,1967,6.00 [5.03-7.14],5.54 [4.38-6.91],6.95 [5.78-8.28]
work_sector,Teacher or childcare,961,17798,5.40 [5.08-5.74],4.82 [4.43-5.23],5.52 [5.09-5.98]
work_sector,Armed forces,13,238,5.46 [3.22-9.12],4.89 [2.19-9.30],3.55 [1.09-8.02]
work_sector,Other,3092,63389,4.88 [4.71-5.05],4.19 [3.99-4.40],4.90 [4.69-5.12]
work_sector,Not working outside home,3981,89539,4.45 [4.31-4.58],3.67 [3.51-3.84],4.46 [4.29-4.64]
hh_size_cat,1,2344,56564,4.14 [3.98-4.31],3.31 [3.11-3.51],3.75 [3.55-3.96]
hh_size_cat,2,5650,135587,4.17 [4.06-4.27],3.33 [3.21-3.46],3.91 [3.77-4.05]
hh_size_cat,3,3707,72061,5.14 [4.99-5.31],4.51 [4.32-4.71],5.14 [4.94-5.35]
hh_size_cat,4,3830,69929,5.48 [5.31-5.65],4.91 [4.71-5.12],5.89 [5.67-6.11]
hh_size_cat,5,1368,21931,6.24 [5.93-6.57],5.83 [5.45-6.22],7.04 [6.66-7.44]
hh_size_cat,6,438,6245,7.01 [6.41-7.67],6.76 [6.03-7.56],8.99 [8.27-9.75]
hh_size_cat,7+,239,2753,8.68 [7.69-9.79],8.77 [7.57-10.11],12.54 [11.45-13.69]
child_in_house,No,11678,250254,4.67 [4.58-4.75],3.94 [3.84-4.04],4.67 [4.56-4.78]
child_in_house,Yes,5897,114811,5.14 [5.01-5.27],4.50 [4.35-4.66],5.53 [5.37-5.70]
COVIDC,No symptoms,261,2490,10.48 [9.34-11.75],10.94 [9.57-12.47],11.05 [9.83-12.39]
COVIDC,Mild symptoms,3035,19948,15.21 [14.72-15.72],16.64 [16.05-17.25],18.28 [17.69-18.87]
COVIDC,Moderate symptoms,5846,32425,18.03 [17.61-18.45],20.04 [19.54-20.54],22.15 [21.64-22.67]
COVIDC,Severe symtoms,3027,13503,22.42 [21.72-23.13],25.32 [24.48-26.18],26.91 [26.06-27.78]
bmi_cat,Underweight (<18.5),173,4645,3.72 [3.22-4.31],2.80 [2.19-3.50],4.25 [3.60-4.98]
bmi_cat,Normal (18.5-24.9),6035,132197,4.57 [4.45-4.68],3.81 [3.68-3.95],4.65 [4.50-4.79]
bmi_cat,Overweight (25-29.9),5716,115500,4.95 [4.83-5.08],4.28 [4.13-4.43],5.18 [5.02-5.35]
bmi_cat,Obese (>=30),3827,71007,5.39 [5.23-5.56],4.81 [4.61-5.01],5.55 [5.34-5.77]
smokenow,Yes,1283,38525,3.33 [3.16-3.51],2.33 [2.12-2.55],3.09 [2.87-3.32]
smokenow,No,16152,323626,4.99 [4.92-5.07],4.33 [4.24-4.42],5.19 [5.09-5.29]
popDens_quintile,1,2445,70461,3.47 [3.34-3.61],2.49 [2.33-2.66],2.58 [2.39-2.78]
popDens_quintile,2,3154,70172,4.49 [4.34-4.65],3.73 [3.55-3.92],3.95 [3.74-4.16]
popDens_quintile,3,3206,70038,4.58 [4.43-4.73],3.83 [3.64-4.02],4.22 [4.02-4.43]
popDens_quintile,4,3508,70418,4.98 [4.82-5.14],4.32 [4.12-4.51],4.70 [4.50-4.90]
popDens_quintile,5,5263,84015,6.26 [6.10-6.43],5.86 [5.67-6.06],6.86 [6.69-7.03]
COVIDA,Positive test,1025,1451,70.64 [68.25-72.93],83.42 [80.54-86.18],83.12 [80.34-85.77]
COVIDA,Suspected by doctor,1171,4169,28.09 [26.74-29.47],32.15 [30.54-33.82],33.95 [32.37-35.57]
COVIDA,Suspected by respondent,9727,62353,15.60 [15.32-15.89],17.11 [16.77-17.45],18.64 [18.29-18.98]
COVIDA,No,5407,296733,1.82 [1.77-1.87],0.51 [0.45-0.57],0.86 [0.80-0.93]
PCRpos_cat,<30 days ago,127,227,55.95 [49.44-62.25],65.72 [57.88-73.32],65.25 [57.81-72.48]
PCRpos_cat,30-60 days ago,164,221,74.21 [68.06-79.53],87.72 [80.31-94.13],87.54 [80.42-93.74]
PCRpos_cat,61-90 days ago,223,312,71.47 [66.23-76.20],84.43 [78.10-90.12],88.31 [82.32-93.61]
PCRpos_cat,90+ days ago,511,691,73.95 [70.55-77.08],87.41 [83.32-91.19],85.42 [81.45-89.11]
SympOnset_cat,<30 days ago,99,1506,6.57 [5.43-7.94],6.23 [4.85-7.88],6.51 [5.23-8.01]
SympOnset_cat,30-60 days ago,177,1224,14.46 [12.60-16.54],15.74 [13.50-18.24],17.10 [14.94-19.48]
SympOnset_cat,61-90 days ago,1073,3538,30.33 [28.84-31.86],34.85 [33.05-36.70],36.23 [34.51-38.00]
SympOnset_cat,91-120 days ago,2673,8933,29.92 [28.98-30.88],34.36 [33.23-35.52],36.42 [35.31-37.55]
SympOnset_cat,121-150 days ago,2693,10775,24.99 [24.18-25.82],28.43 [27.45-29.42],30.84 [29.88-31.83]
SympOnset_cat,>150 days ago,4642,29703,15.63 [15.22-16.05],17.14 [16.65-17.65],18.66 [18.16-19.18]
COVIDCON,"Yes, with confirmed case",2602,16282,15.98 [15.43-16.55],17.57 [16.90-18.26],18.42 [17.76-19.09]
COVIDCON,"Yes, with suspected case",2859,17784,16.08 [15.54-16.62],17.68 [17.04-18.34],19.21 [18.57-19.87]
COVIDCON,No,12115,331037,3.66 [3.60-3.72],2.72 [2.65-2.80],3.39 [3.31-3.47]
health_conditions,>1,3171,71104,4.46 [4.31-4.61],3.69 [3.51-3.87],4.37 [4.18-4.57]
