Question,Category,Total antibody positive_r1,Total tests (with valid results)_r1,Crude prevalence_r1,Prevalence adjusted for test_r1,Weighted prevalence_r1,Total antibody positive_r2,Total tests (with valid results)_r2,Crude prevalence_r2,Prevalence adjusted for test_r2,Weighted prevalence_r2,Total antibody positive_r3,Total tests (with valid results)_r3,Crude prevalence_r3,Prevalence adjusted for test_r3,Weighted prevalence_r3,percent_diff_unweighted12,percent_diff_weighted12,percent_diff_unweighted23,percent_diff_weighted23,percent_diff_unweighted13,percent_diff_weighted13
Full_cohort,England,5544,99908,5.55 [5.41-5.69],5.00 [4.83-5.17],5.96 [5.78-6.14],4995,105829,4.72 [4.59-4.85],4.00 [3.85-4.16],4.83 [4.67-5.00],7037,159367,4.42 [4.32-4.52],3.63 [3.51-3.76],4.38 [4.25-4.51],"-20.00 [-23.20, -16.80]","-18.96 [-21.81, -16.11]","-9.00 [-12.50, -5.50]","-9.11 [-12.01, -6.21]","-22.82 [-25.17, -20.47]","-26.34 [-28.86, -23.83]"
gender,Male,2405,43825,5.49 [5.28-5.70],4.92 [4.67-5.19],6.17 [5.91-6.44],2117,46269,4.58 [4.39-4.77],3.83 [3.60-4.06],4.87 [4.64-5.11],3029,69421,4.36 [4.21-4.52],3.57 [3.39-3.76],4.37 [4.19-4.56],"-22.36 [-27.24, -17.48]","-21.07 [-24.96, -17.18]","-6.79 [-12.01, -1.57]","-10.27 [-14.58, -5.95]","-22.04 [-25.61, -18.48]","-29.17 [-32.74, -25.61]"
gender,Female,3139,56083,5.60 [5.41-5.79],5.06 [4.83-5.29],5.75 [5.50-6.01],2878,59560,4.83 [4.66-5.01],4.14 [3.93-4.35],4.79 [4.57-5.03],4008,89944,4.46 [4.32-4.59],3.68 [3.52-3.85],4.39 [4.21-4.57],"-18.38 [-22.53, -14.23]","-16.70 [-20.87, -12.52]","-10.63 [-14.98, -6.28]","-8.56 [-12.73, -4.38]","-23.83 [-27.13, -20.52]","-23.83 [-27.48, -20.17]"
age_group,18-24,463,6499,7.12 [6.52-7.78],6.90 [6.17-7.68],7.86 [7.26-8.50],411,6493,6.33 [5.76-6.95],5.94 [5.26-6.68],7.31 [6.75-7.90],574,8763,6.55 [6.05-7.09],6.21 [5.60-6.85],6.70 [6.25-7.17],"-13.77 [-24.06, -3.48]","-7.12 [-14.50, 0.25]","4.38 [-6.57, 15.32]","-8.34 [-15.32, -1.37]","-8.78 [-17.30, -0.25]","-14.89 [-21.63, -8.14]"
age_group,25-34,930,13366,6.96 [6.54-7.40],6.70 [6.19-7.23],7.83 [7.35-8.32],775,13573,5.71 [5.33-6.11],5.19 [4.74-5.68],5.88 [5.47-6.32],1036,20212,5.13 [4.83-5.44],4.49 [4.13-4.87],5.15 [4.83-5.49],"-22.54 [-29.70, -15.37]","-24.90 [-30.52, -19.28]","-13.49 [-21.39, -5.59]","-12.24 [-18.54, -5.95]","-28.22 [-33.84, -22.61]","-34.10 [-39.21, -28.99]"
age_group,35-44,964,17052,5.65 [5.32-6.01],5.12 [4.72-5.55],6.09 [5.65-6.56],837,17130,4.89 [4.57-5.22],4.20 [3.82-4.60],5.12 [4.71-5.55],1202,26687,4.50 [4.26-4.76],3.74 [3.45-4.05],4.60 [4.28-4.94],"-17.97 [-25.59, -10.35]","-16.09 [-23.15, -9.03]","-11.19 [-19.29, -3.10]","-10.16 [-17.38, -2.93]","-22.82 [-28.57, -17.08]","-24.63 [-31.03, -18.23]"
age_group,45-54,1255,20634,6.08 [5.76-6.42],5.64 [5.26-6.04],6.41 [5.98-6.87],1100,21487,5.12 [4.83-5.42],4.48 [4.14-4.85],5.48 [5.08-5.90],1559,32403,4.81 [4.58-5.05],4.11 [3.84-4.40],4.96 [4.65-5.29],"-20.57 [-26.95, -14.18]","-14.51 [-21.06, -7.96]","-8.26 [-15.18, -1.34]","-9.49 [-16.06, -2.92]","-23.87 [-29.02, -18.72]","-22.62 [-28.55, -16.69]"
age_group,55-64,1131,20404,5.54 [5.24-5.87],4.99 [4.62-5.38],5.92 [5.46-6.40],1074,21840,4.92 [4.64-5.21],4.24 [3.90-4.59],4.70 [4.30-5.14],1537,32870,4.68 [4.45-4.91],3.95 [3.68-4.23],4.33 [4.01-4.67],"-15.03 [-22.04, -8.02]","-20.61 [-27.87, -13.34]","-6.84 [-13.92, 0.24]","-7.66 [-15.53, 0.21]","-17.57 [-22.97, -12.16]","-26.69 [-33.45, -19.93]"
age_group,65-74,568,15543,3.65 [3.37-3.96],2.72 [2.37-3.09],3.16 [2.76-3.59],594,17617,3.37 [3.12-3.65],2.38 [2.07-2.71],2.74 [2.37-3.14],787,26542,2.97 [2.77-3.18],1.89 [1.65-2.14],2.25 [1.96-2.56],"-12.50 [-24.63, -0.37]","-13.61 [-25.95, -1.27]","-20.17 [-31.93, -8.40]","-17.52 [-29.93, -5.11]","-25.95 [-35.44, -16.46]","-28.80 [-39.87, -17.72]"
age_group,75+,233,6410,3.63 [3.20-4.12],2.69 [2.17-3.28],3.31 [2.86-3.79],204,7689,2.65 [2.32-3.04],1.51 [1.10-1.97],1.61 [1.26-2.00],342,11890,2.88 [2.59-3.19],1.78 [1.43-2.16],2.01 [1.70-2.34],"-43.87 [-61.71, -26.02]","-51.06 [-63.44, -38.67]","17.88 [-7.95, 43.71]","24.84 [3.73, 45.96]","-27.49 [-41.09, -13.90]","-38.97 [-50.76, -27.19]"
