"level","prevalence_16","lower_16","upper_16","weighted_prevalence"
"Male","1.49%","1.36%","1.64%","1.49% (1.36%, 1.64%)"
"Female","1.34%","1.23%","1.46%","1.34% (1.23%, 1.46%)"
"NA","0.00%","0.00%",NA,"0.00% (0.00%, NA)"
"12-17","2.31%","1.91%","2.80%","2.31% (1.91%, 2.80%)"
"18-24","0.93%","0.57%","1.51%","0.93% (0.57%, 1.51%)"
"25-34","1.38%","1.10%","1.74%","1.38% (1.10%, 1.74%)"
"35-44","1.71%","1.48%","1.98%","1.71% (1.48%, 1.98%)"
"5-11","4.74%","4.15%","5.40%","4.74% (4.15%, 5.40%)"
"45-54","1.32%","1.15%","1.52%","1.32% (1.15%, 1.52%)"
"55-64","0.97%","0.84%","1.13%","0.97% (0.84%, 1.13%)"
"65-74","0.48%","0.39%","0.59%","0.48% (0.39%, 0.59%)"
"75+","0.21%","0.13%","0.32%","0.21% (0.13%, 0.32%)"
"South East","1.54%","1.33%","1.77%","1.54% (1.33%, 1.77%)"
"North East","1.00%","0.70%","1.42%","1.00% (0.70%, 1.42%)"
"North West","1.08%","0.86%","1.35%","1.08% (0.86%, 1.35%)"
"Yorkshire and The Humber","1.32%","1.05%","1.66%","1.32% (1.05%, 1.66%)"
"East Midlands","1.73%","1.42%","2.11%","1.73% (1.42%, 2.11%)"
"West Midlands","1.03%","0.81%","1.31%","1.03% (0.81%, 1.31%)"
"East of England","1.22%","0.99%","1.49%","1.22% (0.99%, 1.49%)"
"London","1.84%","1.59%","2.12%","1.84% (1.59%, 2.12%)"
"South West","1.57%","1.30%","1.90%","1.57% (1.30%, 1.90%)"
"HCW/CHW","1.41%","1.13%","1.76%","1.41% (1.13%, 1.76%)"
"Key worker (other)","1.96%","1.70%","2.25%","1.96% (1.70%, 2.25%)"
"Other worker","1.52%","1.38%","1.68%","1.52% (1.38%, 1.68%)"
"Not FT, PT, SE","1.06%","0.92%","1.21%","1.06% (0.92%, 1.21%)"
"NA","1.19%","0.77%","1.83%","1.19% (0.77%, 1.83%)"
"White","1.35%","1.26%","1.45%","1.35% (1.26%, 1.45%)"
"Asian / Asian British","1.64%","1.24%","2.17%","1.64% (1.24%, 2.17%)"
"Black / African / Caribbean / Black British","2.10%","1.48%","2.98%","2.10% (1.48%, 2.98%)"
"Mixed","2.03%","1.40%","2.94%","2.03% (1.40%, 2.94%)"
"Other","1.81%","1.08%","3.01%","1.81% (1.08%, 3.01%)"
"NA","1.96%","1.40%","2.74%","1.96% (1.40%, 2.74%)"
"1","0.88%","0.72%","1.09%","0.88% (0.72%, 1.09%)"
"2","0.77%","0.68%","0.88%","0.77% (0.68%, 0.88%)"
"3","1.40%","1.22%","1.62%","1.40% (1.22%, 1.62%)"
"4","2.29%","2.04%","2.57%","2.29% (2.04%, 2.57%)"
"5","2.73%","2.25%","3.32%","2.73% (2.25%, 3.32%)"
"6+","2.65%","2.00%","3.50%","2.65% (2.00%, 3.50%)"
"0","0.85%","0.76%","0.95%","0.85% (0.76%, 0.95%)"
"1+","2.43%","2.23%","2.65%","2.43% (2.23%, 2.65%)"
"NA","1.69%","1.35%","2.12%","1.69% (1.35%, 2.12%)"
"No","0.81%","0.73%","0.89%","0.81% (0.73%, 0.89%)"
"Yes, contact with confirmed/tested COVID-19 case","8.00%","7.25%","8.82%","8.00% (7.25%, 8.82%)"
"Yes, contact with suspected COVID-19 case","3.29%","2.40%","4.51%","3.29% (2.40%, 4.51%)"
"NA","1.25%","1.04%","1.49%","1.25% (1.04%, 1.49%)"
"Classic COVID symptoms","6.96%","6.32%","7.67%","6.96% (6.32%, 7.67%)"
"Other symptoms","1.52%","1.31%","1.76%","1.52% (1.31%, 1.76%)"
"No symptoms","0.62%","0.55%","0.70%","0.62% (0.55%, 0.70%)"
"NA","1.24%","1.03%","1.49%","1.24% (1.03%, 1.49%)"
"1","1.47%","1.21%","1.78%","1.47% (1.21%, 1.78%)"
"2","1.61%","1.40%","1.84%","1.61% (1.40%, 1.84%)"
"3","1.39%","1.21%","1.58%","1.39% (1.21%, 1.58%)"
"4","1.26%","1.10%","1.44%","1.26% (1.10%, 1.44%)"
"5","1.37%","1.21%","1.54%","1.37% (1.21%, 1.54%)"
"NA","2.30%","2.06%","2.57%","2.30% (2.06%, 2.57%)"
"Not vaccinated","1.75%","1.34%","2.28%","1.75% (1.34%, 2.28%)"
"One does","2.27%","1.71%","3.01%","2.27% (1.71%, 3.01%)"
"Two does","1.68%","1.51%","1.87%","1.68% (1.51%, 1.87%)"
"Three does","0.42%","0.36%","0.49%","0.42% (0.36%, 0.49%)"
"Unknown does","1.10%","0.75%","1.60%","1.10% (0.75%, 1.60%)"
