Variable,Category,total,Number with 1 or more symptoms (weighted),Number with 2 or more symptoms (weighted),Number with 3 or more symptoms (weighted),Prevalence 1 or more symptoms (weighted),Prevalence 2 or more symptoms (weighted),Prevalence 3 or more symptoms (weighted)
dummy,All participants,508707,24867,14810,8555,4.95 [4.89-5.01],2.94 [2.9-2.99],1.69 [1.65-1.72]
Sex,Female,284840,15923,9714,5761,5.75 [5.66-5.84],3.53 [3.46-3.6],2.08 [2.03-2.14]
Sex,Male,223861,8944,5096,2794,4.12 [4.04-4.2],2.33 [2.27-2.39],1.27 [1.23-1.32]
Age group,18-24,28655,1295,700,357,4.64 [4.47-4.82],2.56 [2.43-2.69],1.33 [1.24-1.43]
Age group,25-34,65159,3209,1728,923,5.1 [4.96-5.25],2.74 [2.63-2.85],1.39 [1.32-1.47]
Age group,35-44,85044,4566,2600,1392,5.34 [5.19-5.5],3.07 [2.96-3.19],1.65 [1.57-1.74]
Age group,45-54,103478,6050,3702,2201,6 [5.84-6.15],3.68 [3.56-3.81],2.2 [2.1-2.3]
Age group,55-64,105361,5604,3470,2077,5.48 [5.32-5.65],3.43 [3.31-3.56],2.09 [1.99-2.2]
Age group,65-74,85297,3087,1919,1175,3.91 [3.76-4.06],2.46 [2.34-2.58],1.52 [1.43-1.62]
Age group,74+,35713,1056,691,430,3.17 [3.03-3.33],2.13 [2.01-2.25],1.36 [1.26-1.46]
Ethnicity,Asian,17666,687,390,214,4.15 [3.95-4.37],2.34 [2.19-2.5],1.23 [1.12-1.35]
Ethnicity,Black,4091,235,116,65,5.42 [5.04-5.81],2.94 [2.66-3.24],1.6 [1.4-1.83]
Ethnicity,Mixed,6112,426,263,169,6.58 [5.97-7.26],3.85 [3.38-4.38],2.35 [1.98-2.77]
Ethnicity,Other,4434,251,141,89,5.66 [5.08-6.3],3.21 [2.78-3.71],2.05 [1.71-2.46]
Ethnicity,White,472750,23060,13769,7937,4.96 [4.9-5.03],2.97 [2.92-3.02],1.71 [1.67-1.75]
BMI,Normal weight,183305,7631,4298,2341,4.3 [4.2-4.39],2.41 [2.34-2.48],1.3 [1.25-1.35]
BMI,Obese,97597,6304,4014,2432,6.41 [6.25-6.56],4.02 [3.89-4.14],2.44 [2.34-2.54]
BMI,Overweight,161456,7672,4506,2593,4.89 [4.78-5],2.89 [2.81-2.97],1.67 [1.6-1.73]
BMI,Underweight,6273,293,180,122,4.99 [4.53-5.5],2.96 [2.6-3.36],1.69 [1.42-2]
Healthcare or care home worker,No,292531,14601,8300,4515,5.04 [4.96-5.12],2.84 [2.78-2.9],1.53 [1.48-1.57]
Healthcare or care home worker,Yes,27690,2078,1292,758,7.45 [7.14-7.76],4.65 [4.4-4.9],2.61 [2.42-2.8]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3055,1950,1201,5.92 [5.77-6.07],3.74 [3.62-3.86],2.26 [2.17-2.35]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3055,1950,1201,5.92 [5.77-6.07],3.74 [3.62-3.86],2.26 [2.17-2.35]
Index of multiple deprivation (IMD) quintile,2,80894,4424,2688,1661,5.42 [5.29-5.56],3.18 [3.08-3.29],1.89 [1.81-1.98]
Index of multiple deprivation (IMD) quintile,2,80894,4424,2688,1661,5.42 [5.29-5.56],3.18 [3.08-3.29],1.89 [1.81-1.98]
Index of multiple deprivation (IMD) quintile,3,109928,5472,3294,1946,4.73 [4.6-4.86],2.83 [2.73-2.93],1.62 [1.55-1.7]
Index of multiple deprivation (IMD) quintile,3,109928,5472,3294,1946,4.73 [4.6-4.86],2.83 [2.73-2.93],1.62 [1.55-1.7]
Index of multiple deprivation (IMD) quintile,4,126237,5805,3395,1900,4.47 [4.35-4.6],2.59 [2.49-2.69],1.41 [1.34-1.49]
Index of multiple deprivation (IMD) quintile,4,126237,5805,3395,1900,4.47 [4.35-4.6],2.59 [2.49-2.69],1.41 [1.34-1.49]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,6111,3483,1847,4.21 [4.08-4.34],2.38 [2.28-2.47],1.25 [1.19-1.32]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,6111,3483,1847,4.21 [4.08-4.34],2.38 [2.28-2.47],1.25 [1.19-1.32]
Current smoker,Current cigarette smoker,50983,3100,2001,1241,6.1 [5.91-6.3],3.85 [3.69-4.01],2.38 [2.25-2.5]
Current smoker,Not current cigarette smoker,453681,21551,12680,7237,4.8 [4.74-4.86],2.82 [2.77-2.87],1.6 [1.56-1.64]
Current smoker,Prefer not to say,4043,216,129,77,5.46 [4.83-6.16],3.48 [2.99-4.06],1.82 [1.47-2.25]
Current vaper,Current vaper,28436,1751,1075,651,6.34 [6.08-6.62],3.95 [3.74-4.17],2.25 [2.09-2.42]
Current vaper,Not current vaper,477729,22988,13652,7851,4.86 [4.8-4.92],2.87 [2.83-2.92],1.65 [1.61-1.69]
Current vaper,Prefer not to say,2542,128,83,53,5.13 [4.38-5.99],3.33 [2.73-4.05],1.77 [1.35-2.32]
Severity of COVID symptoms,Mild symptoms,27572,4316,2060,813,14.66 [14.27-15.06],6.94 [6.66-7.22],2.7 [2.52-2.89]
Severity of COVID symptoms,Moderate symptoms,45357,12539,7228,4059,26.79 [26.39-27.19],15.37 [15.04-15.69],8.69 [8.44-8.95]
Severity of COVID symptoms,No symptoms,416589,0,0,0,0 [0-0],0 [0-0],0 [0-0]
Severity of COVID symptoms,Severe symptoms,19187,8012,5522,3683,40.51 [39.83-41.2],28.15 [27.53-28.78],18.43 [17.9-18.98]
Treatment sought/ received for COVID,Hospital admission,739,393,292,208,51.01 [47.63-54.38],38.14 [34.92-41.47],26.7 [23.82-29.79]
Treatment sought/ received for COVID,No medical attention sought,58330,12756,6898,3525,20.74 [20.42-21.06],11.14 [10.9-11.39],5.72 [5.54-5.91]
Treatment sought/ received for COVID,Sought medical attention from pharmacist / by phone (NHS 111/GP),21388,7785,5126,3330,34.81 [34.2-35.42],22.77 [22.23-23.31],14.69 [14.24-15.15]
Treatment sought/ received for COVID,Visited GP/walk-in centre/A&E,6792,2458,1590,958,34.97 [33.85-36.12],23.12 [22.13-24.14],13.31 [12.52-14.14]
Hospitalised with COVID,No,507968,24474,14518,8347,4.87 [4.82-4.93],2.88 [2.84-2.93],1.65 [1.61-1.68]
Hospitalised with COVID,Yes,739,393,292,208,51.01 [47.63-54.38],38.14 [34.92-41.47],26.7 [23.82-29.79]
Gross household income,">150,000",16279,751,385,180,4.61 [4.28-4.96],2.25 [2.02-2.5],1.01 [0.86-1.19]
Gross household income,"0-14,999",32819,2061,1387,937,6.23 [5.99-6.48],4.18 [3.98-4.38],2.87 [2.71-3.05]
Gross household income,"15,000-49,999",148039,7601,4635,2692,5.27 [5.16-5.38],3.21 [3.12-3.3],1.84 [1.77-1.91]
Gross household income,"50,000-149,999",128957,6092,3359,1746,4.81 [4.69-4.93],2.6 [2.51-2.69],1.32 [1.26-1.38]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3055,1950,1201,5.92 [5.77-6.07],3.74 [3.62-3.86],2.26 [2.17-2.35]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3055,1950,1201,5.92 [5.77-6.07],3.74 [3.62-3.86],2.26 [2.17-2.35]
Index of multiple deprivation (IMD) quintile,2,80894,4424,2688,1661,5.42 [5.29-5.56],3.18 [3.08-3.29],1.89 [1.81-1.98]
