predictor,Level,crude_mode_OR,plus_age_group_named,plus_sex
Sex,Male [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Female,1.46 [1.42-1.51],1.51 [1.46-1.55],1.51 [1.46-1.55]
Age group,55-64 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,0.58 [0.54-0.62],0.58 [0.54-0.62],0.56 [0.53-0.6]
Age group,25-34,0.6 [0.57-0.63],0.6 [0.57-0.63],0.58 [0.55-0.61]
Age group,35-44,0.65 [0.62-0.68],0.65 [0.62-0.68],0.64 [0.61-0.67]
Age group,45-54,0.86 [0.83-0.9],0.86 [0.83-0.9],0.86 [0.82-0.9]
Age group,65-74,1.16 [1.1-1.22],1.16 [1.1-1.22],1.16 [1.1-1.23]
Age group,74+,1.51 [1.38-1.64],1.51 [1.38-1.64],1.47 [1.35-1.61]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,0.71 [0.65-0.77],0.79 [0.73-0.86],0.8 [0.74-0.88]
Ethnicity,Black,0.99 [0.85-1.15],1.06 [0.91-1.23],1.06 [0.91-1.24]
Ethnicity,Mixed,1.05 [0.94-1.18],1.2 [1.07-1.35],1.19 [1.06-1.33]
Ethnicity,Other,0.99 [0.86-1.14],1.06 [0.91-1.22],1.05 [0.91-1.22]
BMI,Normal weight [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
BMI,Obese,1.52 [1.46-1.58],1.47 [1.41-1.54],1.53 [1.47-1.59]
BMI,Overweight,1.14 [1.1-1.18],1.08 [1.04-1.12],1.16 [1.12-1.21]
BMI,Underweight,1.15 [1.01-1.33],1.25 [1.08-1.43],1.17 [1.02-1.35]
Healthcare or care home worker,No [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Healthcare or care home worker,Yes,1.48 [1.39-1.56],1.48 [1.4-1.57],1.33 [1.26-1.41]
Index of multiple deprivation (IMD) quintile,3 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Index of multiple deprivation (IMD) quintile,1 - most deprived,1.19 [1.12-1.25],1.24 [1.17-1.31],1.24 [1.17-1.31]
Index of multiple deprivation (IMD) quintile,2,1.05 [1-1.1],1.08 [1.03-1.13],1.08 [1.03-1.13]
Index of multiple deprivation (IMD) quintile,4,0.94 [0.9-0.98],0.92 [0.88-0.96],0.92 [0.88-0.97]
Index of multiple deprivation (IMD) quintile,5 - least deprived,0.85 [0.82-0.89],0.83 [0.8-0.87],0.84 [0.8-0.87]
Current smoker,Not current cigarette smoker [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Current smoker,Current cigarette smoker,1.23 [1.17-1.29],1.33 [1.27-1.39],1.35 [1.28-1.41]
Current smoker,Prefer not to say,0.92 [0.79-1.08],1.02 [0.87-1.2],1.03 [0.88-1.21]
Current vaper,Not current vaper [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Current vaper,Current vaper,1.12 [1.06-1.19],1.22 [1.15-1.29],1.26 [1.18-1.34]
Current vaper,Prefer not to say,0.84 [0.69-1.03],0.92 [0.75-1.12],0.94 [0.77-1.16]
Treatment sought/ received for COVID,No medical attention sought [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Treatment sought/ received for COVID,Hospital admission,3.98 [3.37-4.69],3.45 [2.92-4.08],3.46 [2.93-4.09]
Treatment sought/ received for COVID,Sought medical attention from pharmacist / by phone (NHS 111/GP),2.07 [2-2.14],2.1 [2.03-2.18],2.05 [1.98-2.12]
Treatment sought/ received for COVID,Visited GP/walk-in centre/A&E,1.81 [1.72-1.91],1.73 [1.64-1.83],1.67 [1.58-1.76]
