predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,1.06 [0.84-1.32],1.06 [0.84-1.32],1.05 [0.84-1.31]
Age group,25-34,1.26 [1.07-1.48],1.26 [1.07-1.48],1.25 [1.07-1.47]
Age group,45-54,0.51 [0.43-0.62],0.51 [0.43-0.62],0.52 [0.43-0.62]
Age group,55-64,0.31 [0.27-0.36],0.31 [0.27-0.36],0.32 [0.27-0.36]
Age group,65-74,0.17 [0.14-0.2],0.17 [0.14-0.2],0.17 [0.14-0.2]
Age group,74+,0.14 [0.09-0.21],0.14 [0.09-0.21],0.14 [0.09-0.21]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.74 [0.67-0.82],0.83 [0.75-0.91],0.83 [0.75-0.91]
Level of education,GCSE [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Level of education,Degree or above,1.14 [1-1.3],0.83 [0.73-0.95],0.84 [0.73-0.96]
Level of education,No qualification,0.95 [0.79-1.15],1.38 [1.14-1.67],1.39 [1.14-1.68]
Level of education,Other,1.18 [0.97-1.44],1.46 [1.2-1.78],1.49 [1.22-1.81]
Level of education,Post-GCSE qualification,1.21 [1.06-1.39],0.97 [0.84-1.12],0.98 [0.85-1.13]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,1.16 [0.89-1.51],0.8 [0.62-1.05],0.81 [0.62-1.06]
Ethnicity,Black,2.59 [1.93-3.47],2.09 [1.56-2.81],2.11 [1.57-2.83]
Ethnicity,Mixed,2.67 [1.92-3.71],1.59 [1.14-2.21],1.58 [1.14-2.21]
Ethnicity,Other,2.31 [1.64-3.23],1.91 [1.36-2.68],1.93 [1.37-2.7]
Region,South East [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Region,East Midlands,0.94 [0.78-1.13],0.95 [0.79-1.14],0.95 [0.79-1.14]
Region,East of England,1.14 [0.97-1.34],1.13 [0.96-1.33],1.13 [0.96-1.33]
Region,London,1.51 [1.28-1.78],1.29 [1.09-1.52],1.29 [1.09-1.53]
Region,North East,1.12 [0.86-1.47],1.12 [0.85-1.46],1.12 [0.85-1.46]
Region,North West,1.24 [1.04-1.47],1.25 [1.05-1.48],1.25 [1.05-1.48]
Region,South West,1.03 [0.85-1.25],1.07 [0.88-1.29],1.07 [0.88-1.29]
Region,West Midlands,1.14 [0.94-1.37],1.14 [0.94-1.37],1.14 [0.94-1.38]
Region,Yorkshire and The Humber,1.12 [0.9-1.38],1.14 [0.92-1.41],1.13 [0.92-1.41]
Previous case of COVID,No COVID [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Previous case of COVID,COVID confirmed by test,3.11 [2.63-3.68],2.46 [2.07-2.91],2.44 [2.06-2.89]
Previous case of COVID,COVID suspected by doctor,3.76 [2.76-5.14],3.1 [2.27-4.24],3.06 [2.24-4.19]
Previous case of COVID,COVID suspected by respondent,4.06 [3.63-4.54],3.15 [2.8-3.53],3.15 [2.81-3.54]
Gross household income,"15,000-49,999 [reference]",NA [NA-NA],NA [NA-NA],NA [NA-NA]
Gross household income,">150,000",0.5 [0.32-0.78],0.35 [0.23-0.55],0.36 [0.23-0.56]
Gross household income,"0-14,999",1.67 [1.43-1.96],1.94 [1.65-2.27],1.91 [1.63-2.24]
Gross household income,"50,000-149,999",0.85 [0.73-0.98],0.59 [0.51-0.68],0.59 [0.51-0.69]
Index of multiple deprivation (IMD) quintile,3 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Index of multiple deprivation (IMD) quintile,1 - most deprived,2.05 [1.76-2.38],1.79 [1.54-2.08],1.79 [1.54-2.08]
Index of multiple deprivation (IMD) quintile,2,1.31 [1.13-1.52],1.21 [1.05-1.41],1.21 [1.05-1.4]
Index of multiple deprivation (IMD) quintile,4,0.84 [0.73-0.97],0.87 [0.76-1.01],0.87 [0.76-1.01]
Index of multiple deprivation (IMD) quintile,5 - least deprived,0.59 [0.51-0.69],0.63 [0.54-0.73],0.63 [0.54-0.73]
Current smoker,Not current cigarette smoker [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Current smoker,Current cigarette smoker,2 [1.74-2.31],1.62 [1.41-1.87],1.63 [1.42-1.88]
Current smoker,Prefer not to say,2.13 [1.54-2.93],1.77 [1.28-2.44],1.78 [1.29-2.45]
