predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_vaccine_type,plus_days_since_first_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,1.7 [1.38-2.09],1.7 [1.38-2.09],1.67 [1.35-2.05],1.7 [1.38-2.09],1.61 [1.3-1.99],1.74 [1.41-2.16]
Age group,25-34,1.43 [1.25-1.63],1.43 [1.25-1.63],1.41 [1.24-1.61],1.42 [1.25-1.63],1.38 [1.21-1.58],1.49 [1.3-1.7]
Age group,45-54,0.69 [0.63-0.75],0.69 [0.63-0.75],0.7 [0.65-0.76],0.72 [0.66-0.79],0.73 [0.67-0.8],0.73 [0.67-0.8]
Age group,55-64,0.48 [0.44-0.52],0.48 [0.44-0.52],0.5 [0.46-0.54],0.52 [0.48-0.56],0.56 [0.52-0.61],0.68 [0.63-0.74]
Age group,65-74,0.4 [0.36-0.45],0.4 [0.36-0.45],0.41 [0.37-0.46],0.43 [0.38-0.47],0.43 [0.38-0.48],0.59 [0.53-0.66]
Age group,74+,0.47 [0.4-0.54],0.47 [0.4-0.54],0.49 [0.42-0.56],0.51 [0.44-0.59],0.31 [0.27-0.36],0.25 [0.21-0.29]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.68 [0.66-0.7],0.7 [0.68-0.73],0.7 [0.68-0.73],0.7 [0.68-0.73],0.71 [0.68-0.73],0.7 [0.68-0.73]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,1.94 [1.74-2.16],1.68 [1.5-1.87],1.69 [1.51-1.89],1.69 [1.51-1.89],1.68 [1.5-1.87],1.66 [1.49-1.86]
Ethnicity,Black,1.88 [1.58-2.23],1.81 [1.53-2.16],1.87 [1.57-2.23],1.87 [1.57-2.23],1.88 [1.58-2.24],1.87 [1.57-2.23]
Ethnicity,Mixed,1.4 [1.17-1.68],1.21 [1.01-1.46],1.21 [1-1.45],1.21 [1-1.45],1.19 [0.99-1.43],1.18 [0.98-1.43]
Ethnicity,Other,1.35 [1.1-1.65],1.3 [1.06-1.59],1.31 [1.07-1.61],1.31 [1.07-1.61],1.29 [1.05-1.58],1.25 [1.02-1.54]
Vaccine type,AstraZeneca/Oxford [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Vaccine type,Don't know,0.85 [0.59-1.23],0.96 [0.66-1.39],0.96 [0.66-1.4],0.97 [0.66-1.41],0.97 [0.66-1.41],0.94 [0.64-1.37]
Vaccine type,Moderna,15.3 [10.27-22.78],12.38 [8.3-18.47],12.74 [8.53-19.01],12.65 [8.47-18.89],12.65 [8.47-18.89],8.71 [5.83-13.03]
Vaccine type,Pfizer/BioNTech,1.87 [1.76-1.98],1.98 [1.84-2.12],1.93 [1.8-2.07],1.94 [1.81-2.08],1.94 [1.81-2.08],1.77 [1.65-1.9]
