predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,1.64 [1.33-2.02],1.64 [1.33-2.02],1.62 [1.31-2],1.65 [1.33-2.03],1.63 [1.31-2.02],1.69 [1.32-2.15],1.67 [1.31-2.13],1.68 [1.31-2.14],1.68 [1.31-2.14],1.68 [1.31-2.14],1.68 [1.32-2.15],1.68 [1.32-2.15],1.68 [1.32-2.15],1.68 [1.32-2.15],1.68 [1.32-2.14],1.68 [1.32-2.15],1.7 [1.33-2.17],1.7 [1.33-2.17],1.69 [1.33-2.16],1.7 [1.33-2.17],1.71 [1.34-2.19],1.72 [1.35-2.2],1.73 [1.35-2.2],1.73 [1.36-2.21],1.88 [1.47-2.4]
Age group,25-34,1.31 [1.15-1.49],1.31 [1.15-1.49],1.3 [1.14-1.48],1.31 [1.15-1.5],1.32 [1.15-1.51],1.29 [1.11-1.49],1.29 [1.11-1.5],1.29 [1.12-1.5],1.29 [1.12-1.5],1.29 [1.12-1.5],1.29 [1.12-1.5],1.29 [1.11-1.5],1.29 [1.11-1.5],1.29 [1.11-1.5],1.29 [1.11-1.5],1.29 [1.12-1.5],1.3 [1.12-1.51],1.3 [1.12-1.51],1.3 [1.12-1.51],1.3 [1.12-1.51],1.31 [1.13-1.52],1.31 [1.13-1.52],1.31 [1.13-1.52],1.32 [1.13-1.53],1.42 [1.22-1.65]
Age group,45-54,0.75 [0.69-0.82],0.75 [0.69-0.82],0.77 [0.71-0.84],0.79 [0.73-0.86],0.82 [0.75-0.9],0.82 [0.75-0.9],0.82 [0.74-0.9],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.73-0.88],0.81 [0.73-0.88],0.8 [0.73-0.88],0.8 [0.73-0.88]
Age group,55-64,0.58 [0.54-0.63],0.58 [0.54-0.63],0.6 [0.55-0.64],0.62 [0.57-0.67],0.66 [0.61-0.72],0.65 [0.6-0.71],0.65 [0.59-0.7],0.65 [0.59-0.7],0.65 [0.59-0.7],0.65 [0.59-0.7],0.65 [0.59-0.7],0.65 [0.6-0.71],0.65 [0.6-0.71],0.65 [0.6-0.71],0.65 [0.6-0.71],0.65 [0.6-0.71],0.65 [0.6-0.71],0.65 [0.6-0.71],0.65 [0.6-0.71],0.65 [0.6-0.71],0.65 [0.59-0.7],0.64 [0.59-0.7],0.64 [0.59-0.7],0.64 [0.59-0.7],0.74 [0.68-0.81]
Age group,65-74,0.49 [0.44-0.55],0.49 [0.44-0.55],0.5 [0.45-0.56],0.52 [0.47-0.58],0.54 [0.48-0.6],0.53 [0.47-0.6],0.53 [0.47-0.59],0.53 [0.48-0.6],0.53 [0.48-0.6],0.54 [0.48-0.61],0.54 [0.48-0.61],0.55 [0.49-0.62],0.55 [0.49-0.62],0.55 [0.49-0.62],0.55 [0.49-0.62],0.55 [0.49-0.62],0.55 [0.49-0.61],0.55 [0.49-0.62],0.55 [0.49-0.62],0.55 [0.49-0.62],0.55 [0.49-0.62],0.55 [0.49-0.61],0.55 [0.49-0.61],0.54 [0.48-0.61],0.69 [0.61-0.78]
Age group,74+,0.29 [0.18-0.49],0.29 [0.18-0.49],0.3 [0.18-0.49],0.3 [0.18-0.5],0.28 [0.17-0.48],0.31 [0.18-0.53],0.3 [0.18-0.52],0.32 [0.19-0.55],0.32 [0.19-0.55],0.33 [0.19-0.57],0.33 [0.2-0.57],0.34 [0.2-0.58],0.34 [0.2-0.58],0.34 [0.2-0.58],0.34 [0.2-0.58],0.34 [0.2-0.58],0.33 [0.19-0.57],0.34 [0.2-0.57],0.34 [0.2-0.58],0.34 [0.2-0.58],0.34 [0.2-0.58],0.33 [0.2-0.57],0.33 [0.19-0.57],0.33 [0.19-0.57],0.3 [0.17-0.51]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.73 [0.7-0.75],0.74 [0.72-0.77],0.74 [0.72-0.77],0.74 [0.72-0.77],0.73 [0.7-0.75],0.71 [0.68-0.74],0.71 [0.68-0.74],0.71 [0.68-0.74],0.71 [0.68-0.74],0.71 [0.68-0.74],0.71 [0.69-0.74],0.71 [0.69-0.74],0.71 [0.69-0.74],0.71 [0.69-0.74],0.71 [0.69-0.74],0.71 [0.69-0.74],0.71 [0.69-0.74],0.71 [0.69-0.74],0.71 [0.69-0.74],0.71 [0.69-0.74],0.71 [0.68-0.74],0.71 [0.68-0.74],0.71 [0.68-0.73],0.71 [0.68-0.73],0.7 [0.68-0.73]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,1.88 [1.69-2.09],1.69 [1.51-1.88],1.7 [1.52-1.9],1.7 [1.52-1.9],1.76 [1.57-1.96],1.78 [1.57-2.01],1.76 [1.56-1.99],1.8 [1.59-2.03],1.8 [1.59-2.03],1.81 [1.6-2.05],1.81 [1.6-2.04],1.81 [1.6-2.05],1.81 [1.6-2.05],1.81 [1.6-2.05],1.81 [1.6-2.05],1.81 [1.6-2.05],1.81 [1.6-2.04],1.81 [1.6-2.04],1.81 [1.6-2.04],1.81 [1.6-2.04],1.8 [1.59-2.03],1.79 [1.59-2.03],1.79 [1.59-2.03],1.79 [1.59-2.03],1.79 [1.59-2.03]
Ethnicity,Black,1.88 [1.59-2.22],1.85 [1.57-2.19],1.89 [1.6-2.23],1.89 [1.6-2.23],1.92 [1.61-2.27],2.01 [1.66-2.45],2.01 [1.65-2.44],2.04 [1.68-2.49],2.04 [1.68-2.48],2.07 [1.7-2.52],2.07 [1.7-2.52],2.09 [1.72-2.55],2.09 [1.72-2.55],2.09 [1.72-2.55],2.1 [1.72-2.55],2.1 [1.72-2.55],2.1 [1.73-2.56],2.1 [1.73-2.56],2.1 [1.73-2.56],2.1 [1.73-2.56],2.1 [1.72-2.56],2.09 [1.72-2.55],2.09 [1.72-2.55],2.09 [1.72-2.55],2.08 [1.71-2.54]
Ethnicity,Mixed,1.27 [1.06-1.51],1.15 [0.96-1.37],1.13 [0.95-1.35],1.13 [0.95-1.35],1.14 [0.95-1.37],1.1 [0.91-1.34],1.11 [0.92-1.35],1.13 [0.93-1.37],1.13 [0.93-1.37],1.13 [0.93-1.38],1.13 [0.93-1.38],1.13 [0.93-1.38],1.13 [0.93-1.38],1.13 [0.93-1.38],1.13 [0.93-1.37],1.13 [0.93-1.38],1.13 [0.93-1.38],1.13 [0.93-1.38],1.13 [0.93-1.38],1.13 [0.93-1.38],1.13 [0.93-1.37],1.13 [0.93-1.37],1.13 [0.93-1.37],1.13 [0.93-1.37],1.13 [0.93-1.37]
Ethnicity,Other,1.49 [1.23-1.81],1.46 [1.2-1.77],1.47 [1.21-1.78],1.47 [1.21-1.78],1.43 [1.17-1.74],1.43 [1.16-1.78],1.41 [1.14-1.75],1.44 [1.16-1.79],1.44 [1.16-1.79],1.45 [1.17-1.8],1.45 [1.17-1.8],1.45 [1.17-1.8],1.45 [1.17-1.8],1.45 [1.17-1.8],1.45 [1.17-1.79],1.45 [1.17-1.79],1.44 [1.16-1.79],1.44 [1.16-1.79],1.44 [1.16-1.79],1.44 [1.16-1.79],1.43 [1.15-1.78],1.43 [1.15-1.78],1.43 [1.16-1.78],1.43 [1.16-1.78],1.41 [1.14-1.75]
Prior infection,No COVID [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Prior infection,COVID suspected or confirmed,4.1 [3.91-4.31],4.03 [3.84-4.24],4.07 [3.87-4.27],4.08 [3.89-4.29],4.08 [3.89-4.29],4.08 [3.87-4.3],4.09 [3.88-4.31],4.09 [3.88-4.31],4.09 [3.88-4.31],4.1 [3.89-4.32],4.1 [3.89-4.32],4.1 [3.89-4.32],4.1 [3.89-4.32],4.1 [3.89-4.32],4.1 [3.89-4.32],4.1 [3.89-4.32],4.11 [3.9-4.33],4.11 [3.9-4.33],4.11 [3.9-4.33],4.11 [3.9-4.33],4.12 [3.91-4.34],4.12 [3.91-4.34],4.12 [3.91-4.34],4.12 [3.91-4.34],4.1 [3.89-4.32]
BMI,Normal weight [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
BMI,Obese,0.98 [0.93-1.02],0.96 [0.92-1.01],1 [0.96-1.05],1.01 [0.96-1.05],0.95 [0.91-1],0.95 [0.91-1],0.95 [0.91-1],0.96 [0.91-1.01],0.96 [0.91-1.01],0.97 [0.92-1.02],0.97 [0.93-1.02],0.98 [0.93-1.03],0.98 [0.93-1.03],0.98 [0.93-1.03],0.98 [0.93-1.03],0.98 [0.93-1.03],0.98 [0.94-1.03],0.98 [0.94-1.03],0.98 [0.94-1.03],0.98 [0.94-1.03],0.98 [0.94-1.03],0.99 [0.94-1.04],0.99 [0.94-1.04],0.99 [0.94-1.04],0.99 [0.94-1.04]
BMI,Overweight,0.95 [0.91-0.98],0.96 [0.92-1],1.02 [0.98-1.07],1.03 [0.98-1.07],1 [0.96-1.04],1 [0.96-1.04],1 [0.95-1.04],1 [0.96-1.04],1 [0.96-1.04],1 [0.96-1.04],1 [0.96-1.04],1 [0.96-1.05],1 [0.96-1.05],1 [0.96-1.05],1 [0.96-1.05],1 [0.96-1.05],1 [0.96-1.05],1 [0.96-1.05],1 [0.96-1.05],1 [0.96-1.05],1 [0.96-1.05],1.01 [0.96-1.05],1 [0.96-1.05],1 [0.96-1.05],1.01 [0.97-1.05]
BMI,Underweight,1.02 [0.85-1.22],1 [0.84-1.2],0.94 [0.79-1.13],0.93 [0.77-1.11],0.94 [0.78-1.14],0.94 [0.78-1.14],0.96 [0.79-1.16],0.96 [0.8-1.16],0.96 [0.8-1.16],0.96 [0.8-1.16],0.96 [0.8-1.16],0.96 [0.79-1.16],0.96 [0.79-1.16],0.96 [0.79-1.16],0.96 [0.79-1.16],0.96 [0.79-1.16],0.96 [0.8-1.16],0.96 [0.8-1.16],0.96 [0.8-1.16],0.96 [0.8-1.16],0.96 [0.8-1.16],0.97 [0.8-1.17],0.97 [0.8-1.17],0.97 [0.8-1.17],0.96 [0.8-1.16]
