predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_vaccine_type,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,1.83 [1.34-2.5],1.83 [1.34-2.5],1.79 [1.31-2.45],1.8 [1.32-2.46],1.76 [1.28-2.41],1.8 [1.31-2.48],1.78 [1.24-2.56],1.78 [1.24-2.57],1.78 [1.24-2.57],1.8 [1.25-2.59],1.8 [1.25-2.59],1.8 [1.25-2.59],1.8 [1.25-2.59],1.8 [1.25-2.59],1.8 [1.25-2.59],1.8 [1.25-2.59],1.8 [1.25-2.6],1.81 [1.25-2.6],1.81 [1.25-2.6],1.81 [1.25-2.6],1.8 [1.25-2.6],1.8 [1.25-2.6],1.82 [1.26-2.62],1.81 [1.25-2.61],1.81 [1.26-2.61],1.78 [1.23-2.58]
Age group,25-34,1.47 [1.21-1.79],1.47 [1.21-1.79],1.47 [1.21-1.79],1.48 [1.22-1.79],1.43 [1.18-1.74],1.48 [1.21-1.8],1.48 [1.19-1.85],1.5 [1.2-1.86],1.5 [1.2-1.86],1.5 [1.2-1.87],1.49 [1.2-1.85],1.49 [1.19-1.85],1.49 [1.2-1.85],1.49 [1.2-1.85],1.49 [1.2-1.85],1.49 [1.2-1.85],1.49 [1.2-1.86],1.49 [1.2-1.85],1.49 [1.2-1.85],1.49 [1.2-1.85],1.49 [1.2-1.85],1.48 [1.19-1.85],1.49 [1.2-1.86],1.49 [1.19-1.85],1.49 [1.2-1.85],1.45 [1.16-1.81]
Age group,45-54,0.64 [0.56-0.73],0.64 [0.56-0.73],0.66 [0.58-0.75],0.66 [0.58-0.76],0.66 [0.58-0.75],0.69 [0.6-0.79],0.67 [0.58-0.78],0.67 [0.58-0.78],0.68 [0.59-0.79],0.68 [0.59-0.78],0.68 [0.59-0.79],0.68 [0.59-0.79],0.68 [0.59-0.79],0.68 [0.59-0.79],0.68 [0.59-0.79],0.68 [0.59-0.79],0.68 [0.59-0.79],0.68 [0.59-0.79],0.68 [0.59-0.79],0.68 [0.59-0.79],0.68 [0.59-0.79],0.68 [0.59-0.79],0.68 [0.58-0.78],0.68 [0.59-0.79],0.68 [0.59-0.79],0.71 [0.61-0.82]
Age group,55-64,0.46 [0.42-0.52],0.46 [0.42-0.52],0.49 [0.44-0.54],0.5 [0.45-0.56],0.51 [0.45-0.57],0.55 [0.49-0.62],0.54 [0.48-0.61],0.54 [0.47-0.61],0.54 [0.48-0.62],0.54 [0.48-0.61],0.55 [0.48-0.62],0.55 [0.48-0.62],0.54 [0.48-0.62],0.54 [0.48-0.62],0.54 [0.48-0.62],0.54 [0.48-0.62],0.54 [0.48-0.62],0.54 [0.48-0.62],0.54 [0.48-0.61],0.54 [0.48-0.62],0.54 [0.48-0.62],0.54 [0.48-0.61],0.53 [0.47-0.61],0.54 [0.47-0.61],0.54 [0.47-0.61],0.56 [0.5-0.64]
Age group,65-74,0.53 [0.48-0.59],0.53 [0.48-0.59],0.57 [0.51-0.64],0.59 [0.53-0.66],0.63 [0.56-0.7],0.81 [0.72-0.91],0.76 [0.67-0.86],0.75 [0.66-0.85],0.76 [0.67-0.86],0.75 [0.66-0.85],0.76 [0.67-0.86],0.76 [0.67-0.86],0.75 [0.66-0.85],0.75 [0.66-0.85],0.75 [0.66-0.85],0.75 [0.66-0.85],0.75 [0.66-0.85],0.74 [0.66-0.84],0.74 [0.65-0.84],0.75 [0.66-0.85],0.74 [0.66-0.84],0.74 [0.65-0.84],0.73 [0.64-0.82],0.73 [0.64-0.83],0.73 [0.64-0.83],0.66 [0.58-0.76]
Age group,74+,0.6 [0.53-0.68],0.6 [0.53-0.68],0.65 [0.58-0.74],0.67 [0.59-0.76],0.73 [0.64-0.82],0.67 [0.59-0.76],0.62 [0.54-0.72],0.61 [0.53-0.7],0.63 [0.54-0.72],0.62 [0.54-0.71],0.63 [0.55-0.72],0.62 [0.54-0.72],0.62 [0.54-0.71],0.62 [0.54-0.71],0.62 [0.54-0.71],0.62 [0.54-0.71],0.62 [0.54-0.71],0.61 [0.53-0.71],0.61 [0.53-0.7],0.62 [0.53-0.71],0.62 [0.54-0.71],0.61 [0.53-0.7],0.6 [0.52-0.69],0.6 [0.52-0.69],0.6 [0.52-0.69],0.46 [0.4-0.53]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.7 [0.68-0.72],0.71 [0.69-0.73],0.71 [0.69-0.73],0.7 [0.68-0.72],0.7 [0.68-0.72],0.71 [0.69-0.73],0.72 [0.69-0.74],0.72 [0.7-0.74],0.72 [0.7-0.74],0.72 [0.7-0.75],0.73 [0.71-0.76],0.73 [0.71-0.75],0.73 [0.71-0.75],0.73 [0.71-0.75],0.73 [0.71-0.75],0.73 [0.71-0.75],0.73 [0.71-0.75],0.73 [0.71-0.75],0.73 [0.71-0.75],0.73 [0.71-0.75],0.73 [0.71-0.75],0.73 [0.7-0.75],0.72 [0.7-0.75],0.73 [0.7-0.75],0.73 [0.7-0.75],0.75 [0.73-0.78]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
