predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_days_since_second_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,1.59 [0.81-3.11],1.59 [0.81-3.11],1.58 [0.8-3.09],1.54 [0.78-3.02],1.55 [0.79-3.04],1.57 [0.8-3.09]
Age group,25-34,1.57 [1-2.49],1.57 [1-2.49],1.6 [1.01-2.53],1.56 [0.99-2.48],1.53 [0.96-2.42],1.55 [0.98-2.47]
Age group,45-54,0.64 [0.47-0.88],0.64 [0.47-0.88],0.66 [0.48-0.9],0.65 [0.47-0.89],0.66 [0.48-0.9],0.66 [0.48-0.91]
Age group,55-64,0.56 [0.43-0.73],0.56 [0.43-0.73],0.58 [0.45-0.77],0.58 [0.44-0.76],0.59 [0.45-0.77],0.58 [0.44-0.76]
Age group,65-74,0.5 [0.38-0.65],0.5 [0.38-0.65],0.53 [0.41-0.69],0.52 [0.4-0.68],0.56 [0.42-0.73],0.52 [0.4-0.68]
Age group,74+,0.42 [0.32-0.56],0.42 [0.32-0.56],0.45 [0.34-0.6],0.45 [0.34-0.59],0.48 [0.36-0.64],0.49 [0.37-0.65]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.72 [0.69-0.76],0.74 [0.7-0.78],0.74 [0.7-0.78],0.74 [0.7-0.78],0.74 [0.7-0.78],0.74 [0.7-0.78]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,1.12 [0.95-1.33],1.03 [0.87-1.23],1.06 [0.89-1.26],1.06 [0.89-1.26],1.05 [0.89-1.25],1.09 [0.92-1.3]
Ethnicity,Black,1.09 [0.83-1.43],1 [0.76-1.32],1.02 [0.77-1.34],1.02 [0.77-1.34],0.98 [0.75-1.3],1.01 [0.77-1.34]
Ethnicity,Mixed,1.47 [0.96-2.24],1.29 [0.84-1.98],1.26 [0.82-1.93],1.26 [0.82-1.93],1.26 [0.82-1.93],1.29 [0.84-1.98]
Ethnicity,Other,1.18 [0.87-1.59],1.15 [0.85-1.55],1.15 [0.85-1.56],1.15 [0.85-1.56],1.14 [0.84-1.54],1.17 [0.87-1.59]
Prior infection,No COVID [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Prior infection,COVID suspected or confirmed,2.36 [2.1-2.65],2.27 [2.02-2.55],2.25 [2-2.53],2.26 [2.01-2.55],2.26 [2.01-2.55],2.31 [2.06-2.6]
