predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_second_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,1.13 [0.69-1.85],1.13 [0.69-1.85],1.11 [0.67-1.82],1.09 [0.67-1.8],0.95 [0.56-1.61],0.96 [0.57-1.63],0.96 [0.56-1.62],0.97 [0.57-1.66],0.98 [0.57-1.66],0.98 [0.57-1.66],0.98 [0.58-1.67],0.98 [0.58-1.67],0.98 [0.58-1.67],0.98 [0.58-1.67],0.99 [0.58-1.68],0.99 [0.58-1.68],0.99 [0.58-1.68],0.99 [0.58-1.68],0.99 [0.58-1.68],0.98 [0.57-1.66],0.98 [0.58-1.67],0.98 [0.57-1.66],0.97 [0.57-1.66],0.97 [0.57-1.65]
Age group,25-34,1.52 [1.04-2.21],1.52 [1.04-2.21],1.53 [1.05-2.23],1.5 [1.03-2.19],1.69 [1.11-2.59],1.7 [1.11-2.61],1.7 [1.11-2.6],1.69 [1.11-2.59],1.69 [1.1-2.58],1.69 [1.1-2.58],1.69 [1.11-2.59],1.69 [1.11-2.59],1.69 [1.11-2.59],1.69 [1.11-2.59],1.7 [1.11-2.6],1.69 [1.11-2.59],1.7 [1.11-2.6],1.69 [1.1-2.59],1.69 [1.1-2.59],1.67 [1.09-2.56],1.68 [1.1-2.57],1.68 [1.09-2.57],1.68 [1.1-2.57],1.68 [1.1-2.57]
Age group,45-54,0.65 [0.51-0.84],0.65 [0.51-0.84],0.66 [0.52-0.85],0.66 [0.51-0.85],0.65 [0.49-0.85],0.65 [0.49-0.85],0.66 [0.5-0.87],0.66 [0.5-0.87],0.67 [0.51-0.88],0.67 [0.51-0.88],0.67 [0.51-0.88],0.67 [0.51-0.88],0.67 [0.51-0.88],0.67 [0.51-0.88],0.67 [0.51-0.88],0.67 [0.51-0.88],0.67 [0.51-0.88],0.67 [0.51-0.88],0.67 [0.51-0.89],0.68 [0.52-0.89],0.68 [0.51-0.89],0.68 [0.51-0.89],0.68 [0.51-0.89],0.68 [0.51-0.89]
Age group,55-64,0.46 [0.37-0.57],0.46 [0.37-0.57],0.48 [0.39-0.59],0.48 [0.39-0.59],0.49 [0.39-0.62],0.49 [0.39-0.62],0.51 [0.4-0.64],0.51 [0.4-0.64],0.52 [0.41-0.65],0.51 [0.41-0.65],0.51 [0.4-0.64],0.51 [0.4-0.64],0.51 [0.4-0.64],0.51 [0.4-0.64],0.51 [0.4-0.64],0.51 [0.4-0.64],0.51 [0.4-0.64],0.51 [0.41-0.65],0.51 [0.41-0.65],0.52 [0.41-0.65],0.51 [0.41-0.65],0.52 [0.41-0.65],0.52 [0.41-0.65],0.51 [0.41-0.65]
Age group,65-74,0.32 [0.26-0.39],0.32 [0.26-0.39],0.34 [0.28-0.42],0.34 [0.28-0.42],0.33 [0.26-0.42],0.33 [0.26-0.41],0.34 [0.27-0.43],0.34 [0.27-0.42],0.34 [0.27-0.43],0.34 [0.27-0.43],0.33 [0.27-0.42],0.34 [0.27-0.42],0.34 [0.27-0.42],0.34 [0.27-0.42],0.33 [0.26-0.42],0.33 [0.26-0.42],0.33 [0.27-0.42],0.34 [0.27-0.43],0.34 [0.27-0.43],0.33 [0.26-0.42],0.33 [0.26-0.41],0.33 [0.26-0.41],0.33 [0.26-0.41],0.32 [0.25-0.41]
Age group,74+,0.3 [0.24-0.38],0.3 [0.24-0.38],0.33 [0.27-0.41],0.33 [0.26-0.41],0.32 [0.25-0.4],0.31 [0.25-0.4],0.34 [0.26-0.43],0.33 [0.26-0.42],0.34 [0.26-0.43],0.33 [0.26-0.42],0.32 [0.25-0.41],0.32 [0.25-0.41],0.32 [0.25-0.41],0.32 [0.25-0.41],0.32 [0.25-0.41],0.32 [0.25-0.41],0.32 [0.25-0.41],0.33 [0.26-0.42],0.33 [0.26-0.42],0.32 [0.25-0.4],0.31 [0.25-0.4],0.31 [0.25-0.4],0.31 [0.25-0.4],0.32 [0.25-0.4]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.68 [0.65-0.71],0.73 [0.7-0.76],0.73 [0.7-0.76],0.73 [0.7-0.76],0.72 [0.69-0.76],0.72 [0.69-0.76],0.73 [0.69-0.76],0.73 [0.7-0.77],0.74 [0.71-0.78],0.74 [0.7-0.77],0.74 [0.7-0.77],0.74 [0.7-0.77],0.74 [0.7-0.77],0.74 [0.7-0.77],0.73 [0.7-0.77],0.73 [0.7-0.77],0.73 [0.7-0.77],0.74 [0.7-0.78],0.74 [0.7-0.78],0.73 [0.7-0.77],0.73 [0.7-0.77],0.73 [0.7-0.77],0.73 [0.7-0.77],0.73 [0.7-0.77]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
