predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_days_since_second_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,0.95 [0.47-1.92],0.95 [0.47-1.92],0.94 [0.46-1.9],0.93 [0.46-1.89],0.91 [0.45-1.84],0.87 [0.43-1.76]
Age group,25-34,1.67 [0.93-3],1.67 [0.93-3],1.68 [0.93-3.02],1.67 [0.93-3],1.63 [0.91-2.94],1.63 [0.91-2.93]
Age group,45-54,0.71 [0.48-1.04],0.71 [0.48-1.04],0.71 [0.49-1.05],0.71 [0.48-1.04],0.71 [0.48-1.04],0.71 [0.49-1.05]
Age group,55-64,0.49 [0.36-0.68],0.49 [0.36-0.68],0.5 [0.36-0.7],0.5 [0.36-0.7],0.51 [0.37-0.71],0.51 [0.36-0.7]
Age group,65-74,0.36 [0.26-0.49],0.36 [0.26-0.49],0.38 [0.28-0.53],0.38 [0.28-0.52],0.4 [0.29-0.55],0.34 [0.25-0.47]
Age group,74+,0.2 [0.14-0.27],0.2 [0.14-0.27],0.21 [0.15-0.29],0.21 [0.15-0.29],0.22 [0.16-0.31],0.23 [0.16-0.32]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.69 [0.64-0.75],0.79 [0.72-0.85],0.79 [0.72-0.85],0.79 [0.73-0.86],0.79 [0.73-0.86],0.78 [0.72-0.84]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,1.19 [0.95-1.49],0.96 [0.77-1.21],1 [0.8-1.25],1 [0.8-1.25],0.99 [0.79-1.24],1.07 [0.86-1.35]
Ethnicity,Black,0.86 [0.61-1.21],0.69 [0.49-0.98],0.71 [0.5-1.01],0.71 [0.5-1.01],0.7 [0.49-0.99],0.7 [0.49-1]
Ethnicity,Mixed,1.24 [0.72-2.14],0.86 [0.5-1.48],0.86 [0.5-1.49],0.86 [0.5-1.49],0.87 [0.5-1.51],0.9 [0.52-1.55]
Ethnicity,Other,1.1 [0.73-1.67],1 [0.66-1.51],1.02 [0.67-1.55],1.02 [0.67-1.55],1.02 [0.67-1.55],1.1 [0.72-1.68]
Prior infection,No COVID [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Prior infection,COVID suspected or confirmed,2.17 [1.84-2.57],1.82 [1.53-2.16],1.81 [1.53-2.15],1.8 [1.52-2.14],1.8 [1.52-2.14],1.82 [1.53-2.15]
