predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_days_since_first_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,1.64 [1.33-2.02],1.64 [1.33-2.02],1.62 [1.31-2],1.65 [1.33-2.03],1.63 [1.31-2.02],1.77 [1.42-2.2]
Age group,25-34,1.31 [1.15-1.49],1.31 [1.15-1.49],1.3 [1.14-1.48],1.31 [1.15-1.5],1.32 [1.15-1.51],1.42 [1.24-1.63]
Age group,45-54,0.75 [0.69-0.82],0.75 [0.69-0.82],0.77 [0.71-0.84],0.79 [0.73-0.86],0.82 [0.75-0.9],0.82 [0.75-0.89]
Age group,55-64,0.58 [0.54-0.63],0.58 [0.54-0.63],0.6 [0.55-0.64],0.62 [0.57-0.67],0.66 [0.61-0.72],0.76 [0.71-0.83]
Age group,65-74,0.49 [0.44-0.55],0.49 [0.44-0.55],0.5 [0.45-0.56],0.52 [0.47-0.58],0.54 [0.48-0.6],0.69 [0.62-0.78]
Age group,74+,0.29 [0.18-0.49],0.29 [0.18-0.49],0.3 [0.18-0.49],0.3 [0.18-0.5],0.28 [0.17-0.48],0.25 [0.15-0.43]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.73 [0.7-0.75],0.74 [0.72-0.77],0.74 [0.72-0.77],0.74 [0.72-0.77],0.73 [0.7-0.75],0.72 [0.7-0.75]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,1.88 [1.69-2.09],1.69 [1.51-1.88],1.7 [1.52-1.9],1.7 [1.52-1.9],1.76 [1.57-1.96],1.76 [1.58-1.97]
Ethnicity,Black,1.88 [1.59-2.22],1.85 [1.57-2.19],1.89 [1.6-2.23],1.89 [1.6-2.23],1.92 [1.61-2.27],1.92 [1.62-2.28]
Ethnicity,Mixed,1.27 [1.06-1.51],1.15 [0.96-1.37],1.13 [0.95-1.35],1.13 [0.95-1.35],1.14 [0.95-1.37],1.15 [0.96-1.38]
Ethnicity,Other,1.49 [1.23-1.81],1.46 [1.2-1.77],1.47 [1.21-1.78],1.47 [1.21-1.78],1.43 [1.17-1.74],1.41 [1.16-1.72]
Prior infection,No COVID [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Prior infection,COVID suspected or confirmed,4.1 [3.91-4.31],4.03 [3.84-4.24],4.07 [3.87-4.27],4.08 [3.89-4.29],4.08 [3.89-4.29],4.07 [3.87-4.27]
