predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,2.01 [1.36-2.96],2.01 [1.36-2.96],1.98 [1.34-2.92],1.98 [1.34-2.93],1.96 [1.33-2.91],2.04 [1.28-3.23],2.04 [1.29-3.24],2.04 [1.29-3.25],2.06 [1.3-3.28],2.06 [1.3-3.27],2.06 [1.29-3.27],2.06 [1.29-3.27],2.06 [1.29-3.27],2.06 [1.29-3.27],2.06 [1.29-3.27],2.07 [1.3-3.29],2.07 [1.3-3.29],2.07 [1.3-3.29],2.07 [1.3-3.29],2.07 [1.3-3.29],2.07 [1.3-3.28],2.08 [1.31-3.31],2.07 [1.3-3.3],2.07 [1.3-3.3],2.08 [1.3-3.32]
Age group,25-34,1.5 [1.18-1.9],1.5 [1.18-1.9],1.5 [1.18-1.9],1.51 [1.19-1.91],1.47 [1.16-1.88],1.47 [1.13-1.91],1.48 [1.14-1.93],1.49 [1.14-1.94],1.49 [1.14-1.94],1.48 [1.13-1.93],1.47 [1.13-1.92],1.48 [1.13-1.92],1.47 [1.13-1.92],1.47 [1.13-1.92],1.47 [1.13-1.92],1.48 [1.13-1.92],1.47 [1.13-1.92],1.47 [1.13-1.92],1.47 [1.13-1.92],1.47 [1.13-1.92],1.47 [1.13-1.92],1.48 [1.13-1.92],1.47 [1.13-1.92],1.47 [1.13-1.92],1.42 [1.09-1.86]
Age group,45-54,0.74 [0.63-0.87],0.74 [0.63-0.87],0.76 [0.64-0.89],0.76 [0.64-0.9],0.76 [0.65-0.9],0.75 [0.63-0.9],0.75 [0.63-0.91],0.76 [0.63-0.91],0.75 [0.63-0.91],0.76 [0.63-0.91],0.76 [0.63-0.91],0.76 [0.63-0.91],0.76 [0.63-0.91],0.76 [0.63-0.91],0.76 [0.63-0.91],0.76 [0.63-0.91],0.76 [0.63-0.91],0.76 [0.63-0.91],0.76 [0.63-0.91],0.76 [0.63-0.91],0.76 [0.63-0.91],0.75 [0.63-0.9],0.75 [0.63-0.91],0.75 [0.63-0.91],0.8 [0.66-0.96]
Age group,55-64,0.59 [0.52-0.68],0.59 [0.52-0.68],0.62 [0.54-0.71],0.63 [0.55-0.73],0.65 [0.56-0.75],0.63 [0.54-0.74],0.63 [0.54-0.73],0.63 [0.54-0.74],0.63 [0.54-0.74],0.64 [0.54-0.75],0.63 [0.54-0.74],0.63 [0.54-0.74],0.63 [0.54-0.74],0.63 [0.54-0.74],0.63 [0.54-0.74],0.63 [0.54-0.74],0.63 [0.53-0.73],0.62 [0.53-0.73],0.63 [0.53-0.73],0.63 [0.53-0.73],0.62 [0.53-0.73],0.62 [0.53-0.73],0.62 [0.53-0.73],0.62 [0.53-0.73],0.65 [0.56-0.77]
Age group,65-74,0.78 [0.68-0.9],0.78 [0.68-0.9],0.83 [0.72-0.95],0.85 [0.74-0.98],0.92 [0.8-1.06],0.86 [0.74-1],0.85 [0.73-0.99],0.85 [0.73-1],0.85 [0.73-0.99],0.86 [0.73-1],0.85 [0.73-0.99],0.84 [0.72-0.98],0.84 [0.72-0.98],0.84 [0.72-0.98],0.84 [0.72-0.98],0.84 [0.72-0.98],0.84 [0.72-0.98],0.84 [0.71-0.98],0.84 [0.72-0.98],0.84 [0.72-0.98],0.83 [0.71-0.97],0.82 [0.71-0.96],0.83 [0.71-0.97],0.83 [0.71-0.97],0.71 [0.6-0.83]
Age group,74+,0.75 [0.64-0.88],0.75 [0.64-0.88],0.79 [0.68-0.93],0.82 [0.69-0.96],0.89 [0.76-1.05],0.84 [0.7-1.01],0.82 [0.69-0.98],0.83 [0.7-1],0.83 [0.69-0.99],0.84 [0.7-1],0.83 [0.69-0.99],0.82 [0.68-0.98],0.82 [0.68-0.98],0.82 [0.68-0.98],0.82 [0.68-0.98],0.82 [0.68-0.98],0.81 [0.68-0.97],0.81 [0.68-0.97],0.81 [0.68-0.97],0.81 [0.68-0.97],0.81 [0.67-0.97],0.8 [0.67-0.96],0.8 [0.67-0.96],0.8 [0.67-0.96],0.51 [0.42-0.61]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.72 [0.7-0.74],0.72 [0.69-0.74],0.72 [0.69-0.74],0.72 [0.69-0.74],0.72 [0.69-0.74],0.73 [0.7-0.75],0.73 [0.7-0.76],0.73 [0.7-0.76],0.73 [0.7-0.76],0.74 [0.71-0.77],0.73 [0.71-0.76],0.73 [0.71-0.76],0.73 [0.71-0.76],0.73 [0.71-0.76],0.73 [0.71-0.76],0.73 [0.71-0.76],0.73 [0.71-0.76],0.73 [0.71-0.76],0.73 [0.71-0.76],0.73 [0.71-0.76],0.73 [0.71-0.76],0.73 [0.7-0.76],0.73 [0.7-0.76],0.73 [0.7-0.76],0.75 [0.72-0.78]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
