predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_vaccine_type,plus_covid_suspected_conf_binary,plus_bmi_cat,plus_smokeever,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,1.03 [0.64-1.65],1.03 [0.64-1.65],1.02 [0.63-1.64],1 [0.62-1.61],1.04 [0.64-1.69],1.02 [0.63-1.67],0.85 [0.51-1.43],0.86 [0.51-1.44],0.88 [0.52-1.48],0.88 [0.52-1.48],0.88 [0.52-1.48],0.88 [0.53-1.49],0.88 [0.53-1.49],0.88 [0.53-1.49],0.88 [0.53-1.48],0.88 [0.53-1.49],0.89 [0.53-1.49],0.88 [0.53-1.49],0.88 [0.53-1.49],0.88 [0.53-1.49],0.88 [0.52-1.48],0.89 [0.53-1.49],0.88 [0.52-1.47],0.88 [0.52-1.47],0.87 [0.52-1.47]
Age group,25-34,1.45 [1-2.1],1.45 [1-2.1],1.47 [1.01-2.12],1.43 [0.99-2.08],1.48 [1.01-2.15],1.44 [0.99-2.1],1.6 [1.04-2.46],1.61 [1.05-2.47],1.62 [1.06-2.49],1.62 [1.05-2.48],1.62 [1.05-2.48],1.62 [1.06-2.49],1.62 [1.06-2.49],1.62 [1.06-2.49],1.62 [1.06-2.49],1.62 [1.06-2.49],1.62 [1.06-2.49],1.62 [1.06-2.49],1.62 [1.06-2.49],1.62 [1.05-2.48],1.61 [1.05-2.47],1.62 [1.05-2.48],1.61 [1.05-2.47],1.61 [1.05-2.47],1.61 [1.04-2.47]
Age group,45-54,0.69 [0.53-0.89],0.69 [0.53-0.89],0.7 [0.54-0.91],0.69 [0.53-0.9],0.72 [0.55-0.93],0.71 [0.55-0.93],0.69 [0.52-0.93],0.69 [0.52-0.93],0.7 [0.53-0.94],0.71 [0.53-0.95],0.71 [0.53-0.95],0.71 [0.53-0.94],0.71 [0.53-0.94],0.71 [0.53-0.94],0.71 [0.53-0.94],0.71 [0.53-0.94],0.71 [0.53-0.94],0.71 [0.53-0.95],0.71 [0.53-0.95],0.71 [0.53-0.95],0.71 [0.53-0.95],0.71 [0.53-0.95],0.71 [0.53-0.95],0.71 [0.53-0.95],0.71 [0.53-0.94]
Age group,55-64,0.47 [0.38-0.58],0.47 [0.38-0.58],0.49 [0.39-0.6],0.48 [0.39-0.6],0.55 [0.44-0.69],0.56 [0.44-0.7],0.56 [0.44-0.72],0.56 [0.44-0.72],0.57 [0.44-0.73],0.58 [0.45-0.74],0.58 [0.45-0.74],0.57 [0.44-0.73],0.57 [0.45-0.73],0.57 [0.45-0.73],0.57 [0.45-0.73],0.57 [0.45-0.73],0.57 [0.45-0.73],0.57 [0.45-0.73],0.58 [0.45-0.74],0.58 [0.45-0.74],0.58 [0.45-0.74],0.57 [0.45-0.73],0.57 [0.45-0.74],0.57 [0.45-0.74],0.56 [0.44-0.72]
Age group,65-74,0.29 [0.23-0.36],0.29 [0.23-0.36],0.31 [0.25-0.39],0.31 [0.25-0.38],0.45 [0.36-0.57],0.48 [0.38-0.6],0.46 [0.36-0.58],0.45 [0.35-0.57],0.45 [0.35-0.57],0.46 [0.36-0.59],0.46 [0.36-0.58],0.45 [0.35-0.57],0.45 [0.35-0.57],0.45 [0.35-0.57],0.45 [0.35-0.57],0.45 [0.35-0.57],0.45 [0.35-0.57],0.45 [0.35-0.57],0.45 [0.35-0.58],0.45 [0.35-0.58],0.44 [0.35-0.57],0.44 [0.34-0.56],0.44 [0.35-0.57],0.44 [0.35-0.57],0.42 [0.33-0.54]
Age group,74+,0.26 [0.21-0.33],0.26 [0.21-0.33],0.29 [0.23-0.36],0.28 [0.23-0.36],0.31 [0.25-0.39],0.33 [0.26-0.42],0.31 [0.24-0.4],0.31 [0.24-0.39],0.31 [0.24-0.39],0.31 [0.24-0.4],0.31 [0.24-0.4],0.3 [0.23-0.39],0.3 [0.24-0.39],0.3 [0.24-0.39],0.3 [0.24-0.39],0.3 [0.24-0.39],0.3 [0.23-0.39],0.3 [0.24-0.39],0.31 [0.24-0.4],0.31 [0.24-0.4],0.3 [0.23-0.39],0.3 [0.23-0.38],0.3 [0.23-0.39],0.3 [0.23-0.39],0.31 [0.24-0.39]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.67 [0.64-0.71],0.74 [0.71-0.78],0.74 [0.71-0.78],0.74 [0.7-0.78],0.76 [0.72-0.8],0.76 [0.73-0.8],0.76 [0.72-0.81],0.77 [0.73-0.81],0.77 [0.73-0.81],0.78 [0.74-0.83],0.78 [0.74-0.82],0.78 [0.74-0.82],0.78 [0.74-0.82],0.78 [0.74-0.82],0.78 [0.74-0.82],0.78 [0.74-0.82],0.78 [0.74-0.82],0.78 [0.74-0.82],0.78 [0.74-0.83],0.78 [0.74-0.83],0.78 [0.74-0.82],0.78 [0.74-0.82],0.78 [0.74-0.83],0.78 [0.74-0.83],0.77 [0.73-0.82]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
