predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_vaccine_type,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,0.87 [0.23-3.26],0.87 [0.23-3.26],0.86 [0.23-3.26],0.86 [0.23-3.23],0.83 [0.22-3.15],0.5 [0.12-2.08],0.5 [0.12-2.06],0.48 [0.12-2],0.47 [0.11-1.95],0.47 [0.11-1.97],0.48 [0.11-1.97],0.48 [0.11-1.98],0.47 [0.11-1.96],0.47 [0.11-1.97],0.47 [0.11-1.97],0.47 [0.11-1.97],0.48 [0.11-1.97],0.48 [0.11-1.98],0.48 [0.11-1.98],0.47 [0.11-1.97],0.46 [0.11-1.92],0.5 [0.12-2.06],0.49 [0.12-2.04],0.46 [0.11-1.92],0.46 [0.11-1.93]
Age group,25-34,1.26 [0.44-3.57],1.26 [0.44-3.57],1.26 [0.44-3.59],1.27 [0.45-3.61],1.29 [0.45-3.69],0.92 [0.28-3.07],0.9 [0.27-3.02],0.89 [0.27-2.97],0.91 [0.27-3.06],0.91 [0.27-3.05],0.91 [0.27-3.05],0.91 [0.27-3.05],0.9 [0.27-3.02],0.9 [0.27-3.02],0.9 [0.27-3.02],0.9 [0.27-3.04],0.9 [0.27-3.03],0.9 [0.27-3.04],0.9 [0.27-3.04],0.9 [0.27-3.02],0.9 [0.27-3.01],0.89 [0.26-2.99],0.89 [0.26-2.98],0.91 [0.27-3.05],0.91 [0.27-3.06]
Age group,45-54,0.52 [0.24-1.12],0.52 [0.24-1.12],0.52 [0.24-1.12],0.51 [0.24-1.11],0.51 [0.24-1.11],0.44 [0.17-1.11],0.44 [0.17-1.12],0.44 [0.17-1.12],0.43 [0.17-1.09],0.43 [0.17-1.1],0.43 [0.17-1.1],0.43 [0.17-1.1],0.43 [0.17-1.09],0.43 [0.17-1.09],0.43 [0.17-1.1],0.43 [0.17-1.1],0.43 [0.17-1.1],0.43 [0.17-1.1],0.43 [0.17-1.1],0.43 [0.17-1.1],0.43 [0.17-1.09],0.41 [0.16-1.05],0.42 [0.16-1.07],0.43 [0.17-1.1],0.43 [0.17-1.09]
Age group,55-64,0.43 [0.22-0.85],0.43 [0.22-0.85],0.43 [0.22-0.86],0.44 [0.22-0.87],0.49 [0.25-0.97],0.41 [0.18-0.95],0.42 [0.18-0.98],0.43 [0.18-0.98],0.42 [0.18-0.97],0.42 [0.18-0.98],0.42 [0.18-0.97],0.42 [0.18-0.97],0.42 [0.18-0.97],0.42 [0.18-0.97],0.42 [0.18-0.97],0.42 [0.18-0.97],0.42 [0.18-0.97],0.42 [0.18-0.98],0.42 [0.18-0.98],0.42 [0.18-0.97],0.42 [0.18-0.97],0.41 [0.17-0.95],0.42 [0.18-0.97],0.43 [0.18-0.99],0.42 [0.18-0.99]
Age group,65-74,0.27 [0.14-0.54],0.27 [0.14-0.54],0.28 [0.14-0.55],0.28 [0.14-0.54],0.38 [0.19-0.75],0.28 [0.12-0.63],0.28 [0.12-0.64],0.28 [0.12-0.65],0.28 [0.12-0.64],0.28 [0.12-0.65],0.28 [0.12-0.64],0.28 [0.12-0.64],0.28 [0.12-0.64],0.28 [0.12-0.64],0.28 [0.12-0.64],0.28 [0.12-0.64],0.28 [0.12-0.64],0.28 [0.12-0.65],0.28 [0.12-0.65],0.28 [0.12-0.65],0.27 [0.12-0.64],0.26 [0.11-0.61],0.27 [0.12-0.63],0.28 [0.12-0.65],0.27 [0.12-0.64]
Age group,74+,0.22 [0.1-0.45],0.22 [0.1-0.45],0.22 [0.11-0.46],0.22 [0.11-0.46],0.25 [0.12-0.53],0.17 [0.07-0.42],0.17 [0.07-0.42],0.18 [0.07-0.44],0.17 [0.07-0.42],0.18 [0.07-0.43],0.17 [0.07-0.42],0.17 [0.07-0.42],0.17 [0.07-0.42],0.17 [0.07-0.42],0.17 [0.07-0.42],0.17 [0.07-0.43],0.17 [0.07-0.42],0.18 [0.07-0.43],0.18 [0.07-0.43],0.18 [0.07-0.43],0.17 [0.07-0.42],0.16 [0.07-0.4],0.17 [0.07-0.42],0.17 [0.07-0.43],0.17 [0.07-0.43]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.8 [0.67-0.97],0.92 [0.76-1.11],0.92 [0.76-1.11],0.9 [0.74-1.09],0.92 [0.76-1.11],0.88 [0.72-1.09],0.89 [0.72-1.1],0.89 [0.72-1.1],0.9 [0.73-1.11],0.91 [0.74-1.13],0.89 [0.72-1.11],0.89 [0.72-1.11],0.9 [0.72-1.11],0.9 [0.72-1.11],0.9 [0.72-1.11],0.9 [0.73-1.11],0.9 [0.72-1.11],0.9 [0.72-1.11],0.9 [0.72-1.11],0.9 [0.72-1.11],0.89 [0.72-1.1],0.87 [0.7-1.08],0.88 [0.71-1.09],0.87 [0.7-1.09],0.87 [0.7-1.08]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,1.22 [0.75-1.99],1.01 [0.62-1.65],1.03 [0.63-1.68],1.03 [0.63-1.68],0.97 [0.59-1.59],0.96 [0.56-1.66],0.86 [0.5-1.5],0.9 [0.52-1.57],0.91 [0.52-1.58],0.94 [0.54-1.64],0.92 [0.53-1.61],0.92 [0.53-1.61],0.91 [0.52-1.59],0.91 [0.52-1.59],0.91 [0.52-1.59],0.91 [0.52-1.59],0.91 [0.52-1.59],0.9 [0.52-1.58],0.9 [0.52-1.58],0.9 [0.52-1.57],0.89 [0.51-1.56],0.86 [0.49-1.51],0.88 [0.5-1.53],0.88 [0.5-1.54],0.89 [0.51-1.55]
Ethnicity,Black,1.03 [0.52-2.04],0.88 [0.44-1.75],0.88 [0.44-1.76],0.88 [0.44-1.76],0.92 [0.45-1.84],0.72 [0.34-1.54],0.66 [0.31-1.4],0.67 [0.32-1.43],0.67 [0.31-1.42],0.69 [0.32-1.47],0.7 [0.33-1.5],0.7 [0.33-1.5],0.69 [0.32-1.48],0.69 [0.32-1.48],0.69 [0.32-1.48],0.69 [0.32-1.48],0.69 [0.32-1.47],0.68 [0.32-1.46],0.68 [0.32-1.46],0.68 [0.32-1.46],0.67 [0.31-1.43],0.66 [0.31-1.42],0.67 [0.31-1.44],0.68 [0.31-1.45],0.67 [0.31-1.43]
Ethnicity,Mixed,0.7 [0.28-1.78],0.49 [0.19-1.26],0.49 [0.19-1.26],0.49 [0.19-1.26],0.51 [0.2-1.33],0.51 [0.18-1.47],0.57 [0.19-1.66],0.57 [0.19-1.67],0.56 [0.19-1.65],0.57 [0.2-1.68],0.58 [0.2-1.69],0.58 [0.2-1.69],0.57 [0.19-1.68],0.57 [0.19-1.68],0.57 [0.19-1.69],0.57 [0.19-1.69],0.57 [0.2-1.69],0.58 [0.2-1.71],0.58 [0.2-1.71],0.58 [0.2-1.71],0.57 [0.19-1.67],0.6 [0.2-1.77],0.6 [0.2-1.8],0.58 [0.19-1.72],0.58 [0.19-1.71]
