predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_vaccine_type,plus_days_since_second_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,0.87 [0.23-3.26],0.87 [0.23-3.26],0.86 [0.23-3.26],0.86 [0.23-3.23],0.83 [0.22-3.15],0.82 [0.22-3.14]
Age group,25-34,1.26 [0.44-3.57],1.26 [0.44-3.57],1.26 [0.44-3.59],1.27 [0.45-3.61],1.29 [0.45-3.69],1.29 [0.45-3.69]
Age group,45-54,0.52 [0.24-1.12],0.52 [0.24-1.12],0.52 [0.24-1.12],0.51 [0.24-1.11],0.51 [0.24-1.11],0.51 [0.24-1.11]
Age group,55-64,0.43 [0.22-0.85],0.43 [0.22-0.85],0.43 [0.22-0.86],0.44 [0.22-0.87],0.49 [0.25-0.97],0.49 [0.24-0.97]
Age group,65-74,0.27 [0.14-0.54],0.27 [0.14-0.54],0.28 [0.14-0.55],0.28 [0.14-0.54],0.38 [0.19-0.75],0.37 [0.19-0.73]
Age group,74+,0.22 [0.1-0.45],0.22 [0.1-0.45],0.22 [0.11-0.46],0.22 [0.11-0.46],0.25 [0.12-0.53],0.25 [0.12-0.53]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.8 [0.67-0.97],0.92 [0.76-1.11],0.92 [0.76-1.11],0.9 [0.74-1.09],0.92 [0.76-1.11],0.91 [0.75-1.11]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,1.22 [0.75-1.99],1.01 [0.62-1.65],1.03 [0.63-1.68],1.03 [0.63-1.68],0.97 [0.59-1.59],0.98 [0.6-1.61]
Ethnicity,Black,1.03 [0.52-2.04],0.88 [0.44-1.75],0.88 [0.44-1.76],0.88 [0.44-1.76],0.92 [0.45-1.84],0.91 [0.45-1.83]
Ethnicity,Mixed,0.7 [0.28-1.78],0.49 [0.19-1.26],0.49 [0.19-1.26],0.49 [0.19-1.26],0.51 [0.2-1.33],0.51 [0.2-1.33]
Ethnicity,Other,0.93 [0.4-2.15],0.86 [0.37-2],0.86 [0.37-2.01],0.86 [0.37-2.01],0.86 [0.37-2.03],0.87 [0.37-2.05]
Vaccine type,AstraZeneca/Oxford [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Vaccine type,Don't know,0.56 [0.12-2.63],0.56 [0.12-2.65],0.56 [0.12-2.67],0.56 [0.12-2.66],0.56 [0.12-2.66],0.66 [0.14-3.21]
Vaccine type,Moderna,14639.64 [0-6.67928315058033e+171],16077.66 [0-7.33543309332259e+171],15583.4 [0-7.10999698767387e+171],15419.98 [0-7.03544289134218e+171],15419.98 [0-7.03544289134218e+171],15968.97 [0-7.2859449735289e+171]
Vaccine type,Pfizer/BioNTech,3.47 [2.84-4.23],3.21 [2.62-3.93],3.2 [2.61-3.92],3.14 [2.56-3.85],3.14 [2.56-3.85],3.28 [2.65-4.06]
