predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,1.7 [1.38-2.09],1.7 [1.38-2.09],1.67 [1.35-2.05],1.7 [1.38-2.09],1.73 [1.37-2.19],1.72 [1.36-2.17],1.72 [1.36-2.18],1.72 [1.36-2.17],1.72 [1.36-2.17],1.72 [1.36-2.17],1.72 [1.36-2.17],1.72 [1.36-2.17],1.72 [1.36-2.17],1.72 [1.36-2.17],1.72 [1.36-2.17],1.72 [1.36-2.18],1.72 [1.36-2.18],1.72 [1.36-2.18],1.72 [1.36-2.18],1.73 [1.37-2.19],1.74 [1.38-2.2],1.74 [1.38-2.2],1.75 [1.38-2.21],1.86 [1.47-2.36]
Age group,25-34,1.43 [1.25-1.63],1.43 [1.25-1.63],1.41 [1.24-1.61],1.42 [1.25-1.63],1.41 [1.22-1.63],1.42 [1.23-1.64],1.42 [1.23-1.64],1.42 [1.23-1.64],1.42 [1.23-1.64],1.42 [1.23-1.64],1.41 [1.22-1.63],1.41 [1.22-1.63],1.41 [1.22-1.63],1.42 [1.23-1.63],1.42 [1.23-1.63],1.42 [1.23-1.64],1.42 [1.23-1.64],1.42 [1.23-1.64],1.42 [1.23-1.64],1.43 [1.24-1.65],1.43 [1.24-1.65],1.43 [1.24-1.66],1.43 [1.24-1.66],1.55 [1.34-1.8]
Age group,45-54,0.69 [0.63-0.75],0.69 [0.63-0.75],0.7 [0.65-0.76],0.72 [0.66-0.79],0.71 [0.65-0.78],0.71 [0.65-0.78],0.71 [0.65-0.78],0.71 [0.65-0.78],0.71 [0.64-0.77],0.71 [0.64-0.77],0.71 [0.64-0.78],0.71 [0.64-0.78],0.71 [0.64-0.78],0.71 [0.65-0.78],0.71 [0.65-0.78],0.71 [0.64-0.77],0.71 [0.64-0.77],0.71 [0.64-0.77],0.71 [0.64-0.77],0.7 [0.64-0.77],0.7 [0.64-0.77],0.7 [0.64-0.77],0.7 [0.64-0.77],0.71 [0.65-0.78]
Age group,55-64,0.48 [0.44-0.52],0.48 [0.44-0.52],0.5 [0.46-0.54],0.52 [0.48-0.56],0.5 [0.46-0.54],0.5 [0.46-0.54],0.5 [0.46-0.54],0.5 [0.46-0.54],0.5 [0.46-0.54],0.5 [0.46-0.54],0.5 [0.46-0.54],0.5 [0.46-0.54],0.5 [0.46-0.54],0.5 [0.46-0.54],0.5 [0.46-0.54],0.5 [0.46-0.54],0.5 [0.46-0.54],0.5 [0.46-0.54],0.5 [0.46-0.54],0.5 [0.46-0.54],0.5 [0.46-0.54],0.5 [0.46-0.54],0.5 [0.46-0.54],0.64 [0.59-0.7]
Age group,65-74,0.4 [0.36-0.45],0.4 [0.36-0.45],0.41 [0.37-0.46],0.43 [0.38-0.47],0.42 [0.37-0.47],0.42 [0.37-0.47],0.42 [0.37-0.47],0.42 [0.37-0.47],0.42 [0.38-0.48],0.42 [0.38-0.48],0.43 [0.38-0.48],0.43 [0.38-0.48],0.43 [0.38-0.48],0.43 [0.38-0.48],0.43 [0.38-0.48],0.43 [0.38-0.48],0.43 [0.38-0.48],0.43 [0.38-0.48],0.43 [0.38-0.48],0.43 [0.38-0.48],0.43 [0.38-0.48],0.43 [0.38-0.48],0.43 [0.38-0.48],0.62 [0.55-0.7]
Age group,74+,0.47 [0.4-0.54],0.47 [0.4-0.54],0.49 [0.42-0.56],0.51 [0.44-0.59],0.5 [0.43-0.58],0.49 [0.42-0.57],0.52 [0.45-0.61],0.52 [0.45-0.61],0.53 [0.46-0.63],0.53 [0.45-0.63],0.54 [0.46-0.64],0.54 [0.46-0.64],0.54 [0.46-0.64],0.54 [0.46-0.64],0.54 [0.46-0.64],0.54 [0.46-0.64],0.54 [0.46-0.64],0.55 [0.47-0.65],0.55 [0.47-0.65],0.55 [0.46-0.64],0.54 [0.46-0.64],0.54 [0.46-0.64],0.54 [0.46-0.64],0.38 [0.32-0.45]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.68 [0.66-0.7],0.7 [0.68-0.73],0.7 [0.68-0.73],0.7 [0.68-0.73],0.69 [0.66-0.71],0.69 [0.66-0.71],0.69 [0.66-0.71],0.69 [0.66-0.71],0.69 [0.66-0.72],0.69 [0.66-0.72],0.69 [0.66-0.72],0.69 [0.66-0.72],0.69 [0.66-0.72],0.69 [0.66-0.72],0.69 [0.66-0.72],0.69 [0.66-0.72],0.69 [0.66-0.72],0.69 [0.66-0.72],0.69 [0.66-0.72],0.69 [0.66-0.72],0.69 [0.66-0.71],0.69 [0.66-0.71],0.69 [0.66-0.71],0.68 [0.66-0.71]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,1.94 [1.74-2.16],1.68 [1.5-1.87],1.69 [1.51-1.89],1.69 [1.51-1.89],1.71 [1.51-1.93],1.69 [1.49-1.91],1.71 [1.52-1.94],1.71 [1.52-1.94],1.73 [1.53-1.96],1.73 [1.53-1.96],1.73 [1.53-1.96],1.73 [1.53-1.96],1.74 [1.54-1.96],1.73 [1.53-1.96],1.73 [1.53-1.96],1.73 [1.53-1.96],1.73 [1.53-1.96],1.73 [1.53-1.96],1.73 [1.53-1.96],1.72 [1.53-1.95],1.72 [1.52-1.95],1.72 [1.52-1.94],1.72 [1.52-1.94],1.69 [1.49-1.91]
