predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,0.95 [0.47-1.92],0.95 [0.47-1.92],0.94 [0.46-1.9],0.93 [0.46-1.89],0.91 [0.45-1.84],0.76 [0.37-1.55],0.77 [0.37-1.57],0.76 [0.37-1.55],0.76 [0.37-1.57],0.77 [0.37-1.57],0.76 [0.37-1.57],0.77 [0.37-1.57],0.77 [0.37-1.57],0.77 [0.37-1.57],0.77 [0.37-1.57],0.77 [0.38-1.58],0.77 [0.38-1.58],0.77 [0.38-1.58],0.77 [0.37-1.58],0.76 [0.37-1.57],0.75 [0.37-1.55],0.76 [0.37-1.56],0.75 [0.36-1.54],0.75 [0.36-1.54],0.73 [0.35-1.5]
Age group,25-34,1.67 [0.93-3],1.67 [0.93-3],1.68 [0.93-3.02],1.67 [0.93-3],1.63 [0.91-2.94],1.79 [0.94-3.4],1.78 [0.94-3.39],1.76 [0.93-3.36],1.78 [0.93-3.39],1.77 [0.93-3.38],1.77 [0.93-3.37],1.78 [0.93-3.39],1.78 [0.93-3.39],1.77 [0.93-3.38],1.77 [0.93-3.38],1.77 [0.93-3.38],1.77 [0.93-3.38],1.77 [0.93-3.38],1.77 [0.93-3.37],1.77 [0.93-3.38],1.75 [0.92-3.33],1.75 [0.92-3.34],1.73 [0.91-3.3],1.73 [0.91-3.31],1.72 [0.9-3.28]
Age group,45-54,0.71 [0.48-1.04],0.71 [0.48-1.04],0.71 [0.49-1.05],0.71 [0.48-1.04],0.71 [0.48-1.04],0.67 [0.45-1.01],0.67 [0.44-1.01],0.68 [0.45-1.03],0.69 [0.46-1.04],0.69 [0.46-1.05],0.69 [0.46-1.05],0.69 [0.46-1.04],0.69 [0.46-1.04],0.69 [0.46-1.04],0.69 [0.46-1.04],0.69 [0.46-1.04],0.69 [0.46-1.04],0.69 [0.46-1.04],0.7 [0.46-1.05],0.7 [0.46-1.05],0.71 [0.47-1.07],0.71 [0.47-1.07],0.72 [0.47-1.08],0.72 [0.47-1.08],0.71 [0.47-1.07]
Age group,55-64,0.49 [0.36-0.68],0.49 [0.36-0.68],0.5 [0.36-0.7],0.5 [0.36-0.7],0.51 [0.37-0.71],0.53 [0.37-0.75],0.53 [0.37-0.75],0.55 [0.39-0.78],0.55 [0.39-0.78],0.56 [0.39-0.79],0.56 [0.39-0.79],0.55 [0.38-0.77],0.55 [0.38-0.77],0.55 [0.38-0.77],0.55 [0.38-0.78],0.54 [0.38-0.77],0.54 [0.38-0.77],0.54 [0.38-0.77],0.55 [0.39-0.78],0.55 [0.39-0.79],0.56 [0.4-0.8],0.56 [0.4-0.8],0.57 [0.4-0.81],0.57 [0.4-0.81],0.56 [0.39-0.79]
Age group,65-74,0.36 [0.26-0.49],0.36 [0.26-0.49],0.38 [0.28-0.53],0.38 [0.28-0.52],0.4 [0.29-0.55],0.4 [0.28-0.56],0.39 [0.28-0.56],0.42 [0.3-0.59],0.42 [0.29-0.59],0.42 [0.3-0.6],0.42 [0.3-0.59],0.41 [0.29-0.58],0.41 [0.29-0.58],0.41 [0.29-0.58],0.41 [0.29-0.58],0.4 [0.29-0.57],0.4 [0.29-0.57],0.41 [0.29-0.57],0.41 [0.29-0.59],0.41 [0.29-0.59],0.41 [0.29-0.58],0.41 [0.29-0.58],0.41 [0.29-0.58],0.41 [0.29-0.58],0.37 [0.26-0.53]
Age group,74+,0.2 [0.14-0.27],0.2 [0.14-0.27],0.21 [0.15-0.29],0.21 [0.15-0.29],0.22 [0.16-0.31],0.22 [0.15-0.31],0.21 [0.15-0.3],0.24 [0.17-0.34],0.23 [0.16-0.33],0.24 [0.17-0.34],0.23 [0.16-0.33],0.22 [0.16-0.32],0.22 [0.16-0.32],0.22 [0.16-0.32],0.22 [0.16-0.32],0.22 [0.16-0.32],0.22 [0.16-0.32],0.22 [0.16-0.32],0.23 [0.16-0.33],0.23 [0.16-0.33],0.22 [0.15-0.32],0.22 [0.15-0.31],0.22 [0.16-0.32],0.22 [0.16-0.32],0.22 [0.16-0.32]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.69 [0.64-0.75],0.79 [0.72-0.85],0.79 [0.72-0.85],0.79 [0.73-0.86],0.79 [0.73-0.86],0.78 [0.72-0.86],0.8 [0.73-0.87],0.8 [0.73-0.88],0.81 [0.74-0.88],0.82 [0.75-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.82 [0.75-0.9],0.83 [0.75-0.91],0.81 [0.74-0.89],0.81 [0.74-0.89],0.81 [0.74-0.89],0.82 [0.74-0.89],0.8 [0.73-0.88]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,1.19 [0.95-1.49],0.96 [0.77-1.21],1 [0.8-1.25],1 [0.8-1.25],0.99 [0.79-1.24],0.92 [0.72-1.17],0.88 [0.69-1.12],0.94 [0.74-1.2],0.94 [0.74-1.2],0.98 [0.76-1.25],0.98 [0.76-1.25],0.96 [0.75-1.23],0.96 [0.75-1.23],0.96 [0.75-1.23],0.96 [0.75-1.23],0.96 [0.75-1.23],0.96 [0.75-1.23],0.96 [0.75-1.23],0.95 [0.74-1.21],0.95 [0.74-1.21],0.92 [0.72-1.17],0.92 [0.72-1.17],0.92 [0.72-1.18],0.92 [0.72-1.18],0.97 [0.75-1.24]
Ethnicity,Black,0.86 [0.61-1.21],0.69 [0.49-0.98],0.71 [0.5-1.01],0.71 [0.5-1.01],0.7 [0.49-0.99],0.72 [0.48-1.07],0.69 [0.46-1.03],0.71 [0.48-1.07],0.72 [0.48-1.07],0.73 [0.49-1.1],0.73 [0.49-1.1],0.72 [0.48-1.08],0.72 [0.48-1.08],0.71 [0.48-1.07],0.71 [0.47-1.07],0.72 [0.48-1.08],0.72 [0.48-1.08],0.72 [0.48-1.08],0.71 [0.47-1.06],0.7 [0.47-1.06],0.69 [0.46-1.04],0.69 [0.46-1.03],0.69 [0.46-1.04],0.69 [0.46-1.04],0.7 [0.46-1.05]
Ethnicity,Mixed,1.24 [0.72-2.14],0.86 [0.5-1.48],0.86 [0.5-1.49],0.86 [0.5-1.49],0.87 [0.5-1.51],0.76 [0.44-1.33],0.82 [0.46-1.45],0.83 [0.47-1.47],0.84 [0.47-1.5],0.84 [0.47-1.5],0.84 [0.47-1.5],0.84 [0.47-1.49],0.84 [0.47-1.49],0.83 [0.47-1.48],0.83 [0.47-1.48],0.84 [0.47-1.5],0.84 [0.47-1.5],0.84 [0.47-1.49],0.84 [0.47-1.49],0.84 [0.47-1.49],0.86 [0.48-1.54],0.86 [0.48-1.54],0.86 [0.48-1.54],0.86 [0.48-1.54],0.87 [0.49-1.56]
