"nhs_region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"East of England","35-44",42,2020-10-12,3,456
"East of England","35-44",43,2020-10-19,10,1563
"East of England","35-44",44,2020-10-26,6,1008
"East of England","35-44",45,2020-11-02,0,121
"East of England","5-12",42,2020-10-12,1,265
"East of England","5-12",43,2020-10-19,10,857
"East of England","5-12",44,2020-10-26,7,575
"East of England","5-12",45,2020-11-02,1,58
"East of England","13-17",42,2020-10-12,2,279
"East of England","13-17",43,2020-10-19,2,672
"East of England","13-17",44,2020-10-26,1,327
"East of England","13-17",45,2020-11-02,0,29
"East of England","18-24",42,2020-10-12,1,147
"East of England","18-24",43,2020-10-19,6,452
"East of England","18-24",44,2020-10-26,1,329
"East of England","18-24",45,2020-11-02,1,35
"East of England","25-34",42,2020-10-12,0,286
"East of England","25-34",43,2020-10-19,6,1057
"East of England","25-34",44,2020-10-26,7,699
"East of England","25-34",45,2020-11-02,1,86
"East of England","45-54",42,2020-10-12,2,541
"East of England","45-54",43,2020-10-19,14,2106
"East of England","45-54",44,2020-10-26,13,1182
"East of England","45-54",45,2020-11-02,0,152
"East of England","55-64",42,2020-10-12,2,590
"East of England","55-64",43,2020-10-19,20,2527
"East of England","55-64",44,2020-10-26,10,1229
"East of England","55-64",45,2020-11-02,1,129
"East of England","65+",42,2020-10-12,3,1065
"East of England","65+",43,2020-10-19,16,3643
"East of England","65+",44,2020-10-26,5,1298
"East of England","65+",45,2020-11-02,0,81
"London","35-44",42,2020-10-12,1,252
"London","35-44",43,2020-10-19,13,1369
"London","35-44",44,2020-10-26,9,1104
"London","35-44",45,2020-11-02,2,168
"London","5-12",42,2020-10-12,0,147
"London","5-12",43,2020-10-19,5,543
"London","5-12",44,2020-10-26,5,426
"London","5-12",45,2020-11-02,0,53
"London","13-17",42,2020-10-12,2,156
"London","13-17",43,2020-10-19,5,407
"London","13-17",44,2020-10-26,2,225
"London","13-17",45,2020-11-02,0,22
"London","18-24",42,2020-10-12,0,93
"London","18-24",43,2020-10-19,9,345
"London","18-24",44,2020-10-26,3,223
"London","18-24",45,2020-11-02,0,32
"London","25-34",42,2020-10-12,2,245
"London","25-34",43,2020-10-19,15,1268
"London","25-34",44,2020-10-26,9,944
"London","25-34",45,2020-11-02,3,141
"London","45-54",42,2020-10-12,0,249
"London","45-54",43,2020-10-19,16,1320
"London","45-54",44,2020-10-26,10,943
"London","45-54",45,2020-11-02,2,129
"London","55-64",42,2020-10-12,3,241
"London","55-64",43,2020-10-19,9,1165
"London","55-64",44,2020-10-26,4,790
"London","55-64",45,2020-11-02,1,84
"London","65+",42,2020-10-12,1,368
"London","65+",43,2020-10-19,7,1430
"London","65+",44,2020-10-26,3,722
"London","65+",45,2020-11-02,0,50
