"region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"South East","35-44",73,2021-05-17,1,162
"South East","35-44",74,2021-05-24,0,1036
"South East","35-44",75,2021-05-31,1,772
"South East","35-44",76,2021-06-07,0,140
"South East","5-12",73,2021-05-17,0,170
"South East","5-12",74,2021-05-24,0,625
"South East","5-12",75,2021-05-31,1,500
"South East","5-12",76,2021-06-07,0,82
"South East","13-17",73,2021-05-17,0,119
"South East","13-17",74,2021-05-24,0,493
"South East","13-17",75,2021-05-31,1,338
"South East","13-17",76,2021-06-07,0,53
"South East","18-24",73,2021-05-17,0,75
"South East","18-24",74,2021-05-24,1,301
"South East","18-24",75,2021-05-31,1,237
"South East","18-24",76,2021-06-07,0,38
"South East","25-34",73,2021-05-17,0,112
"South East","25-34",74,2021-05-24,1,588
"South East","25-34",75,2021-05-31,0,546
"South East","25-34",76,2021-06-07,1,71
"South East","45-54",73,2021-05-17,0,267
"South East","45-54",74,2021-05-24,3,1465
"South East","45-54",75,2021-05-31,1,1211
"South East","45-54",76,2021-06-07,1,168
"South East","55-64",73,2021-05-17,0,371
"South East","55-64",74,2021-05-24,0,1828
"South East","55-64",75,2021-05-31,3,1451
"South East","55-64",76,2021-06-07,0,127
"South East","65+",73,2021-05-17,0,677
"South East","65+",74,2021-05-24,3,2923
"South East","65+",75,2021-05-31,2,1754
"South East","65+",76,2021-06-07,0,134
"North East","35-44",73,2021-05-17,0,33
"North East","35-44",74,2021-05-24,0,224
"North East","35-44",75,2021-05-31,1,227
"North East","35-44",76,2021-06-07,0,32
"North East","5-12",73,2021-05-17,0,30
"North East","5-12",74,2021-05-24,1,122
"North East","5-12",75,2021-05-31,0,117
"North East","5-12",76,2021-06-07,0,20
"North East","13-17",73,2021-05-17,0,27
"North East","13-17",74,2021-05-24,0,118
"North East","13-17",75,2021-05-31,0,73
"North East","13-17",76,2021-06-07,0,7
"North East","18-24",73,2021-05-17,0,28
"North East","18-24",74,2021-05-24,0,83
"North East","18-24",75,2021-05-31,1,71
"North East","18-24",76,2021-06-07,NA,NA
"North East","25-34",73,2021-05-17,0,42
"North East","25-34",74,2021-05-24,0,155
"North East","25-34",75,2021-05-31,0,155
"North East","25-34",76,2021-06-07,0,17
"North East","45-54",73,2021-05-17,0,57
"North East","45-54",74,2021-05-24,0,357
"North East","45-54",75,2021-05-31,0,329
