"region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"South East","35-44",46,2020-11-09,0,23
"South East","35-44",47,2020-11-16,16,2783
"South East","35-44",48,2020-11-23,11,1639
"South East","35-44",49,2020-11-30,4,428
"South East","5-12",46,2020-11-09,1,29
"South East","5-12",47,2020-11-16,20,1869
"South East","5-12",48,2020-11-23,13,877
"South East","5-12",49,2020-11-30,6,219
"South East","13-17",46,2020-11-09,0,22
"South East","13-17",47,2020-11-16,26,1553
"South East","13-17",48,2020-11-23,12,625
"South East","13-17",49,2020-11-30,2,109
"South East","18-24",46,2020-11-09,0,19
"South East","18-24",47,2020-11-16,11,842
"South East","18-24",48,2020-11-23,4,448
"South East","18-24",49,2020-11-30,1,107
"South East","25-34",46,2020-11-09,0,17
"South East","25-34",47,2020-11-16,11,1697
"South East","25-34",48,2020-11-23,5,972
"South East","25-34",49,2020-11-30,0,280
"South East","45-54",46,2020-11-09,0,32
"South East","45-54",47,2020-11-16,31,3822
"South East","45-54",48,2020-11-23,4,1960
"South East","45-54",49,2020-11-30,3,514
"South East","55-64",46,2020-11-09,0,38
"South East","55-64",47,2020-11-16,23,4530
"South East","55-64",48,2020-11-23,10,2055
"South East","55-64",49,2020-11-30,3,477
"South East","65+",46,2020-11-09,1,91
"South East","65+",47,2020-11-16,26,7160
"South East","65+",48,2020-11-23,8,2535
"South East","65+",49,2020-11-30,1,460
"North East","35-44",46,2020-11-09,0,3
"North East","35-44",47,2020-11-16,6,391
"North East","35-44",48,2020-11-23,5,212
"North East","35-44",49,2020-11-30,1,49
"North East","5-12",46,2020-11-09,0,3
"North East","5-12",47,2020-11-16,1,199
"North East","5-12",48,2020-11-23,4,106
"North East","5-12",49,2020-11-30,0,28
"North East","13-17",46,2020-11-09,0,1
"North East","13-17",47,2020-11-16,4,183
"North East","13-17",48,2020-11-23,2,98
"North East","13-17",49,2020-11-30,0,13
"North East","18-24",46,2020-11-09,0,2
"North East","18-24",47,2020-11-16,3,129
"North East","18-24",48,2020-11-23,1,70
"North East","18-24",49,2020-11-30,0,14
"North East","25-34",46,2020-11-09,0,4
"North East","25-34",47,2020-11-16,1,297
"North East","25-34",48,2020-11-23,1,170
"North East","25-34",49,2020-11-30,0,55
"North East","45-54",46,2020-11-09,0,3
"North East","45-54",47,2020-11-16,4,481
"North East","45-54",48,2020-11-23,4,282
"North East","45-54",49,2020-11-30,0,84
"North East","55-64",46,2020-11-09,0,3
"North East","55-64",47,2020-11-16,3,670
"North East","55-64",48,2020-11-23,1,344
"North East","55-64",49,2020-11-30,0,87
"North East","65+",46,2020-11-09,0,9
"North East","65+",47,2020-11-16,6,1096
"North East","65+",48,2020-11-23,5,487
"North East","65+",49,2020-11-30,1,95
"North West","35-44",46,2020-11-09,0,23
"North West","35-44",47,2020-11-16,15,1208
"North West","35-44",48,2020-11-23,7,656
"North West","35-44",49,2020-11-30,0,153
"North West","5-12",46,2020-11-09,0,12
"North West","5-12",47,2020-11-16,12,693
"North West","5-12",48,2020-11-23,1,334
"North West","5-12",49,2020-11-30,1,72
"North West","13-17",46,2020-11-09,0,17
"North West","13-17",47,2020-11-16,11,698
"North West","13-17",48,2020-11-23,1,234
"North West","13-17",49,2020-11-30,1,48
"North West","18-24",46,2020-11-09,0,16
"North West","18-24",47,2020-11-16,3,431
"North West","18-24",48,2020-11-23,4,184
"North West","18-24",49,2020-11-30,0,37
"North West","25-34",46,2020-11-09,0,16
"North West","25-34",47,2020-11-16,10,860
"North West","25-34",48,2020-11-23,7,446
"North West","25-34",49,2020-11-30,2,122
"North West","45-54",46,2020-11-09,0,27
"North West","45-54",47,2020-11-16,15,1747
"North West","45-54",48,2020-11-23,6,887
"North West","45-54",49,2020-11-30,1,244
"North West","55-64",46,2020-11-09,1,29
"North West","55-64",47,2020-11-16,16,2346
"North West","55-64",48,2020-11-23,7,1076
"North West","55-64",49,2020-11-30,1,228
"North West","65+",46,2020-11-09,1,84
"North West","65+",47,2020-11-16,26,3814
"North West","65+",48,2020-11-23,3,1331
"North West","65+",49,2020-11-30,4,237
"Yorkshire and The Humber","35-44",46,2020-11-09,1,11
"Yorkshire and The Humber","35-44",47,2020-11-16,6,768
"Yorkshire and The Humber","35-44",48,2020-11-23,9,364
