"region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"South East","35-44",63,2021-03-08,1,266
"South East","35-44",64,2021-03-15,0,1932
"South East","35-44",65,2021-03-22,2,1528
"South East","35-44",66,2021-03-29,0,121
"South East","5-12",63,2021-03-08,0,233
"South East","5-12",64,2021-03-15,2,1322
"South East","5-12",65,2021-03-22,0,875
"South East","5-12",66,2021-03-29,0,73
"South East","13-17",63,2021-03-08,1,270
"South East","13-17",64,2021-03-15,3,1077
"South East","13-17",65,2021-03-22,0,430
"South East","13-17",66,2021-03-29,0,37
"South East","18-24",63,2021-03-08,0,125
"South East","18-24",64,2021-03-15,0,665
"South East","18-24",65,2021-03-22,0,411
"South East","18-24",66,2021-03-29,0,44
"South East","25-34",63,2021-03-08,0,221
"South East","25-34",64,2021-03-15,1,1230
"South East","25-34",65,2021-03-22,0,872
"South East","25-34",66,2021-03-29,0,89
"South East","45-54",63,2021-03-08,0,412
"South East","45-54",64,2021-03-15,1,2749
"South East","45-54",65,2021-03-22,3,1721
"South East","45-54",66,2021-03-29,0,136
"South East","55-64",63,2021-03-08,0,584
"South East","55-64",64,2021-03-15,1,3160
"South East","55-64",65,2021-03-22,0,1819
"South East","55-64",66,2021-03-29,0,122
"South East","65+",63,2021-03-08,0,967
"South East","65+",64,2021-03-15,2,5450
"South East","65+",65,2021-03-22,1,2076
"South East","65+",66,2021-03-29,0,71
"North East","35-44",63,2021-03-08,0,46
"North East","35-44",64,2021-03-15,0,282
"North East","35-44",65,2021-03-22,2,224
"North East","35-44",66,2021-03-29,0,22
"North East","5-12",63,2021-03-08,2,30
"North East","5-12",64,2021-03-15,1,181
"North East","5-12",65,2021-03-22,1,114
"North East","5-12",66,2021-03-29,0,8
"North East","13-17",63,2021-03-08,0,33
"North East","13-17",64,2021-03-15,0,154
"North East","13-17",65,2021-03-22,0,46
"North East","13-17",66,2021-03-29,0,4
"North East","18-24",63,2021-03-08,1,26
"North East","18-24",64,2021-03-15,1,112
"North East","18-24",65,2021-03-22,0,65
"North East","18-24",66,2021-03-29,0,9
"North East","25-34",63,2021-03-08,0,39
"North East","25-34",64,2021-03-15,0,227
"North East","25-34",65,2021-03-22,1,163
"North East","25-34",66,2021-03-29,0,14
"North East","45-54",63,2021-03-08,0,60
"North East","45-54",64,2021-03-15,1,379
"North East","45-54",65,2021-03-22,0,266
"North East","45-54",66,2021-03-29,0,23
"North East","55-64",63,2021-03-08,0,94
"North East","55-64",64,2021-03-15,2,571
