"nhs_region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"East of England","35-44",25,2020-06-15,0,223
"East of England","35-44",26,2020-06-22,1,1638
"East of England","35-44",27,2020-06-29,1,1146
"East of England","35-44",28,2020-07-06,0,54
"East of England","5-12",25,2020-06-15,0,186
"East of England","5-12",26,2020-06-22,0,1061
"East of England","5-12",27,2020-06-29,0,690
"East of England","5-12",28,2020-07-06,0,24
"East of England","13-17",25,2020-06-15,0,127
"East of England","13-17",26,2020-06-22,0,809
"East of England","13-17",27,2020-06-29,0,440
"East of England","13-17",28,2020-07-06,0,18
"East of England","18-24",25,2020-06-15,0,134
"East of England","18-24",26,2020-06-22,0,616
"East of England","18-24",27,2020-06-29,1,335
"East of England","18-24",28,2020-07-06,0,22
"East of England","25-34",25,2020-06-15,1,172
"East of England","25-34",26,2020-06-22,1,1256
"East of England","25-34",27,2020-06-29,0,797
"East of England","25-34",28,2020-07-06,0,45
"East of England","45-54",25,2020-06-15,1,219
"East of England","45-54",26,2020-06-22,1,2201
"East of England","45-54",27,2020-06-29,1,1431
"East of England","45-54",28,2020-07-06,0,48
"East of England","55-64",25,2020-06-15,2,224
"East of England","55-64",26,2020-06-22,3,2529
"East of England","55-64",27,2020-06-29,1,1417
"East of England","55-64",28,2020-07-06,0,54
"East of England","65+",25,2020-06-15,0,282
"East of England","65+",26,2020-06-22,0,3720
"East of England","65+",27,2020-06-29,3,1498
"East of England","65+",28,2020-07-06,0,41
"London","35-44",25,2020-06-15,0,117
"London","35-44",26,2020-06-22,1,1389
"London","35-44",27,2020-06-29,1,1254
"London","35-44",28,2020-07-06,1,70
"London","5-12",25,2020-06-15,0,81
"London","5-12",26,2020-06-22,3,687
"London","5-12",27,2020-06-29,1,516
"London","5-12",28,2020-07-06,0,22
"London","13-17",25,2020-06-15,0,64
"London","13-17",26,2020-06-22,1,537
"London","13-17",27,2020-06-29,0,344
"London","13-17",28,2020-07-06,0,14
"London","18-24",25,2020-06-15,0,82
"London","18-24",26,2020-06-22,0,455
"London","18-24",27,2020-06-29,0,334
"London","18-24",28,2020-07-06,0,12
"London","25-34",25,2020-06-15,0,131
"London","25-34",26,2020-06-22,3,1275
"London","25-34",27,2020-06-29,3,1095
"London","25-34",28,2020-07-06,0,50
"London","45-54",25,2020-06-15,0,105
"London","45-54",26,2020-06-22,1,1213
"London","45-54",27,2020-06-29,1,1146
"London","45-54",28,2020-07-06,0,51
"London","55-64",25,2020-06-15,0,79
"London","55-64",26,2020-06-22,2,1174
"London","55-64",27,2020-06-29,0,864
"London","55-64",28,2020-07-06,0,42
"London","65+",25,2020-06-15,0,98
"London","65+",26,2020-06-22,3,1359
"London","65+",27,2020-06-29,2,832
"London","65+",28,2020-07-06,0,29
"Midlands","35-44",25,2020-06-15,2,254
"Midlands","35-44",26,2020-06-22,2,2342
"Midlands","35-44",27,2020-06-29,2,1531
"Midlands","35-44",28,2020-07-06,0,103
"Midlands","5-12",25,2020-06-15,0,227
