"Variable","Category","Positive_r8","Total_r8","Prevalence_r8","Lower_r8","Upper_r8","Positive_r9","Total_r9","Prevalence_r9","Lower_r9","Upper_r9","Positive_r9a","Total_r9a","Prevalence_r9a","Lower_r9a","Upper_r9a","Positive_r9b","Total_r9b","Prevalence_r9b","Lower_r9b","Upper_r9b"
"gender_char","Male",1043,75296,0.013852,0.013042,0.014712,315,75027,0.004198,0.003761,0.004687,186,40077,0.004641,0.004021,0.005356,129,34950,0.003691,0.003107,0.004384
"gender_char","Female",1239,92340,0.013418,0.012696,0.01418,374,90425,0.004136,0.003738,0.004576,202,47331,0.004268,0.003719,0.004897,172,43094,0.003991,0.003439,0.004632
"gender_char","NA",0,6,0,0,0.310784,0,4,0,0,0.403479,0,1,0,0,0.730134,0,3,0,0,0.474196
"age_group_char","5-12",170,11727,0.014496,0.012487,0.016824,81,13605,0.005954,0.004793,0.007393,49,6667,0.00735,0.005564,0.009703,32,6938,0.004612,0.003269,0.006504
"age_group_char","13-17",172,8947,0.019224,0.016579,0.022283,45,10155,0.004431,0.003314,0.005924,30,6243,0.004805,0.003368,0.006852,15,3912,0.003834,0.002325,0.006317
"age_group_char","18-24",156,6753,0.023101,0.01978,0.026964,40,6788,0.005893,0.004331,0.008014,23,3453,0.006661,0.004443,0.009976,17,3335,0.005097,0.003185,0.008149
"age_group_char","25-34",263,15031,0.017497,0.015521,0.01972,68,14801,0.004594,0.003626,0.00582,35,6870,0.005095,0.003666,0.007077,33,7931,0.004161,0.002964,0.005837
"age_group_char","35-44",314,21764,0.014427,0.012927,0.0161,94,21088,0.004458,0.003644,0.005451,43,9687,0.004439,0.003297,0.005973,51,11401,0.004473,0.003404,0.005876
"age_group_char","45-54",412,27982,0.014724,0.013378,0.016203,132,27595,0.004783,0.004035,0.005669,63,12964,0.00486,0.0038,0.006212,69,14631,0.004716,0.003728,0.005964
"age_group_char","55-64",413,31989,0.012911,0.011731,0.014208,135,31727,0.004255,0.003596,0.005034,81,16919,0.004788,0.003854,0.005946,54,14808,0.003647,0.002796,0.004755
"age_group_char","65+",382,43449,0.008792,0.007957,0.009714,94,39697,0.002368,0.001936,0.002897,64,24606,0.002601,0.002038,0.00332,30,15091,0.001988,0.001393,0.002836
"region","South East",578,39156,0.014761,0.013614,0.016004,119,36642,0.003248,0.002715,0.003885,59,19499,0.003026,0.002347,0.003901,60,17143,0.0035,0.00272,0.004502
"region","North East",62,5731,0.010818,0.008449,0.013843,41,5836,0.007025,0.005183,0.009516,26,3021,0.008606,0.00588,0.012581,15,2815,0.005329,0.003232,0.008774
"region","North West",220,17917,0.012279,0.010768,0.013999,112,19402,0.005773,0.0048,0.006941,77,10643,0.007235,0.005793,0.009032,35,8759,0.003996,0.002875,0.005552
"region","Yorkshire and The Humber",93,10665,0.00872,0.007124,0.01067,42,11218,0.003744,0.002771,0.005057,28,6089,0.004598,0.003184,0.006638,14,5129,0.00273,0.001627,0.004577
"region","East Midlands",225,21698,0.01037,0.009106,0.011807,103,21193,0.00486,0.004009,0.00589,59,12001,0.004916,0.003814,0.006336,44,9192,0.004787,0.003568,0.006419
"region","West Midlands",198,15088,0.013123,0.011427,0.015067,60,15478,0.003876,0.003013,0.004986,32,8422,0.0038,0.002693,0.005359,28,7056,0.003968,0.002747,0.005729
"region","East of England",391,25178,0.015529,0.014074,0.017132,86,23672,0.003633,0.002943,0.004484,48,11893,0.004036,0.003046,0.005347,38,11779,0.003226,0.002351,0.004425
"region","London",390,15641,0.024934,0.022605,0.027497,91,15492,0.005874,0.004787,0.007206,37,6995,0.005289,0.00384,0.007282,54,8497,0.006355,0.004874,0.008282
"region","South West",125,16568,0.007545,0.006336,0.008981,35,16523,0.002118,0.001524,0.002944,22,8846,0.002487,0.001643,0.003763,13,7677,0.001693,0.00099,0.002895
"work_new_alt","HCW/CHW",161,8259,0.019494,0.016728,0.022707,55,9042,0.006083,0.004676,0.007908,33,3637,0.009073,0.006468,0.012715,22,5405,0.00407,0.00269,0.006155
"work_new_alt","Key worker (other)",531,30239,0.01756,0.01614,0.019103,165,31393,0.005256,0.004514,0.006119,85,14052,0.006049,0.004895,0.007473,80,17341,0.004613,0.003709,0.005737
"work_new_alt","Other worker",867,64772,0.013385,0.012529,0.0143,244,59907,0.004073,0.003594,0.004616,129,28702,0.004494,0.003784,0.005337,115,31205,0.003685,0.003071,0.004421
"work_new_alt","Not FT, PT, SE",670,60438,0.011086,0.010282,0.011952,202,60496,0.003339,0.00291,0.003831,127,38958,0.00326,0.002741,0.003877,75,21538,0.003482,0.002779,0.004362
"work_new_alt","NA",53,3934,0.013472,0.010315,0.017579,23,4618,0.004981,0.003321,0.007463,14,2060,0.006796,0.004053,0.011376,9,2558,0.003518,0.001852,0.006674
"ethnic_new_char","White",1938,152111,0.012741,0.012189,0.013317,596,149859,0.003977,0.003671,0.004309,357,80983,0.004408,0.003975,0.004889,239,68876,0.00347,0.003058,0.003938
"ethnic_new_char","Asian / Asian British",163,6537,0.024935,0.021425,0.029003,52,6516,0.00798,0.006091,0.010449,19,2543,0.007471,0.004788,0.01164,33,3973,0.008306,0.005921,0.011641
"ethnic_new_char","Black / African / Caribbean / Black British",60,1832,0.032751,0.025529,0.041929,14,2151,0.006509,0.003881,0.010896,1,675,0.001481,0.000262,0.008343,13,1476,0.008808,0.005154,0.015011
"ethnic_new_char","Mixed",46,2751,0.016721,0.01256,0.02223,8,2926,0.002734,0.001386,0.005386,2,1347,0.001485,0.000407,0.005398,6,1579,0.0038,0.001743,0.008266
"ethnic_new_char","Other",29,1190,0.02437,0.017021,0.03478,5,1185,0.004219,0.001804,0.009839,2,497,0.004024,0.001104,0.014552,3,688,0.00436,0.001484,0.012741
"ethnic_new_char","NA",46,3221,0.014281,0.010724,0.018996,14,2819,0.004966,0.002961,0.008319,7,1364,0.005132,0.002488,0.010555,7,1455,0.004811,0.002332,0.009898
