Variable,Category,total,Number with 1 or more symptoms,Number with 2 or more symptoms,Number with 3 or more symptoms,Prevalence 1 or more symptoms (unweighted),Prevalence 2 or more symptoms (unweighted),Prevalence 3 or more symptoms (unweighted)
dummy,All participants,508707,24867,14810,8555,4.89 [4.83-4.95],2.91 [2.87-2.96],1.68 [1.65-1.72]
Sex,Female,284840,15923,9714,5761,5.59 [5.51-5.68],3.41 [3.34-3.48],2.02 [1.97-2.07]
Sex,Male,223861,8944,5096,2794,4 [3.91-4.08],2.28 [2.22-2.34],1.25 [1.2-1.29]
Age group,18-24,28655,1295,700,357,4.52 [4.28-4.77],2.44 [2.27-2.63],1.25 [1.12-1.38]
Age group,25-34,65159,3209,1728,923,4.92 [4.76-5.09],2.65 [2.53-2.78],1.42 [1.33-1.51]
Age group,35-44,85044,4566,2600,1392,5.37 [5.22-5.52],3.06 [2.94-3.18],1.64 [1.55-1.72]
Age group,45-54,103478,6050,3702,2201,5.85 [5.71-5.99],3.58 [3.47-3.69],2.13 [2.04-2.22]
Age group,55-64,105361,5604,3470,2077,5.32 [5.18-5.46],3.29 [3.19-3.4],1.97 [1.89-2.06]
Age group,65-74,85297,3087,1919,1175,3.62 [3.5-3.75],2.25 [2.15-2.35],1.38 [1.3-1.46]
Age group,74+,35713,1056,691,430,2.96 [2.79-3.14],1.93 [1.8-2.08],1.2 [1.1-1.32]
Ethnicity,Asian,17666,687,390,214,3.89 [3.61-4.18],2.21 [2-2.43],1.21 [1.06-1.38]
Ethnicity,Black,4091,235,116,65,5.74 [5.07-6.5],2.84 [2.37-3.39],1.59 [1.25-2.02]
Ethnicity,Mixed,6112,426,263,169,6.97 [6.36-7.64],4.3 [3.82-4.84],2.77 [2.38-3.21]
Ethnicity,Other,4434,251,141,89,5.66 [5.02-6.38],3.18 [2.7-3.74],2.01 [1.63-2.46]
Ethnicity,White,472750,23060,13769,7937,4.88 [4.82-4.94],2.91 [2.86-2.96],1.68 [1.64-1.72]
BMI,Normal weight,183305,7631,4298,2341,4.16 [4.07-4.26],2.34 [2.28-2.42],1.28 [1.23-1.33]
BMI,Obese,97597,6304,4014,2432,6.46 [6.31-6.62],4.11 [3.99-4.24],2.49 [2.4-2.59]
BMI,Overweight,161456,7672,4506,2593,4.75 [4.65-4.86],2.79 [2.71-2.87],1.61 [1.55-1.67]
BMI,Underweight,6273,293,180,122,4.67 [4.18-5.22],2.87 [2.48-3.31],1.94 [1.63-2.32]
Healthcare or care home worker,No,292531,14601,8300,4515,4.99 [4.91-5.07],2.84 [2.78-2.9],1.54 [1.5-1.59]
Healthcare or care home worker,Yes,27690,2078,1292,758,7.5 [7.2-7.82],4.67 [4.42-4.92],2.74 [2.55-2.94]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3055,1950,1201,6.08 [5.87-6.29],3.88 [3.71-4.05],2.39 [2.26-2.53]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3055,1950,1201,6.08 [5.87-6.29],3.88 [3.71-4.05],2.39 [2.26-2.53]
Index of multiple deprivation (IMD) quintile,2,80894,4424,2688,1661,5.47 [5.31-5.63],3.32 [3.2-3.45],2.05 [1.96-2.15]
Index of multiple deprivation (IMD) quintile,2,80894,4424,2688,1661,5.47 [5.31-5.63],3.32 [3.2-3.45],2.05 [1.96-2.15]
Index of multiple deprivation (IMD) quintile,3,109928,5472,3294,1946,4.98 [4.85-5.11],3 [2.9-3.1],1.77 [1.69-1.85]
Index of multiple deprivation (IMD) quintile,3,109928,5472,3294,1946,4.98 [4.85-5.11],3 [2.9-3.1],1.77 [1.69-1.85]
Index of multiple deprivation (IMD) quintile,4,126237,5805,3395,1900,4.6 [4.48-4.72],2.69 [2.6-2.78],1.51 [1.44-1.57]
Index of multiple deprivation (IMD) quintile,4,126237,5805,3395,1900,4.6 [4.48-4.72],2.69 [2.6-2.78],1.51 [1.44-1.57]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,6111,3483,1847,4.32 [4.22-4.43],2.46 [2.38-2.55],1.31 [1.25-1.37]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,6111,3483,1847,4.32 [4.22-4.43],2.46 [2.38-2.55],1.31 [1.25-1.37]
Current smoker,Current cigarette smoker,50983,3100,2001,1241,6.08 [5.88-6.29],3.92 [3.76-4.1],2.43 [2.3-2.57]
Current smoker,Not current cigarette smoker,453681,21551,12680,7237,4.75 [4.69-4.81],2.79 [2.75-2.84],1.6 [1.56-1.63]
Current smoker,Prefer not to say,4043,216,129,77,5.34 [4.69-6.08],3.19 [2.69-3.78],1.9 [1.53-2.37]
Current vaper,Current vaper,28436,1751,1075,651,6.16 [5.88-6.44],3.78 [3.56-4.01],2.29 [2.12-2.47]
Current vaper,Not current vaper,477729,22988,13652,7851,4.81 [4.75-4.87],2.86 [2.81-2.91],1.64 [1.61-1.68]
Current vaper,Prefer not to say,2542,128,83,53,5.04 [4.25-5.96],3.27 [2.64-4.03],2.08 [1.6-2.72]
Severity of COVID symptoms,Mild symptoms,27572,4316,2060,813,15.65 [15.23-16.09],7.47 [7.17-7.79],2.95 [2.76-3.15]
Severity of COVID symptoms,Moderate symptoms,45357,12539,7228,4059,27.65 [27.24-28.06],15.94 [15.6-16.28],8.95 [8.69-9.22]
Severity of COVID symptoms,No symptoms,416589,0,0,0,0 [0-0],0 [0-0],0 [0-0]
Severity of COVID symptoms,Severe symptoms,19187,8012,5522,3683,41.76 [41.06-42.46],28.78 [28.14-29.42],19.2 [18.64-19.76]
Treatment sought/ received for COVID,Hospital admission,739,393,292,208,53.18 [49.58-56.75],39.51 [36.05-43.08],28.15 [25.02-31.5]
Treatment sought/ received for COVID,No medical attention sought,58330,12756,6898,3525,21.87 [21.54-22.21],11.83 [11.57-12.09],6.04 [5.85-6.24]
Treatment sought/ received for COVID,Sought medical attention from pharmacist / by phone (NHS 111/GP),21388,7785,5126,3330,36.4 [35.76-37.05],23.97 [23.4-24.54],15.57 [15.09-16.06]
Treatment sought/ received for COVID,Visited GP/walk-in centre/A&E,6792,2458,1590,958,36.19 [35.05-37.34],23.41 [22.42-24.43],14.1 [13.3-14.95]
Hospitalised with COVID,No,507968,24474,14518,8347,4.82 [4.76-4.88],2.86 [2.81-2.9],1.64 [1.61-1.68]
Hospitalised with COVID,Yes,739,393,292,208,53.18 [49.58-56.75],39.51 [36.05-43.08],28.15 [25.02-31.5]
Gross household income,">150,000",16279,751,385,180,4.61 [4.3-4.95],2.37 [2.14-2.61],1.11 [0.96-1.28]
Gross household income,"0-14,999",32819,2061,1387,937,6.28 [6.02-6.55],4.23 [4.01-4.45],2.86 [2.68-3.04]
Gross household income,"15,000-49,999",148039,7601,4635,2692,5.13 [5.02-5.25],3.13 [3.04-3.22],1.82 [1.75-1.89]
Gross household income,"50,000-149,999",128957,6092,3359,1746,4.72 [4.61-4.84],2.6 [2.52-2.69],1.35 [1.29-1.42]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3055,1950,1201,6.08 [5.87-6.29],3.88 [3.71-4.05],2.39 [2.26-2.53]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3055,1950,1201,6.08 [5.87-6.29],3.88 [3.71-4.05],2.39 [2.26-2.53]
Index of multiple deprivation (IMD) quintile,2,80894,4424,2688,1661,5.47 [5.31-5.63],3.32 [3.2-3.45],2.05 [1.96-2.15]
Index of multiple deprivation (IMD) quintile,2,80894,4424,2688,1661,5.47 [5.31-5.63],3.32 [3.2-3.45],2.05 [1.96-2.15]
Index of multiple deprivation (IMD) quintile,3,109928,5472,3294,1946,4.98 [4.85-5.11],3 [2.9-3.1],1.77 [1.69-1.85]
Index of multiple deprivation (IMD) quintile,3,109928,5472,3294,1946,4.98 [4.85-5.11],3 [2.9-3.1],1.77 [1.69-1.85]
Index of multiple deprivation (IMD) quintile,4,126237,5805,3395,1900,4.6 [4.48-4.72],2.69 [2.6-2.78],1.51 [1.44-1.57]
Index of multiple deprivation (IMD) quintile,4,126237,5805,3395,1900,4.6 [4.48-4.72],2.69 [2.6-2.78],1.51 [1.44-1.57]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,6111,3483,1847,4.32 [4.22-4.43],2.46 [2.38-2.55],1.31 [1.25-1.37]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,6111,3483,1847,4.32 [4.22-4.43],2.46 [2.38-2.55],1.31 [1.25-1.37]
Lateral flow test result (antibody),1,32647,5663,3477,1882,17.35 [16.94-17.76],10.65 [10.32-10.99],5.76 [5.52-6.02]
Organ transplant recipient,1,596,30,23,16,5.03 [3.55-7.09],3.86 [2.59-5.72],2.68 [1.66-4.32]
Diabetes (type I or II),1,27358,1417,957,656,5.18 [4.92-5.45],3.5 [3.29-3.72],2.4 [2.22-2.59]
Heart disease or heart problems,1,21430,1349,926,646,6.29 [5.98-6.63],4.32 [4.06-4.6],3.01 [2.79-3.25]
Hypertension (high blood pressure),1,65792,3525,2304,1468,5.36 [5.19-5.53],3.5 [3.36-3.65],2.23 [2.12-2.35]
