"","item1","item2","n"
"1","brain","fog",54
"2","taste","smell",52
"3","loss","hair",48
"4","pain","joint",37
"5","heart","palpitations",36
"6","sense","smell",33
"7","cough","dry",25
"8","blood","pressure",25
"9","loss","memory",24
"10","cough","persistent",23
"11","taste","sense",22
"12","severe","pain",21
"13","shortness","breath",21
"14","cough","chest",18
"15","burning","sensation",18
"16","hearing","loss",16
"17","loss","taste",16
"18","pain","neck",16
"19","pain","chest",16
"20","vision","blurred",16
