Variable,Category,total,Number with 1 or more symptoms,Number with 2 or more symptoms,Number with 3 or more symptoms,Prevalence 1 or more symptoms (unweighted),Prevalence 2 or more symptoms (unweighted),Prevalence 3 or more symptoms (unweighted)
dummy,All participants,508707,28713,17860,11241,5.64 [5.58-5.71],3.51 [3.46-3.56],2.21 [2.17-2.25]
Sex,Female,284840,18109,11612,7513,6.36 [6.27-6.45],4.08 [4-4.15],2.64 [2.58-2.7]
Sex,Male,223861,10604,6248,3728,4.74 [4.65-4.83],2.79 [2.72-2.86],1.67 [1.61-1.72]
Age group,18-24,28655,1534,885,514,5.35 [5.1-5.62],3.09 [2.89-3.3],1.79 [1.65-1.95]
Age group,25-34,65159,3784,2105,1219,5.81 [5.63-5.99],3.23 [3.1-3.37],1.87 [1.77-1.98]
Age group,35-44,85044,5232,3083,1815,6.15 [5.99-6.32],3.63 [3.5-3.75],2.13 [2.04-2.23]
Age group,45-54,103478,6858,4311,2732,6.63 [6.48-6.78],4.17 [4.05-4.29],2.64 [2.54-2.74]
Age group,55-64,105361,6461,4205,2713,6.13 [5.99-6.28],3.99 [3.87-4.11],2.57 [2.48-2.67]
Age group,65-74,85297,3615,2406,1629,4.24 [4.1-4.38],2.82 [2.71-2.93],1.91 [1.82-2]
Age group,74+,35713,1229,865,619,3.44 [3.26-3.64],2.42 [2.27-2.59],1.73 [1.6-1.87]
Ethnicity,Asian,17666,809,480,275,4.58 [4.28-4.9],2.72 [2.49-2.97],1.56 [1.38-1.75]
Ethnicity,Black,4091,278,138,84,6.8 [6.06-7.61],3.37 [2.86-3.97],2.05 [1.66-2.53]
Ethnicity,Mixed,6112,487,310,202,7.97 [7.32-8.67],5.07 [4.55-5.65],3.3 [2.89-3.78]
Ethnicity,Other,4434,299,180,118,6.74 [6.04-7.52],4.06 [3.52-4.68],2.66 [2.23-3.18]
Ethnicity,White,472750,26603,16600,10461,5.63 [5.56-5.69],3.51 [3.46-3.56],2.21 [2.17-2.26]
BMI,Normal weight,183305,8954,5325,3182,4.88 [4.79-4.98],2.9 [2.83-2.98],1.74 [1.68-1.8]
BMI,Obese,97597,7107,4698,3127,7.28 [7.12-7.45],4.81 [4.68-4.95],3.2 [3.1-3.32]
BMI,Overweight,161456,8916,5449,3398,5.52 [5.41-5.63],3.37 [3.29-3.46],2.1 [2.04-2.18]
BMI,Underweight,6273,333,220,147,5.31 [4.78-5.89],3.51 [3.08-3.99],2.34 [2-2.75]
Healthcare or care home worker,No,292531,17044,10080,5973,5.83 [5.74-5.91],3.45 [3.38-3.51],2.04 [1.99-2.09]
Healthcare or care home worker,Yes,27690,2283,1469,920,8.24 [7.93-8.57],5.31 [5.05-5.58],3.32 [3.12-3.54]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3445,2288,1535,6.85 [6.64-7.08],4.55 [4.37-4.74],3.05 [2.91-3.21]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3445,2288,1535,6.85 [6.64-7.08],4.55 [4.37-4.74],3.05 [2.91-3.21]
Index of multiple deprivation (IMD) quintile,2,80894,5066,3223,2118,6.26 [6.1-6.43],3.98 [3.85-4.12],2.62 [2.51-2.73]
Index of multiple deprivation (IMD) quintile,2,80894,5066,3223,2118,6.26 [6.1-6.43],3.98 [3.85-4.12],2.62 [2.51-2.73]
Index of multiple deprivation (IMD) quintile,3,109928,6336,3937,2500,5.76 [5.63-5.9],3.58 [3.47-3.69],2.27 [2.19-2.36]
Index of multiple deprivation (IMD) quintile,3,109928,6336,3937,2500,5.76 [5.63-5.9],3.58 [3.47-3.69],2.27 [2.19-2.36]
Index of multiple deprivation (IMD) quintile,4,126237,6728,4122,2553,5.33 [5.21-5.45],3.27 [3.17-3.36],2.02 [1.95-2.1]
Index of multiple deprivation (IMD) quintile,4,126237,6728,4122,2553,5.33 [5.21-5.45],3.27 [3.17-3.36],2.02 [1.95-2.1]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,7138,4290,2535,5.05 [4.94-5.16],3.03 [2.95-3.12],1.79 [1.73-1.86]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,7138,4290,2535,5.05 [4.94-5.16],3.03 [2.95-3.12],1.79 [1.73-1.86]
Current smoker,Current cigarette smoker,50983,3552,2367,1610,6.97 [6.75-7.19],4.64 [4.46-4.83],3.16 [3.01-3.31]
Current smoker,Not current cigarette smoker,453681,24916,15344,9533,5.49 [5.43-5.56],3.38 [3.33-3.44],2.1 [2.06-2.14]
Current smoker,Prefer not to say,4043,245,149,98,6.06 [5.37-6.84],3.69 [3.15-4.31],2.42 [1.99-2.95]
Current vaper,Current vaper,28436,1986,1273,834,6.98 [6.69-7.29],4.48 [4.24-4.72],2.93 [2.74-3.14]
