,South East,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South West
2020-05-05,0,0,1,0,1,0,0,0,0
2020-05-06,0,0,0,0,1,0,0,0,0
2020-05-07,1,0,0,0,0,0,0,1,0
2020-05-09,0,0,0,0,0,0,1,0,0
2020-05-11,3,0,0,1,0,1,1,0,0
2020-05-13,0,0,1,0,0,0,0,0,0
2020-05-14,1,1,0,0,3,0,2,4,0
2020-05-15,2,0,2,0,2,0,0,2,1
2020-05-16,5,0,5,0,3,1,1,0,0
2020-05-17,5,1,3,0,0,6,4,1,2
2020-05-18,0,0,0,1,0,0,2,2,1
2020-05-19,3,0,2,1,0,3,0,0,0
2020-05-20,3,0,1,1,2,3,1,1,0
2020-05-21,3,0,1,1,2,1,2,4,1
2020-05-22,2,1,1,0,1,0,1,1,1
2020-05-23,2,0,2,0,0,0,0,1,0
2020-05-24,1,0,1,0,1,0,1,0,0
2020-05-25,4,0,1,0,1,1,0,1,0
2020-05-26,1,1,0,1,1,1,0,0,0
2020-05-27,1,0,0,0,0,0,0,1,0
2020-05-28,1,1,0,0,0,0,1,0,0
2020-05-29,0,0,1,0,0,0,0,0,0
2020-05-31,0,0,0,1,0,0,0,0,0
2020-06-01,2,0,0,0,0,0,0,0,0
2020-06-20,2,0,0,0,0,1,1,0,0
2020-06-21,1,0,2,0,2,1,3,0,2
2020-06-22,0,0,3,0,1,1,0,4,3
2020-06-23,5,0,2,0,2,2,1,3,4
2020-06-24,2,0,3,1,2,1,2,1,0
2020-06-25,1,0,1,1,1,1,0,3,0
2020-06-26,1,0,0,0,1,2,2,2,1
2020-06-27,0,0,0,1,1,0,1,0,0
2020-06-28,1,0,2,0,1,0,0,1,1
2020-06-29,3,0,2,1,1,0,3,2,1
2020-06-30,0,1,0,1,0,2,2,4,0
2020-07-01,2,0,1,1,1,0,0,1,0
2020-07-02,1,0,0,0,0,1,0,0,0
2020-07-03,0,0,0,0,0,1,1,0,0
2020-07-04,2,0,0,0,1,0,1,1,0
2020-07-06,0,0,0,0,0,0,0,1,0
2020-07-25,0,0,0,0,0,0,0,0,1
2020-07-26,1,0,0,1,1,1,0,1,0
2020-07-27,0,0,0,0,0,0,0,1,0
2020-07-28,0,0,0,1,0,0,0,0,0
2020-07-29,1,0,3,0,2,1,1,1,0
2020-07-30,0,0,1,0,1,1,1,0,0
2020-07-31,1,0,1,0,1,0,1,0,0
2020-08-01,0,0,0,0,0,0,0,0,1
2020-08-03,1,0,1,2,1,0,0,0,0
2020-08-04,0,1,3,1,2,1,2,1,1
2020-08-06,1,0,0,0,0,1,0,2,0
2020-08-07,1,0,0,1,1,0,0,1,0
2020-08-08,1,0,0,0,0,0,1,0,0
2020-08-09,0,0,1,0,0,0,0,0,0
2020-08-21,0,0,0,1,1,0,0,0,0
2020-08-22,1,0,1,1,0,0,2,0,0
2020-08-23,0,0,1,1,0,0,0,0,0
2020-08-24,0,1,1,0,1,0,0,0,0
2020-08-25,3,1,0,1,0,0,2,1,0
2020-08-26,1,1,3,1,0,2,1,0,0
2020-08-27,1,1,3,4,1,1,1,0,1
2020-08-28,1,0,2,2,0,2,2,2,0
2020-08-29,4,0,4,1,1,1,1,1,2
2020-08-30,2,2,0,3,0,0,1,2,1
2020-08-31,0,0,3,0,0,0,0,1,0
2020-09-01,3,0,0,0,2,3,1,3,2
2020-09-02,0,0,1,1,0,1,1,1,0
2020-09-03,1,0,3,0,0,0,0,1,0
2020-09-04,1,1,1,0,0,0,2,2,0
2020-09-05,2,2,4,0,0,0,0,1,2
2020-09-06,0,0,0,0,2,0,1,0,0
2020-09-07,0,0,2,1,2,0,2,0,2
2020-09-18,0,0,3,1,1,0,0,0,0
2020-09-19,7,10,10,4,7,4,9,2,0
2020-09-20,2,9,7,2,13,2,2,4,2
2020-09-21,10,3,12,4,7,5,7,6,5
2020-09-22,2,3,14,7,4,2,5,5,2
2020-09-23,17,1,17,8,9,6,11,11,7
2020-09-24,9,1,15,6,7,8,5,8,3
2020-09-25,6,1,21,6,4,5,7,3,7
2020-09-26,10,7,21,5,9,6,3,3,3
2020-09-27,1,3,11,1,3,0,1,7,2
2020-09-28,7,4,16,1,3,6,6,6,2
2020-09-29,7,8,9,13,7,7,7,7,7
2020-09-30,5,1,9,3,3,0,5,4,2
2020-10-01,6,2,5,2,7,5,2,1,4
2020-10-02,4,3,8,6,7,9,5,8,6
2020-10-03,5,3,10,4,3,2,4,1,1
2020-10-04,2,1,3,0,0,0,0,1,0
2020-10-05,3,1,4,1,7,1,2,1,2
2020-10-16,1,0,2,3,0,3,0,2,0
2020-10-17,9,8,28,11,14,11,3,3,8
2020-10-18,13,6,22,22,24,6,11,4,3
2020-10-19,7,7,32,11,13,14,15,9,7
2020-10-20,20,7,30,17,22,17,9,8,8
2020-10-21,14,5,29,16,25,9,13,15,5
2020-10-22,25,10,36,22,20,19,12,8,15
2020-10-23,30,7,34,17,17,20,16,22,13
2020-10-24,24,8,26,13,21,19,11,12,8
2020-10-25,17,2,22,8,13,15,7,5,11
2020-10-26,15,3,20,9,18,11,9,7,6
2020-10-27,21,7,23,9,12,16,8,12,3
2020-10-28,9,7,18,12,10,13,12,9,7
2020-10-29,9,2,13,3,4,5,7,4,4
2020-10-30,5,2,7,2,7,3,2,6,0
2020-10-31,5,2,12,5,2,4,6,4,6
2020-11-01,4,2,8,4,4,3,5,3,5
2020-11-02,16,4,10,4,7,7,4,8,6
2020-11-13,0,0,0,0,0,1,0,0,0
2020-11-14,0,0,1,1,1,0,0,0,0
2020-11-15,2,0,1,1,5,3,0,0,0
2020-11-16,31,5,24,17,34,30,20,14,15
2020-11-17,25,4,17,15,23,14,10,5,7
2020-11-18,20,6,14,8,19,20,13,5,9
2020-11-19,34,1,9,6,16,14,11,10,5
2020-11-20,20,5,21,10,20,11,14,17,4
2020-11-21,14,6,15,6,19,17,3,11,11
2020-11-22,21,1,8,4,11,9,4,6,6
2020-11-23,7,3,6,11,16,4,11,4,3
2020-11-24,13,6,7,4,12,6,4,10,6
2020-11-25,12,4,7,0,7,9,7,8,5
2020-11-26,4,1,6,5,6,2,6,5,4
2020-11-27,16,2,2,3,6,7,2,4,4
2020-11-28,3,4,3,4,7,5,7,12,3
2020-11-29,12,3,5,4,12,3,2,11,3
2020-11-30,5,1,3,3,1,1,3,2,2
2020-12-01,8,1,5,3,4,0,6,6,2
2020-12-02,7,0,2,2,2,0,2,6,1
2021-01-02,0,0,0,0,0,0,2,1,1
2021-01-03,0,0,0,0,0,0,1,0,0
2021-01-04,3,0,3,0,1,0,1,0,0
2021-01-05,5,2,3,1,1,1,4,8,3
2021-01-06,64,13,38,11,33,27,58,53,18
2021-01-07,74,12,21,15,18,27,46,37,28
2021-01-08,76,4,29,13,26,24,48,53,13
2021-01-09,70,1,24,7,26,24,40,42,16
2021-01-10,57,6,19,15,13,17,33,16,9
2021-01-11,48,4,14,7,25,17,30,27,8
2021-01-12,46,2,15,4,12,11,19,18,2
2021-01-13,27,2,12,5,12,9,15,12,4
2021-01-14,20,7,10,3,10,8,17,21,5
2021-01-15,26,2,8,5,18,11,18,19,1
2021-01-16,20,0,5,1,7,5,16,18,1
2021-01-17,11,0,2,2,8,3,8,8,3
2021-01-18,11,2,7,0,4,3,8,15,3
2021-01-19,8,3,4,2,6,5,14,14,3
2021-01-20,4,1,1,0,2,2,3,6,3
2021-01-21,2,1,1,2,3,2,3,7,2
2021-01-22,1,0,1,0,0,1,2,2,0
2021-02-04,0,0,2,1,0,0,1,0,0
2021-02-05,0,0,1,0,1,0,1,0,2
2021-02-06,6,5,13,3,9,5,2,4,2
2021-02-07,8,2,12,3,4,1,7,5,4
2021-02-08,3,0,3,2,4,2,2,3,1
2021-02-09,9,3,15,6,9,10,7,6,3
2021-02-10,13,3,10,3,13,4,10,8,5
2021-02-11,10,5,13,4,12,5,13,7,4
2021-02-12,10,8,8,6,7,5,5,4,1
2021-02-13,11,2,6,2,10,5,14,6,4
2021-02-14,8,2,8,3,10,2,6,5,1
2021-02-15,5,3,0,0,6,2,4,6,1
2021-02-16,8,1,7,4,6,11,2,4,1
2021-02-17,8,1,3,0,6,2,4,5,2
2021-02-18,7,2,3,2,3,2,3,5,2
2021-02-19,0,2,1,0,0,1,3,8,1
2021-02-20,6,2,3,2,1,0,1,8,1
2021-02-21,3,0,1,0,0,2,0,4,0
2021-02-22,4,0,3,1,2,1,1,3,0
2021-03-12,1,1,0,0,0,0,0,0,0
2021-03-13,0,0,4,1,2,3,3,1,0
2021-03-14,1,3,5,5,3,0,1,1,3
2021-03-15,1,0,2,0,1,1,1,0,2
2021-03-16,1,0,0,2,3,4,1,0,2
2021-03-17,1,3,3,3,6,6,3,2,1
2021-03-18,1,0,3,2,2,1,0,1,1
2021-03-19,3,1,5,1,2,1,4,2,1
2021-03-20,2,2,3,1,3,1,3,2,0
2021-03-21,1,0,1,2,1,2,3,1,0
2021-03-22,4,3,2,2,3,2,2,2,1
2021-03-23,0,0,5,0,3,1,1,1,2
2021-03-24,0,0,3,2,0,0,1,3,0
2021-03-25,1,1,3,3,0,1,0,2,0
2021-03-26,0,0,0,2,0,0,2,0,1
2021-03-27,1,2,1,2,1,0,2,2,0
2021-03-28,0,0,0,0,1,1,0,0,0
2021-03-29,0,0,1,0,3,2,0,2,1
2021-04-16,1,2,0,0,0,1,0,1,0
2021-04-17,1,0,0,1,2,1,1,0,1
2021-04-18,1,1,1,0,1,1,1,0,0
2021-04-19,3,0,5,1,0,0,1,0,0
2021-04-20,0,0,0,0,1,0,3,1,0
2021-04-21,1,0,0,0,1,1,1,1,0
2021-04-22,1,0,0,0,1,1,0,0,2
2021-04-23,2,0,1,1,1,3,0,1,1
2021-04-24,1,1,1,0,1,1,1,1,0
2021-04-25,1,0,1,1,2,1,2,1,0
2021-04-26,7,1,2,0,1,0,0,0,1
2021-04-27,2,1,3,0,1,1,0,2,0
2021-04-28,0,0,0,0,1,3,1,1,0
2021-04-29,1,0,1,1,1,0,1,0,3
2021-04-30,3,0,0,0,0,0,1,1,0
2021-05-01,1,0,0,0,1,1,0,0,0
2021-05-02,0,0,0,1,0,0,0,1,0
2021-05-22,0,0,0,0,0,0,0,1,0
2021-05-23,1,1,0,1,0,1,0,0,0
2021-05-24,3,0,0,0,0,1,0,1,1
2021-05-25,0,1,4,1,1,0,2,1,0
2021-05-26,1,0,1,0,1,0,2,0,1
2021-05-27,0,0,2,1,0,1,1,2,1
2021-05-28,1,0,2,3,2,1,1,1,1
2021-05-29,3,0,4,0,1,1,4,1,0
2021-05-30,0,0,2,0,0,0,0,0,0
2021-05-31,1,0,0,3,0,1,1,1,0
2021-06-01,3,0,3,1,3,1,1,3,0
2021-06-02,2,0,0,3,1,2,2,4,0
2021-06-03,1,0,2,3,1,0,0,1,0
2021-06-04,0,0,1,0,0,0,2,0,0
2021-06-05,1,2,1,0,1,0,0,2,1
2021-06-06,2,1,0,0,0,1,0,1,2
2021-06-07,2,1,0,0,1,2,1,2,0
2021-06-24,1,0,0,1,0,0,0,0,0
2021-06-25,0,1,0,0,0,0,0,0,0
2021-06-26,1,0,4,1,2,2,0,5,0
2021-06-27,2,0,2,1,2,2,3,2,0
2021-06-28,2,1,1,4,0,1,1,6,4
2021-06-29,3,0,4,4,2,2,3,6,1
2021-06-30,6,4,12,4,2,2,1,3,4
2021-07-01,5,0,6,4,2,0,4,11,3
2021-07-02,5,5,4,5,7,3,7,12,2
2021-07-03,3,2,6,7,2,7,3,14,3
2021-07-04,5,1,4,4,1,4,3,6,1
2021-07-05,6,4,5,6,4,1,3,11,4
2021-07-06,7,3,7,7,8,4,2,5,3
2021-07-07,3,0,5,2,3,1,2,10,3
2021-07-08,4,2,5,1,4,3,1,3,9
2021-07-09,1,1,6,7,3,5,4,2,0
2021-07-10,1,1,4,3,1,7,2,5,2
2021-07-11,2,1,1,4,1,3,0,4,0
2021-07-12,4,1,5,5,3,2,3,6,0
2021-09-09,3,0,2,2,2,1,0,1,1
2021-09-10,5,2,4,4,4,2,0,2,2
2021-09-11,2,1,3,2,3,1,2,1,0
2021-09-12,5,0,2,4,1,2,5,2,0
2021-09-13,7,6,7,9,4,3,4,1,3
2021-09-14,6,1,9,7,4,9,6,4,8
2021-09-15,5,7,9,12,1,4,8,3,5
2021-09-16,8,2,11,7,5,10,8,3,3
2021-09-17,6,1,13,7,6,8,7,5,4
2021-09-18,6,3,6,8,2,5,8,11,0
2021-09-19,4,4,3,4,11,8,4,4,3
2021-09-20,10,2,6,12,12,8,6,7,6
2021-09-21,3,2,11,5,4,5,5,8,6
2021-09-22,3,3,4,6,6,6,3,9,3
2021-09-23,5,2,10,4,4,7,6,5,1
2021-09-24,6,0,7,5,5,2,3,9,3
2021-09-25,5,1,2,4,4,1,5,7,2
2021-09-26,2,2,6,0,4,3,2,5,1
2021-09-27,1,0,5,2,3,3,2,3,2
2021-09-28,0,0,1,1,2,0,3,1,1
2021-10-19,2,1,3,1,2,3,2,1,4
2021-10-20,9,0,4,4,10,10,6,6,8
2021-10-21,14,7,6,6,6,4,11,11,10
2021-10-22,24,2,17,12,8,6,5,9,19
2021-10-23,19,3,8,5,7,4,14,5,15
2021-10-24,8,2,2,0,4,3,6,7,5
2021-10-25,31,9,30,24,16,21,23,15,33
2021-10-26,22,9,22,15,9,12,18,16,18
2021-10-27,26,3,14,14,5,14,14,13,20
2021-10-28,23,5,12,12,10,18,7,11,9
2021-10-29,19,3,19,9,13,6,9,13,12
2021-10-30,9,3,6,7,1,7,12,8,4
2021-10-31,6,0,5,2,4,1,2,4,3
2021-11-01,19,7,15,7,9,13,12,17,12
2021-11-02,12,4,9,7,3,9,7,10,12
2021-11-03,12,4,6,7,2,2,8,13,10
2021-11-04,4,2,1,2,1,2,1,1,2
2021-11-05,2,0,0,2,0,0,1,0,0
2021-11-23,3,1,1,7,2,5,8,4,4
2021-11-24,14,3,3,5,10,3,8,6,10
2021-11-25,14,6,11,6,10,6,9,12,11
2021-11-26,17,2,9,6,12,3,2,8,9
2021-11-27,11,1,5,4,7,3,5,14,6
2021-11-28,1,0,2,4,2,0,5,9,3
2021-11-29,29,4,9,8,8,8,16,16,16
2021-11-30,27,5,13,10,11,8,17,16,19
2021-12-01,13,3,9,7,8,7,10,11,11
2021-12-02,11,0,5,8,9,6,5,16,10
2021-12-03,12,4,4,3,8,6,3,14,2
2021-12-04,6,0,6,2,0,4,1,6,2
2021-12-05,3,1,3,1,3,2,2,6,4
2021-12-06,7,0,6,2,7,8,6,11,8
2021-12-07,12,2,2,4,8,4,3,10,10
2021-12-08,13,2,2,7,3,4,6,2,4
2021-12-09,5,0,2,2,4,1,5,9,3
2021-12-10,2,1,2,4,1,3,0,10,4
2021-12-11,5,1,2,1,2,1,0,4,2
2021-12-12,2,0,1,1,2,1,0,9,1
2021-12-13,13,3,2,2,5,2,6,15,2
2021-12-14,4,2,2,1,1,2,1,19,1
2021-12-15,3,0,0,0,1,0,1,3,0
2021-12-16,0,0,2,0,0,0,0,1,0
2021-12-17,0,0,0,0,0,0,0,1,0
2022-01-05,27,8,29,27,8,22,11,29,16
2022-01-06,36,23,42,53,38,40,30,38,23
2022-01-07,45,24,39,42,34,39,33,44,30
2022-01-08,31,15,37,32,15,28,20,40,24
2022-01-09,18,7,23,18,8,12,10,28,12
2022-01-10,75,44,99,71,66,69,47,79,49
2022-01-11,53,29,66,48,41,40,35,66,27
2022-01-12,45,23,58,39,35,34,35,58,21
2022-01-13,46,24,43,39,21,43,23,48,26
2022-01-14,31,18,28,40,20,26,19,48,16
2022-01-15,27,5,22,11,10,18,11,32,15
2022-01-16,15,1,6,10,4,9,8,19,3
2022-01-17,38,22,44,27,18,37,31,43,20
2022-01-18,22,13,21,12,15,24,12,40,12
2022-01-19,15,6,15,9,8,17,14,32,15
2022-01-20,16,8,14,6,9,13,6,27,7
2022-01-21,5,3,2,2,1,5,4,6,2
2022-01-22,0,0,1,1,1,0,1,1,0
2022-01-24,0,0,0,0,0,0,0,1,0
2022-02-08,9,4,9,8,9,18,15,11,1
2022-02-09,23,4,18,10,15,19,17,25,6
2022-02-10,32,2,18,15,16,19,12,18,23
2022-02-11,45,7,21,15,16,21,29,30,25
2022-02-12,32,9,16,12,14,10,17,36,27
2022-02-13,10,3,7,4,6,9,14,14,9
2022-02-14,59,19,37,29,35,33,36,65,40
2022-02-15,51,11,15,32,11,26,24,42,31
2022-02-16,45,7,21,20,16,19,28,49,32
2022-02-17,35,5,19,16,13,22,16,36,22
2022-02-18,20,3,13,9,9,12,8,18,13
2022-02-19,16,0,8,3,5,2,12,10,12
2022-02-20,12,2,8,4,4,3,4,15,6
2022-02-21,32,7,24,17,6,11,14,37,16
2022-02-22,18,2,11,5,7,5,12,15,11
2022-02-23,20,0,11,9,9,3,9,19,6
2022-02-24,9,1,7,4,4,5,2,12,8
2022-02-25,11,1,10,1,2,6,3,12,8
2022-02-26,5,2,3,2,3,2,4,11,2
2022-02-27,5,1,0,0,4,5,5,5,2
2022-02-28,16,7,9,11,4,7,9,15,14
2022-03-01,5,3,4,3,2,4,5,7,2
2022-03-02,3,0,1,0,0,2,3,5,0
2022-03-03,0,0,1,0,1,1,0,1,0
2022-03-08,20,4,13,4,11,11,12,18,10
2022-03-09,31,4,21,16,21,14,23,24,15
2022-03-10,40,7,34,18,20,18,30,32,35
2022-03-11,42,11,24,25,24,20,33,46,34
2022-03-12,37,5,23,13,27,24,28,40,36
2022-03-13,23,7,14,17,16,12,13,28,24
2022-03-14,138,19,80,51,52,61,79,84,89
2022-03-15,104,19,61,56,47,63,55,83,97
2022-03-16,128,29,81,67,50,55,98,115,92
2022-03-17,101,24,62,61,55,61,65,79,77
2022-03-18,89,19,55,40,46,33,52,78,47
2022-03-19,32,14,23,16,15,22,31,45,27
2022-03-20,28,8,16,9,10,13,21,26,23
2022-03-21,90,19,59,52,43,47,81,91,77
2022-03-22,72,17,55,29,34,35,43,59,47
2022-03-23,46,11,38,37,22,32,32,29,34
2022-03-24,39,6,30,16,20,16,27,31,36
2022-03-25,37,11,16,17,15,17,22,31,20
2022-03-26,18,2,12,10,4,7,12,14,15
2022-03-27,7,0,10,3,4,4,8,9,6
2022-03-28,37,9,17,18,22,14,33,44,23
2022-03-29,31,6,23,25,12,22,21,21,23
2022-03-30,21,8,12,11,5,7,18,27,10
2022-03-31,9,4,8,4,7,9,8,10,11
