Variable,Category,total,Number with 1 or more symptoms (weighted),Number with 2 or more symptoms (weighted),Number with 3 or more symptoms (weighted),Prevalence 1 or more symptoms (weighted),Prevalence 2 or more symptoms (weighted),Prevalence 3 or more symptoms (weighted)
dummy,All participants,508707,28713,17860,11241,5.75 [5.68-5.81],3.54 [3.49-3.59],2.22 [2.18-2.26]
Sex,Female,284840,18109,11612,7513,6.55 [6.46-6.65],4.2 [4.12-4.28],2.73 [2.67-2.8]
Sex,Male,223861,10604,6248,3728,4.9 [4.82-4.99],2.85 [2.78-2.91],1.68 [1.63-1.73]
Age group,18-24,28655,1534,885,514,5.65 [5.46-5.84],3.19 [3.04-3.34],1.84 [1.73-1.95]
Age group,25-34,65159,3784,2105,1219,6.02 [5.86-6.18],3.33 [3.21-3.45],1.87 [1.78-1.96]
Age group,35-44,85044,5232,3083,1815,6.19 [6.03-6.36],3.62 [3.5-3.75],2.14 [2.04-2.24]
Age group,45-54,103478,6858,4311,2732,6.78 [6.62-6.95],4.29 [4.15-4.42],2.72 [2.62-2.83]
Age group,55-64,105361,6461,4205,2713,6.31 [6.14-6.48],4.16 [4.02-4.3],2.73 [2.61-2.84]
Age group,65-74,85297,3615,2406,1629,4.56 [4.4-4.72],3.05 [2.92-3.19],2.09 [1.98-2.2]
Age group,74+,35713,1229,865,619,3.64 [3.48-3.8],2.58 [2.45-2.72],1.91 [1.8-2.03]
Ethnicity,Asian,17666,809,480,275,5.06 [4.84-5.29],2.8 [2.63-2.97],1.58 [1.46-1.71]
Ethnicity,Black,4091,278,138,84,6.56 [6.15-6.99],3.48 [3.18-3.8],2.02 [1.8-2.27]
Ethnicity,Mixed,6112,487,310,202,7.65 [6.99-8.37],4.69 [4.17-5.27],3.05 [2.63-3.53]
Ethnicity,Other,4434,299,180,118,6.71 [6.08-7.4],4.1 [3.61-4.65],2.76 [2.36-3.22]
Ethnicity,White,472750,26603,16600,10461,5.73 [5.67-5.8],3.57 [3.52-3.63],2.26 [2.21-2.3]
BMI,Normal weight,183305,8954,5325,3182,5.03 [4.93-5.13],2.96 [2.88-3.03],1.75 [1.69-1.81]
BMI,Obese,97597,7107,4698,3127,7.29 [7.13-7.46],4.69 [4.56-4.83],3.15 [3.04-3.26]
BMI,Overweight,161456,8916,5449,3398,5.72 [5.6-5.83],3.48 [3.39-3.57],2.18 [2.11-2.25]
BMI,Underweight,6273,333,220,147,5.86 [5.36-6.41],3.7 [3.3-4.14],2.14 [1.84-2.49]
Healthcare or care home worker,No,292531,17044,10080,5973,5.91 [5.83-6],3.45 [3.39-3.52],2.02 [1.97-2.07]
Healthcare or care home worker,Yes,27690,2283,1469,920,8.44 [8.12-8.78],5.25 [4.99-5.52],3.19 [2.98-3.4]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3445,2288,1535,6.8 [6.65-6.96],4.39 [4.27-4.52],2.89 [2.79-3]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3445,2288,1535,6.8 [6.65-6.96],4.39 [4.27-4.52],2.89 [2.79-3]
Index of multiple deprivation (IMD) quintile,2,80894,5066,3223,2118,6.22 [6.08-6.37],3.81 [3.69-3.93],2.46 [2.37-2.56]
Index of multiple deprivation (IMD) quintile,2,80894,5066,3223,2118,6.22 [6.08-6.37],3.81 [3.69-3.93],2.46 [2.37-2.56]
Index of multiple deprivation (IMD) quintile,3,109928,6336,3937,2500,5.55 [5.41-5.69],3.39 [3.28-3.5],2.1 [2.02-2.19]
Index of multiple deprivation (IMD) quintile,3,109928,6336,3937,2500,5.55 [5.41-5.69],3.39 [3.28-3.5],2.1 [2.02-2.19]
Index of multiple deprivation (IMD) quintile,4,126237,6728,4122,2553,5.23 [5.1-5.37],3.16 [3.05-3.27],1.92 [1.84-2.01]
Index of multiple deprivation (IMD) quintile,4,126237,6728,4122,2553,5.23 [5.1-5.37],3.16 [3.05-3.27],1.92 [1.84-2.01]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,7138,4290,2535,4.92 [4.79-5.06],2.94 [2.84-3.05],1.72 [1.64-1.8]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,7138,4290,2535,4.92 [4.79-5.06],2.94 [2.84-3.05],1.72 [1.64-1.8]
Current smoker,Current cigarette smoker,50983,3552,2367,1610,7.02 [6.81-7.23],4.59 [4.42-4.77],3.1 [2.96-3.25]
Current smoker,Not current cigarette smoker,453681,24916,15344,9533,5.58 [5.51-5.65],3.4 [3.35-3.45],2.11 [2.06-2.15]
Current smoker,Prefer not to say,4043,245,149,98,6.08 [5.42-6.81],3.97 [3.44-4.58],2.35 [1.95-2.84]
Current vaper,Current vaper,28436,1986,1273,834,7.21 [6.93-7.5],4.59 [4.36-4.83],2.93 [2.75-3.13]
Current vaper,Not current vaper,477729,26586,16493,10340,5.65 [5.59-5.72],3.47 [3.41-3.52],2.17 [2.13-2.21]
Current vaper,Prefer not to say,2542,141,94,67,5.58 [4.8-6.48],3.95 [3.3-4.72],2.43 [1.92-3.05]
Severity of COVID symptoms,Mild symptoms,27572,5441,2746,1351,18.59 [18.16-19.02],9.26 [8.94-9.59],4.47 [4.24-4.71]
Severity of COVID symptoms,Moderate symptoms,45357,14501,8841,5423,31.17 [30.76-31.59],18.75 [18.4-19.11],11.53 [11.25-11.83]
Severity of COVID symptoms,No symptoms,416589,0,0,0,0 [0-0],0 [0-0],0 [0-0]
Severity of COVID symptoms,Severe symptoms,19187,8771,6273,4467,44.37 [43.68-45.06],31.78 [31.14-32.44],22.57 [22-23.16]
Treatment sought/ received for COVID,Hospital admission,739,408,319,241,53.04 [49.66-56.39],41.24 [37.96-44.6],30.87 [27.84-34.08]
Treatment sought/ received for COVID,No medical attention sought,58330,15098,8544,4912,24.72 [24.38-25.06],13.82 [13.55-14.1],7.93 [7.72-8.14]
Treatment sought/ received for COVID,Sought medical attention from pharmacist / by phone (NHS 111/GP),21388,8717,5991,4120,39.12 [38.5-39.75],26.44 [25.87-27.01],18.26 [17.77-18.76]
Treatment sought/ received for COVID,Visited GP/walk-in centre/A&E,6792,2811,1911,1263,39.85 [38.69-41.02],27.63 [26.58-28.71],17.93 [17.04-18.86]
Hospitalised with COVID,No,507968,28305,17541,11000,5.67 [5.6-5.73],3.48 [3.43-3.53],2.17 [2.13-2.21]
Hospitalised with COVID,Yes,739,408,319,241,53.04 [49.66-56.39],41.24 [37.96-44.6],30.87 [27.84-34.08]
Gross household income,">150,000",16279,886,463,245,5.51 [5.15-5.89],2.69 [2.44-2.97],1.41 [1.23-1.61]
Gross household income,"0-14,999",32819,2316,1673,1209,7.11 [6.86-7.38],5.06 [4.84-5.29],3.71 [3.52-3.91]
Gross household income,"15,000-49,999",148039,8746,5548,3521,6.06 [5.94-6.18],3.82 [3.72-3.92],2.38 [2.3-2.46]
Gross household income,"50,000-149,999",128957,7100,4088,2325,5.65 [5.52-5.78],3.15 [3.05-3.25],1.77 [1.7-1.84]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3445,2288,1535,6.8 [6.65-6.96],4.39 [4.27-4.52],2.89 [2.79-3]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3445,2288,1535,6.8 [6.65-6.96],4.39 [4.27-4.52],2.89 [2.79-3]
Index of multiple deprivation (IMD) quintile,2,80894,5066,3223,2118,6.22 [6.08-6.37],3.81 [3.69-3.93],2.46 [2.37-2.56]
Index of multiple deprivation (IMD) quintile,2,80894,5066,3223,2118,6.22 [6.08-6.37],3.81 [3.69-3.93],2.46 [2.37-2.56]
Index of multiple deprivation (IMD) quintile,3,109928,6336,3937,2500,5.55 [5.41-5.69],3.39 [3.28-3.5],2.1 [2.02-2.19]
Index of multiple deprivation (IMD) quintile,3,109928,6336,3937,2500,5.55 [5.41-5.69],3.39 [3.28-3.5],2.1 [2.02-2.19]
Index of multiple deprivation (IMD) quintile,4,126237,6728,4122,2553,5.23 [5.1-5.37],3.16 [3.05-3.27],1.92 [1.84-2.01]
Index of multiple deprivation (IMD) quintile,4,126237,6728,4122,2553,5.23 [5.1-5.37],3.16 [3.05-3.27],1.92 [1.84-2.01]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,7138,4290,2535,4.92 [4.79-5.06],2.94 [2.84-3.05],1.72 [1.64-1.8]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,7138,4290,2535,4.92 [4.79-5.06],2.94 [2.84-3.05],1.72 [1.64-1.8]
Lateral flow test result (antibody),1,32647,6232,3954,2357,17.74 [17.36-18.13],11.04 [10.73-11.36],6.56 [6.32-6.82]
Organ transplant recipient,1,596,35,27,20,5.39 [3.84-7.51],4.2 [2.86-6.13],3.53 [2.32-5.34]
Diabetes (type I or II),1,27358,1596,1118,837,5.88 [5.61-6.16],4.01 [3.79-4.25],3.11 [2.91-3.32]
Heart disease or heart problems,1,21430,1521,1090,816,7.08 [6.75-7.43],5.09 [4.8-5.39],3.85 [3.6-4.12]
Hypertension (high blood pressure),1,65792,4009,2744,1905,6.16 [5.98-6.35],4.25 [4.09-4.41],3.01 [2.88-3.15]
Stroke,1,3352,211,149,110,6.17 [5.42-7.02],4.15 [3.53-4.86],3.14 [2.62-3.78]
Kidney disease,1,3867,325,238,166,8.33 [7.51-9.23],6.03 [5.33-6.82],4.11 [3.54-4.78]
Liver disease,1,2107,171,123,103,8.28 [7.2-9.51],5.58 [4.69-6.62],4.67 [3.86-5.63]
Anemia,1,7575,801,586,439,10.99 [10.34-11.67],7.8 [7.25-8.38],5.78 [5.3-6.29]
Asthma,1,51337,4419,3123,2192,8.68 [8.44-8.93],6.05 [5.85-6.26],4.21 [4.04-4.39]
Other lung condition,1,12500,1113,840,643,9.02 [8.54-9.52],6.73 [6.31-7.17],5.32 [4.95-5.72]
