predictor,Level,crude_mode_OR,plus_age_group_named,plus_sex
Appetite loss,1,1.74 [1.26-2.4],1.75 [1.27-2.42],1.76 [1.27-2.42]
Nausea/vomiting,1,1.16 [0.61-2.2],1.15 [0.61-2.19],1.15 [0.61-2.19]
Diarrhoea,1,1.07 [0.64-1.8],1.07 [0.64-1.81],1.07 [0.64-1.81]
Abdominal pain / belly ache,1,0.93 [0.56-1.54],0.93 [0.56-1.54],0.93 [0.56-1.54]
Runny nose,1,0.82 [0.53-1.28],0.82 [0.53-1.28],0.82 [0.53-1.28]
Sneezing,1,0.82 [0.51-1.34],0.82 [0.5-1.34],0.82 [0.5-1.34]
Blocked nose,1,1.09 [0.75-1.6],1.09 [0.74-1.59],1.09 [0.74-1.59]
Sore eyes,1,1.06 [0.74-1.52],1.06 [0.74-1.53],1.06 [0.74-1.52]
Loss or change of sense of smell,1,3.94 [3.3-4.71],3.93 [3.29-4.71],3.95 [3.3-4.73]
Loss or change of sense of taste,1,3.46 [2.83-4.23],3.47 [2.84-4.25],3.49 [2.85-4.27]
Sore throat,1,0.78 [0.52-1.18],0.78 [0.52-1.18],0.78 [0.52-1.18]
Hoarse voice,1,1.05 [0.67-1.63],1.05 [0.67-1.64],1.05 [0.67-1.64]
Headache,1,1.38 [1.08-1.78],1.39 [1.08-1.78],1.39 [1.08-1.79]
Dizziness,1,1.86 [1.39-2.49],1.87 [1.4-2.5],1.87 [1.4-2.51]
Shortness of breath,1,2 [1.69-2.38],2.02 [1.7-2.4],2.03 [1.71-2.41]
New persistent cough,1,0.78 [0.55-1.1],0.77 [0.54-1.1],0.77 [0.54-1.1]
Tight chest,1,1.41 [1.12-1.79],1.42 [1.12-1.8],1.42 [1.12-1.8]
Chest pain,1,1.48 [1.06-2.07],1.49 [1.07-2.08],1.49 [1.07-2.08]
Fever,1,1.25 [0.74-2.12],1.25 [0.74-2.11],1.25 [0.74-2.11]
Chills,1,1.43 [0.88-2.31],1.42 [0.88-2.31],1.42 [0.88-2.31]
Difficulty sleeping,1,1.43 [1.16-1.76],1.42 [1.15-1.76],1.43 [1.15-1.76]
Tiredness,1,2 [1.74-2.31],2.02 [1.75-2.33],2.03 [1.75-2.34]
Severe fatigue,1,1.88 [1.41-2.53],1.89 [1.41-2.54],1.89 [1.41-2.54]
Numbness/tingling,1,1.79 [1.26-2.54],1.8 [1.27-2.56],1.8 [1.27-2.56]
Heavy arms/legs,1,1.96 [1.49-2.57],1.97 [1.5-2.59],1.97 [1.5-2.59]
Muscle aches,1,1.86 [1.53-2.26],1.87 [1.53-2.28],1.87 [1.54-2.28]
"Red, itchy areas on skin",1,1.9 [1.17-3.09],1.91 [1.18-3.12],1.91 [1.18-3.12]
Sudden swelling to face or lips,1,1.22 [0.16-9.12],1.19 [0.16-8.94],1.19 [0.16-8.94]
Purple sores/blisters on feet,1,2.17 [0.99-4.72],2.16 [0.99-4.72],2.16 [0.99-4.72]
