Variable,Category,total,Number with 1 or more symptoms (weighted),Number with 2 or more symptoms (weighted),Number with 3 or more symptoms (weighted),Prevalence 1 or more symptoms (weighted),Prevalence 2 or more symptoms (weighted),Prevalence 3 or more symptoms (weighted)
dummy,All participants,508707,23312,14135,8306,4.67 [4.61-4.72],2.82 [2.77-2.86],1.65 [1.61-1.68]
Sex,Female,284840,14940,9293,5605,5.43 [5.34-5.52],3.39 [3.33-3.46],2.04 [1.99-2.09]
Sex,Male,223861,8372,4842,2701,3.87 [3.79-3.95],2.22 [2.16-2.28],1.24 [1.2-1.28]
Age group,18-24,28655,1229,674,352,4.41 [4.24-4.58],2.47 [2.34-2.6],1.32 [1.23-1.42]
Age group,25-34,65159,3010,1646,891,4.79 [4.65-4.93],2.59 [2.49-2.7],1.35 [1.27-1.42]
Age group,35-44,85044,4258,2472,1353,5 [4.85-5.15],2.93 [2.82-3.05],1.61 [1.53-1.7]
Age group,45-54,103478,5702,3557,2134,5.68 [5.53-5.84],3.55 [3.43-3.68],2.14 [2.05-2.24]
Age group,55-64,105361,5209,3304,2016,5.14 [4.99-5.3],3.29 [3.16-3.42],2.05 [1.95-2.15]
Age group,65-74,85297,2907,1818,1141,3.71 [3.57-3.86],2.35 [2.24-2.47],1.49 [1.4-1.59]
Age group,74+,35713,997,664,419,3.02 [2.88-3.17],2.06 [1.95-2.19],1.33 [1.24-1.44]
Ethnicity,Asian,17666,648,379,210,3.94 [3.74-4.14],2.28 [2.13-2.44],1.22 [1.11-1.34]
Ethnicity,Black,4091,216,108,62,5.03 [4.67-5.42],2.69 [2.43-2.98],1.53 [1.34-1.76]
Ethnicity,Mixed,6112,394,251,162,6.16 [5.57-6.82],3.73 [3.27-4.25],2.29 [1.94-2.71]
Ethnicity,Other,4434,233,141,88,5.31 [4.75-5.94],3.15 [2.72-3.65],1.99 [1.66-2.4]
Ethnicity,White,472750,21627,13130,7705,4.68 [4.62-4.74],2.85 [2.8-2.9],1.67 [1.63-1.71]
BMI,Normal weight,183305,7009,4038,2259,3.97 [3.89-4.06],2.28 [2.21-2.35],1.26 [1.21-1.32]
BMI,Obese,97597,5992,3865,2370,6.09 [5.94-6.25],3.87 [3.75-3.99],2.38 [2.28-2.47]
BMI,Overweight,161456,7191,4300,2510,4.61 [4.51-4.72],2.78 [2.7-2.86],1.63 [1.57-1.69]
BMI,Underweight,6273,278,170,117,4.84 [4.38-5.34],2.84 [2.49-3.24],1.62 [1.36-1.93]
Healthcare or care home worker,No,292531,13639,7892,4366,4.73 [4.66-4.81],2.71 [2.65-2.77],1.48 [1.44-1.53]
