areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,England,E92000001,2023-01-20,61,184819
nation,England,E92000001,2023-01-19,65,184758
nation,England,E92000001,2023-01-18,68,184693
nation,England,E92000001,2023-01-17,69,184625
nation,England,E92000001,2023-01-16,87,184556
nation,England,E92000001,2023-01-15,83,184469
nation,England,E92000001,2023-01-14,82,184386
nation,England,E92000001,2023-01-13,77,184304
nation,England,E92000001,2023-01-12,99,184227
nation,England,E92000001,2023-01-11,71,184128
nation,England,E92000001,2023-01-10,80,184057
nation,England,E92000001,2023-01-09,103,183977
nation,England,E92000001,2023-01-08,95,183874
nation,England,E92000001,2023-01-07,95,183779
nation,England,E92000001,2023-01-06,83,183684
nation,England,E92000001,2023-01-05,110,183601
nation,England,E92000001,2023-01-04,112,183491
nation,England,E92000001,2023-01-03,107,183379
nation,England,E92000001,2023-01-02,99,183272
nation,England,E92000001,2023-01-01,102,183173
nation,England,E92000001,2022-12-31,123,183071
nation,England,E92000001,2022-12-30,123,182948
nation,England,E92000001,2022-12-29,94,182825
nation,England,E92000001,2022-12-28,105,182731
nation,England,E92000001,2022-12-27,109,182626
nation,England,E92000001,2022-12-26,101,182517
nation,England,E92000001,2022-12-25,97,182416
nation,England,E92000001,2022-12-24,110,182319
nation,England,E92000001,2022-12-23,96,182209
nation,England,E92000001,2022-12-22,80,182113
nation,England,E92000001,2022-12-21,84,182033
nation,England,E92000001,2022-12-20,92,181949
nation,England,E92000001,2022-12-19,93,181857
nation,England,E92000001,2022-12-18,81,181764
nation,England,E92000001,2022-12-17,72,181683
nation,England,E92000001,2022-12-16,70,181611
nation,England,E92000001,2022-12-15,42,181541
nation,England,E92000001,2022-12-14,77,181499
nation,England,E92000001,2022-12-13,59,181422
nation,England,E92000001,2022-12-12,54,181363
nation,England,E92000001,2022-12-11,54,181309
nation,England,E92000001,2022-12-10,55,181255
nation,England,E92000001,2022-12-09,52,181200
nation,England,E92000001,2022-12-08,56,181148
nation,England,E92000001,2022-12-07,49,181092
nation,England,E92000001,2022-12-06,57,181043
nation,England,E92000001,2022-12-05,50,180986
nation,England,E92000001,2022-12-04,30,180936
nation,England,E92000001,2022-12-03,45,180906
nation,England,E92000001,2022-12-02,39,180861
nation,England,E92000001,2022-12-01,47,180822
nation,England,E92000001,2022-11-30,35,180775
nation,England,E92000001,2022-11-29,38,180740
nation,England,E92000001,2022-11-28,47,180702
nation,England,E92000001,2022-11-27,44,180655
nation,England,E92000001,2022-11-26,31,180611
nation,England,E92000001,2022-11-25,39,180580
nation,England,E92000001,2022-11-24,39,180541
nation,England,E92000001,2022-11-23,47,180502
nation,England,E92000001,2022-11-22,40,180455
nation,England,E92000001,2022-11-21,44,180415
nation,England,E92000001,2022-11-20,52,180371
nation,England,E92000001,2022-11-19,42,180319
nation,England,E92000001,2022-11-18,51,180277
nation,England,E92000001,2022-11-17,44,180226
nation,England,E92000001,2022-11-16,43,180182
nation,England,E92000001,2022-11-15,54,180139
nation,England,E92000001,2022-11-14,55,180085
nation,England,E92000001,2022-11-13,49,180030
nation,England,E92000001,2022-11-12,37,179981
nation,England,E92000001,2022-11-11,55,179944
nation,England,E92000001,2022-11-10,43,179889
nation,England,E92000001,2022-11-09,51,179846
nation,England,E92000001,2022-11-08,55,179795
nation,England,E92000001,2022-11-07,63,179740
nation,England,E92000001,2022-11-06,46,179677
nation,England,E92000001,2022-11-05,59,179631
nation,England,E92000001,2022-11-04,76,179572
nation,England,E92000001,2022-11-03,70,179496
nation,England,E92000001,2022-11-02,64,179426
nation,England,E92000001,2022-11-01,68,179362
nation,England,E92000001,2022-10-31,63,179294
nation,England,E92000001,2022-10-30,87,179231
nation,England,E92000001,2022-10-29,79,179144
nation,England,E92000001,2022-10-28,73,179065
nation,England,E92000001,2022-10-27,96,178992
nation,England,E92000001,2022-10-26,80,178896
nation,England,E92000001,2022-10-25,91,178816
nation,England,E92000001,2022-10-24,91,178725
nation,England,E92000001,2022-10-23,84,178634
nation,England,E92000001,2022-10-22,99,178550
nation,England,E92000001,2022-10-21,87,178451
nation,England,E92000001,2022-10-20,104,178364
nation,England,E92000001,2022-10-19,87,178260
nation,England,E92000001,2022-10-18,88,178173
nation,England,E92000001,2022-10-17,101,178085
nation,England,E92000001,2022-10-16,95,177984
nation,England,E92000001,2022-10-15,91,177889
nation,England,E92000001,2022-10-14,102,177798
nation,England,E92000001,2022-10-13,99,177696
nation,England,E92000001,2022-10-12,110,177597
nation,England,E92000001,2022-10-11,95,177487
nation,England,E92000001,2022-10-10,75,177392
nation,England,E92000001,2022-10-09,82,177317
nation,England,E92000001,2022-10-08,80,177235
nation,England,E92000001,2022-10-07,83,177155
nation,England,E92000001,2022-10-06,77,177072
nation,England,E92000001,2022-10-05,84,176995
nation,England,E92000001,2022-10-04,78,176911
nation,England,E92000001,2022-10-03,69,176833
nation,England,E92000001,2022-10-02,53,176764
nation,England,E92000001,2022-10-01,58,176711
nation,England,E92000001,2022-09-30,46,176653
nation,England,E92000001,2022-09-29,53,176607
nation,England,E92000001,2022-09-28,54,176554
nation,England,E92000001,2022-09-27,56,176500
nation,England,E92000001,2022-09-26,49,176444
nation,England,E92000001,2022-09-25,32,176395
nation,England,E92000001,2022-09-24,39,176363
nation,England,E92000001,2022-09-23,42,176324
nation,England,E92000001,2022-09-22,45,176282
nation,England,E92000001,2022-09-21,30,176237
nation,England,E92000001,2022-09-20,42,176207
nation,England,E92000001,2022-09-19,41,176165
nation,England,E92000001,2022-09-18,30,176124
nation,England,E92000001,2022-09-17,31,176094
nation,England,E92000001,2022-09-16,29,176063
nation,England,E92000001,2022-09-15,39,176034
nation,England,E92000001,2022-09-14,37,175995
nation,England,E92000001,2022-09-13,46,175958
nation,England,E92000001,2022-09-12,32,175912
nation,England,E92000001,2022-09-11,18,175880
nation,England,E92000001,2022-09-10,31,175862
nation,England,E92000001,2022-09-09,29,175831
nation,England,E92000001,2022-09-08,37,175802
nation,England,E92000001,2022-09-07,46,175765
nation,England,E92000001,2022-09-06,26,175719
nation,England,E92000001,2022-09-05,31,175693
nation,England,E92000001,2022-09-04,36,175662
nation,England,E92000001,2022-09-03,40,175626
nation,England,E92000001,2022-09-02,42,175586
nation,England,E92000001,2022-09-01,34,175544
nation,England,E92000001,2022-08-31,56,175510
nation,England,E92000001,2022-08-30,35,175454
nation,England,E92000001,2022-08-29,44,175419
nation,England,E92000001,2022-08-28,54,175375
nation,England,E92000001,2022-08-27,52,175321
nation,England,E92000001,2022-08-26,33,175269
nation,England,E92000001,2022-08-25,41,175236
nation,England,E92000001,2022-08-24,41,175195
