"Variable","Category","Positive_r9","Total_r9","Prevalence_r9","Lower_r9","Upper_r9","Positive_r9a","Total_r9a","Prevalence_r9a","Lower_r9a","Upper_r9a","Positive_r9b","Total_r9b","Prevalence_r9b","Lower_r9b","Upper_r9b","Positive_r10","Total_r10","Prevalence_r10","Lower_r10","Upper_r10"
"gender_char","Male",315,75027,0.004198,0.003761,0.004687,186,40077,0.004641,0.004021,0.005356,129,34950,0.003691,0.003107,0.004384,108,63077,0.001712,0.001418,0.002067
"gender_char","Female",374,90425,0.004136,0.003738,0.004576,202,47331,0.004268,0.003719,0.004897,172,43094,0.003991,0.003439,0.004632,119,77765,0.00153,0.001279,0.001831
"gender_char","NA",0,4,0,0,0.403479,0,1,0,0,0.730134,0,3,0,0,0.474196,0,2,0,0,0.574969
"age_group_char2","5-12",81,13605,0.005954,0.004793,0.007393,49,6667,0.00735,0.005564,0.009703,32,6938,0.004612,0.003269,0.006504,33,10750,0.00307,0.002187,0.004308
"age_group_char2","13-17",45,10155,0.004431,0.003314,0.005924,30,6243,0.004805,0.003368,0.006852,15,3912,0.003834,0.002325,0.006317,14,7891,0.001774,0.001057,0.002976
"age_group_char2","18-24",40,6788,0.005893,0.004331,0.008014,23,3453,0.006661,0.004443,0.009976,17,3335,0.005097,0.003185,0.008149,13,5799,0.002242,0.001311,0.003832
"age_group_char2","25-34",68,14801,0.004594,0.003626,0.00582,35,6870,0.005095,0.003666,0.007077,33,7931,0.004161,0.002964,0.005837,21,12203,0.001721,0.001126,0.00263
"age_group_char2","35-44",94,21088,0.004458,0.003644,0.005451,43,9687,0.004439,0.003297,0.005973,51,11401,0.004473,0.003404,0.005876,35,17339,0.002019,0.001452,0.002806
"age_group_char2","45-54",132,27595,0.004783,0.004035,0.005669,63,12964,0.00486,0.0038,0.006212,69,14631,0.004716,0.003728,0.005964,37,22258,0.001662,0.001206,0.00229
"age_group_char2","55-64",135,31727,0.004255,0.003596,0.005034,81,16919,0.004788,0.003854,0.005946,54,14808,0.003647,0.002796,0.004755,39,25811,0.001511,0.001106,0.002065
"age_group_char2","65-74",63,26589,0.002369,0.001853,0.00303,46,17017,0.002703,0.002027,0.003603,17,9572,0.001776,0.001109,0.002843,21,25874,0.000812,0.000531,0.001241
"age_group_char2","75+",31,13108,0.002365,0.001667,0.003355,18,7589,0.002372,0.001501,0.003746,13,5519,0.002355,0.001377,0.004026,14,12919,0.001084,0.000646,0.001818
"region","South East",119,36642,0.003248,0.002715,0.003885,59,19499,0.003026,0.002347,0.003901,60,17143,0.0035,0.00272,0.004502,18,31128,0.000578,0.000366,0.000914
"region","North East",41,5836,0.007025,0.005183,0.009516,26,3021,0.008606,0.00588,0.012581,15,2815,0.005329,0.003232,0.008774,16,4935,0.003242,0.001997,0.00526
"region","North West",112,19402,0.005773,0.0048,0.006941,77,10643,0.007235,0.005793,0.009032,35,8759,0.003996,0.002875,0.005552,41,16106,0.002546,0.001877,0.003451
"region","Yorkshire and The Humber",42,11218,0.003744,0.002771,0.005057,28,6089,0.004598,0.003184,0.006638,14,5129,0.00273,0.001627,0.004577,28,9601,0.002916,0.002019,0.004212
"region","East Midlands",103,21193,0.00486,0.004009,0.00589,59,12001,0.004916,0.003814,0.006336,44,9192,0.004787,0.003568,0.006419,34,17934,0.001896,0.001357,0.002648
"region","West Midlands",60,15478,0.003876,0.003013,0.004986,32,8422,0.0038,0.002693,0.005359,28,7056,0.003968,0.002747,0.005729,26,12926,0.002011,0.001373,0.002946
"region","East of England",86,23672,0.003633,0.002943,0.004484,48,11893,0.004036,0.003046,0.005347,38,11779,0.003226,0.002351,0.004425,27,20103,0.001343,0.000923,0.001953
"region","London",91,15492,0.005874,0.004787,0.007206,37,6995,0.005289,0.00384,0.007282,54,8497,0.006355,0.004874,0.008282,22,14062,0.001565,0.001033,0.002368
"region","South West",35,16523,0.002118,0.001524,0.002944,22,8846,0.002487,0.001643,0.003763,13,7677,0.001693,0.00099,0.002895,15,14049,0.001068,0.000647,0.001761
"work_new_alt","HCW/CHW",55,9042,0.006083,0.004676,0.007908,33,3637,0.009073,0.006468,0.012715,22,5405,0.00407,0.00269,0.006155,19,8614,0.002206,0.001413,0.003443
"work_new_alt","Key worker (other)",165,31393,0.005256,0.004514,0.006119,85,14052,0.006049,0.004895,0.007473,80,17341,0.004613,0.003709,0.005737,44,24094,0.001826,0.001361,0.00245
"work_new_alt","Other worker",244,59907,0.004073,0.003594,0.004616,129,28702,0.004494,0.003784,0.005337,115,31205,0.003685,0.003071,0.004421,90,52495,0.001714,0.001395,0.002107
"work_new_alt","Not FT, PT, SE",202,60496,0.003339,0.00291,0.003831,127,38958,0.00326,0.002741,0.003877,75,21538,0.003482,0.002779,0.004362,64,52331,0.001223,0.000958,0.001561
"work_new_alt","NA",23,4618,0.004981,0.003321,0.007463,14,2060,0.006796,0.004053,0.011376,9,2558,0.003518,0.001852,0.006674,10,3310,0.003021,0.001642,0.005553
"ethnic_new_char","White",596,149859,0.003977,0.003671,0.004309,357,80983,0.004408,0.003975,0.004889,239,68876,0.00347,0.003058,0.003938,194,126966,0.001528,0.001328,0.001758
"ethnic_new_char","Asian / Asian British",52,6516,0.00798,0.006091,0.010449,19,2543,0.007471,0.004788,0.01164,33,3973,0.008306,0.005921,0.011641,14,5892,0.002376,0.001416,0.003985
"ethnic_new_char","Black / African / Caribbean / Black British",14,2151,0.006509,0.003881,0.010896,1,675,0.001481,0.000262,0.008343,13,1476,0.008808,0.005154,0.015011,4,1965,0.002036,0.000792,0.005223
"ethnic_new_char","Mixed",8,2926,0.002734,0.001386,0.005386,2,1347,0.001485,0.000407,0.005398,6,1579,0.0038,0.001743,0.008266,7,2460,0.002846,0.001379,0.005862
"ethnic_new_char","Other",5,1185,0.004219,0.001804,0.009839,2,497,0.004024,0.001104,0.014552,3,688,0.00436,0.001484,0.012741,3,1143,0.002625,0.000893,0.007688
"ethnic_new_char","NA",14,2819,0.004966,0.002961,0.008319,7,1364,0.005132,0.002488,0.010555,7,1455,0.004811,0.002332,0.009898,5,2418,0.002068,0.000884,0.004832
"hh_size_cat","1",68,23576,0.002884,0.002276,0.003655,29,11817,0.002454,0.001709,0.003522,39,11759,0.003317,0.002427,0.00453,26,20336,0.001279,0.000873,0.001873
"hh_size_cat","2",177,59046,0.002998,0.002588,0.003472,108,33894,0.003186,0.00264,0.003845,69,25152,0.002743,0.002168,0.00347,64,53128,0.001205,0.000944,0.001538
"hh_size_cat","3",145,30652,0.004731,0.004022,0.005563,90,15387,0.005849,0.004761,0.007183,55,15265,0.003603,0.002769,0.004686,48,25373,0.001892,0.001427,0.002507
"hh_size_cat","4",182,35280,0.005159,0.004463,0.005962,100,17801,0.005618,0.004621,0.006827,82,17479,0.004691,0.003781,0.005819,58,28568,0.00203,0.001571,0.002623
"hh_size_cat","5",83,12055,0.006885,0.005558,0.008526,43,6087,0.007064,0.005249,0.009501,40,5968,0.006702,0.004926,0.009113,19,9582,0.001983,0.00127,0.003095
"hh_size_cat","6+",34,4847,0.007015,0.005024,0.009786,18,2423,0.007429,0.004704,0.011713,16,2424,0.006601,0.004067,0.010696,12,3857,0.003111,0.001781,0.005431
"covidcon_char","No",350,139231,0.002514,0.002264,0.002791,198,79174,0.002501,0.002176,0.002874,152,60057,0.002531,0.00216,0.002966,136,119963,0.001134,0.000959,0.001341
"covidcon_char","Yes, contact with confirmed/tested COVID-19 case",215,2587,0.083108,0.073079,0.094373,133,1425,0.093333,0.079304,0.10955,82,1162,0.070568,0.057214,0.086752,46,977,0.047083,0.035483,0.062231
"covidcon_char","Yes, contact with suspected COVID-19 case",15,640,0.023438,0.014254,0.038308,12,328,0.036585,0.02105,0.06285,3,312,0.009615,0.003275,0.027884,5,397,0.012594,0.005391,0.02914
"covidcon_char","NA",109,22998,0.00474,0.003931,0.005714,45,6482,0.006942,0.005193,0.009276,64,16516,0.003875,0.003036,0.004945,40,19507,0.002051,0.001506,0.002791
