Variable,Category,Positive,Total,Prevalence_unweighted,Prevalence_weighted
dummy,All participants,8877,508707,1.75 [1.71-1.78],1.75 [1.72-1.79]
Sex,Female,5710,284840,2 [1.95-2.06],2.08 [2.03-2.14]
Sex,Male,3167,223861,1.41 [1.37-1.46],1.4 [1.36-1.45]
Age group,18-24,329,28655,1.15 [1.03-1.28],1.17 [1.08-1.26]
Age group,25-34,918,65159,1.41 [1.32-1.5],1.49 [1.41-1.57]
Age group,35-44,1439,85044,1.69 [1.61-1.78],1.73 [1.64-1.82]
Age group,45-54,2188,103478,2.11 [2.03-2.2],2.2 [2.11-2.3]
Age group,55-64,2208,105361,2.1 [2.01-2.18],2.19 [2.08-2.29]
Age group,65-74,1286,85297,1.51 [1.43-1.59],1.71 [1.61-1.81]
Age group,74+,509,35713,1.43 [1.31-1.55],1.5 [1.4-1.61]
Ethnicity,Asian,255,17666,1.44 [1.28-1.63],1.39 [1.27-1.51]
Ethnicity,Black,83,4091,2.03 [1.64-2.51],1.91 [1.69-2.15]
Ethnicity,Mixed,154,6112,2.52 [2.16-2.94],2.15 [1.81-2.56]
Ethnicity,Other,100,4434,2.26 [1.86-2.74],2.05 [1.71-2.46]
Ethnicity,White,8205,472750,1.74 [1.7-1.77],1.76 [1.73-1.8]
BMI,Normal weight,2479,183305,1.35 [1.3-1.41],1.37 [1.31-1.42]
BMI,Obese,2483,97597,2.54 [2.45-2.64],2.52 [2.43-2.63]
BMI,Overweight,2712,161456,1.68 [1.62-1.74],1.75 [1.69-1.82]
BMI,Underweight,106,6273,1.69 [1.4-2.04],1.71 [1.45-2.03]
Healthcare or care home worker,No,4827,292531,1.65 [1.6-1.7],1.64 [1.6-1.69]
Healthcare or care home worker,Yes,766,27690,2.77 [2.58-2.97],2.74 [2.56-2.94]
Index of multiple deprivation (IMD) quintile,1 - most deprived,1154,50260,2.3 [2.17-2.43],2.24 [2.15-2.33]
Index of multiple deprivation (IMD) quintile,1 - most deprived,1154,50260,2.3 [2.17-2.43],2.24 [2.15-2.33]
Index of multiple deprivation (IMD) quintile,2,1612,80894,1.99 [1.9-2.09],1.9 [1.82-1.98]
Index of multiple deprivation (IMD) quintile,2,1612,80894,1.99 [1.9-2.09],1.9 [1.82-1.98]
Index of multiple deprivation (IMD) quintile,3,2005,109928,1.82 [1.75-1.9],1.67 [1.6-1.75]
Index of multiple deprivation (IMD) quintile,3,2005,109928,1.82 [1.75-1.9],1.67 [1.6-1.75]
Index of multiple deprivation (IMD) quintile,4,2025,126237,1.6 [1.54-1.67],1.54 [1.47-1.62]
Index of multiple deprivation (IMD) quintile,4,2025,126237,1.6 [1.54-1.67],1.54 [1.47-1.62]
Index of multiple deprivation (IMD) quintile,5 - least deprived,2081,141388,1.47 [1.41-1.54],1.41 [1.34-1.48]
Index of multiple deprivation (IMD) quintile,5 - least deprived,2081,141388,1.47 [1.41-1.54],1.41 [1.34-1.48]
Current smoker,Current cigarette smoker,1130,50983,2.22 [2.09-2.35],2.08 [1.97-2.2]
Current smoker,Not current cigarette smoker,7671,453681,1.69 [1.65-1.73],1.71 [1.67-1.75]
Current smoker,Prefer not to say,76,4043,1.88 [1.5-2.35],1.8 [1.45-2.23]
Current vaper,Current vaper,603,28436,2.12 [1.96-2.29],2.11 [1.96-2.28]
Current vaper,Not current vaper,8233,477729,1.72 [1.69-1.76],1.73 [1.69-1.77]
Current vaper,Prefer not to say,41,2542,1.61 [1.19-2.18],1.56 [1.17-2.08]
Severity of COVID symptoms,Mild symptoms,0,27572,0 [0-0.01],0 [0-0.01]
Severity of COVID symptoms,Moderate symptoms,0,45357,0 [0-0.01],0 [0-0.01]
Severity of COVID symptoms,No symptoms,0,416589,0 [0-0],0 [0-0]
Severity of COVID symptoms,Severe symptoms,8877,19187,46.27 [45.56-46.97],44.98 [44.28-45.67]
Treatment sought/ received for COVID,Hospital admission,360,739,48.71 [45.13-52.32],45.65 [42.31-49.03]
Treatment sought/ received for COVID,No medical attention sought,2475,58330,4.24 [4.08-4.41],3.99 [3.84-4.15]
Treatment sought/ received for COVID,Sought medical attention from pharmacist / by phone (NHS 111/GP),3905,21388,18.26 [17.75-18.78],17.17 [16.69-17.66]
Treatment sought/ received for COVID,Visited GP/walk-in centre/A&E,1553,6792,22.87 [21.88-23.88],22.01 [21.03-23.01]
Hospitalised with COVID,No,8517,507968,1.68 [1.64-1.71],1.68 [1.64-1.71]
Hospitalised with COVID,Yes,360,739,48.71 [45.13-52.32],45.65 [42.31-49.03]
Gross household income,">150,000",245,16279,1.51 [1.33-1.7],1.39 [1.21-1.6]
Gross household income,"0-14,999",887,32819,2.7 [2.53-2.88],2.68 [2.53-2.85]
Gross household income,"15,000-49,999",2676,148039,1.81 [1.74-1.88],1.82 [1.75-1.89]
Gross household income,"50,000-149,999",1923,128957,1.49 [1.43-1.56],1.52 [1.45-1.59]
Index of multiple deprivation (IMD) quintile,1 - most deprived,1154,50260,2.3 [2.17-2.43],2.24 [2.15-2.33]
Index of multiple deprivation (IMD) quintile,1 - most deprived,1154,50260,2.3 [2.17-2.43],2.24 [2.15-2.33]
Index of multiple deprivation (IMD) quintile,2,1612,80894,1.99 [1.9-2.09],1.9 [1.82-1.98]
Index of multiple deprivation (IMD) quintile,2,1612,80894,1.99 [1.9-2.09],1.9 [1.82-1.98]
Index of multiple deprivation (IMD) quintile,3,2005,109928,1.82 [1.75-1.9],1.67 [1.6-1.75]
Index of multiple deprivation (IMD) quintile,3,2005,109928,1.82 [1.75-1.9],1.67 [1.6-1.75]
Index of multiple deprivation (IMD) quintile,4,2025,126237,1.6 [1.54-1.67],1.54 [1.47-1.62]
Index of multiple deprivation (IMD) quintile,4,2025,126237,1.6 [1.54-1.67],1.54 [1.47-1.62]
Index of multiple deprivation (IMD) quintile,5 - least deprived,2081,141388,1.47 [1.41-1.54],1.41 [1.34-1.48]
Index of multiple deprivation (IMD) quintile,5 - least deprived,2081,141388,1.47 [1.41-1.54],1.41 [1.34-1.48]
Lateral flow test result (antibody),1,2239,32647,6.86 [6.59-7.14],6.1 [5.86-6.35]
Organ transplant recipient,1,18,596,3.02 [1.92-4.72],2.35 [1.41-3.91]
Diabetes (type I or II),1,652,27358,2.38 [2.21-2.57],2.34 [2.17-2.52]
Heart disease or heart problems,1,629,21430,2.94 [2.72-3.17],3.16 [2.94-3.41]
Hypertension (high blood pressure),1,1482,65792,2.25 [2.14-2.37],2.38 [2.26-2.5]
Stroke,1,89,3352,2.66 [2.16-3.26],2.52 [2.05-3.09]
Kidney disease,1,135,3867,3.49 [2.96-4.12],3.71 [3.16-4.34]
Liver disease,1,68,2107,3.23 [2.55-4.07],3.29 [2.62-4.13]
Anemia,1,297,7575,3.92 [3.51-4.38],3.99 [3.6-4.43]
Asthma,1,1736,51337,3.38 [3.23-3.54],3.33 [3.18-3.49]
Other lung condition,1,522,12500,4.18 [3.84-4.54],4.31 [3.98-4.67]
Cancer,1,168,8042,2.09 [1.8-2.43],2.24 [1.94-2.6]
Condition affecting the brain and nerves,1,156,5415,2.88 [2.47-3.36],2.55 [2.17-3.01]
A weakened immune system/reduced ability to deal with infections,1,773,19302,4 [3.74-4.29],4.22 [3.94-4.52]
Depression,1,1415,38125,3.71 [3.53-3.91],3.65 [3.48-3.84]
Anxiety,1,1883,57140,3.3 [3.15-3.44],3.24 [3.1-3.38]
Psychiatric disorder,1,144,3385,4.25 [3.62-4.99],3.76 [3.21-4.4]
symptomatic,1,8877,92116,9.64 [9.45-9.83],9.11 [8.93-9.29]
