"level","prevalence_13","lower_13","upper_13","prevalence_13a","lower_13a","upper_13a","prevalence_13b","lower_13b","upper_13b"
"Male",0.00710206278215469,0.00616431132522146,0.0081812961784105,0.00723703175351084,0.00590669308987146,0.00886432501205428,0.00696805106529823,0.00572100921544621,0.00848459832662741
"Female",0.00552296394779879,0.00484977527427022,0.00628900620824596,0.00490527411712611,0.00404375985858638,0.00594923573954694,0.00612639865583299,0.0051393062089801,0.00730168777687948
"NA",5.80529471462871e-11,NA,NA,5.82543958478201e-11,NA,NA,5.79704309309712e-11,NA,NA
"5-12",0.0102251968011973,0.00796963548981609,0.0131106890051772,0.0109475591901684,0.00748844787898396,0.0159788006877842,0.00961371482232642,0.00694382510404957,0.0132964277588589
"13-17",0.0156180065653925,0.0125043806048356,0.0194916309017098,0.0134899071239739,0.00991316122173817,0.0183332745447403,0.0186813882768118,0.0135449658246235,0.0257148321212853
"18-24",0.0156175499298607,0.0114515017907321,0.0212665982469009,0.0139493469786538,0.00897506469195003,0.0216203981798352,0.0176332440419498,0.0113834440047987,0.0272198681628193
"25-34",0.00724983125865857,0.00543663232175798,0.00966188464563937,0.0060824014433091,0.00376717482499946,0.00980651142302523,0.00826919266486637,0.00577429710817416,0.0118292300040011
"35-44",0.00608820356127402,0.004767734790323,0.00777153272553202,0.00632055733038543,0.00433670919946738,0.00920353738962373,0.00590111374660073,0.00428832401951173,0.0081155116071685
"45-54",0.00461056396236648,0.00363329637408984,0.00584914943648157,0.00498835377589637,0.00354342898008055,0.00701833407565404,0.00429956628996896,0.00308427640927791,0.00599083623286457
"55-64",0.00309016206397668,0.0023611510352705,0.00404334474543849,0.00307421059498094,0.00204079113265302,0.00462850777875056,0.00310440372994021,0.00217707645625898,0.0044249750594232
"65-74",0.0025010553639804,0.0018582963135819,0.00336538630919868,0.00238415164425435,0.00157328331588919,0.00361142886493219,0.00264449876672333,0.00173011186727528,0.00404019530984639
"75+",0.00171703761556851,0.00102647334681422,0.00287084679705803,0.00154056733107986,0.000784425425349322,0.00302338201629539,0.00195493758452668,0.000893917626264887,0.00426993451142335
"South East",0.00387292295553977,0.00292540141777727,0.00512576384587763,0.00331382356536111,0.00223624599171325,0.00490809809683466,0.00440003105379655,0.00297806939458042,0.00649652364221354
"North East",0.00737554349511178,0.0047556360020977,0.0114222085382784,0.0071003106532934,0.00363974881326821,0.0138054801683765,0.00767810048232072,0.00434650110113709,0.013528676936333
"North West",0.00766316487743269,0.0059479676748354,0.00986805823180414,0.00672539697982852,0.0046920043159274,0.00963148168934926,0.00866632507821105,0.0060800959203751,0.0123389756085017
