areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2021-10-04,36469,6965648,36080,6910532,389,55116
nation,England,E92000001,2021-10-03,27122,6929179,26834,6874452,288,54727
nation,England,E92000001,2021-10-02,21867,6902057,21649,6847618,218,54439
nation,England,E92000001,2021-10-01,24121,6880190,23845,6825969,276,54221
nation,England,E92000001,2021-09-30,26788,6856069,26484,6802124,304,53945
nation,England,E92000001,2021-09-29,28664,6829281,28357,6775640,307,53641
nation,England,E92000001,2021-09-28,29613,6800617,29249,6747283,364,53334
nation,England,E92000001,2021-09-27,34586,6771004,34157,6718034,429,52970
nation,England,E92000001,2021-09-26,26791,6736418,26454,6683877,337,52541
nation,England,E92000001,2021-09-25,23378,6709627,23109,6657423,269,52204
nation,England,E92000001,2021-09-24,25737,6686249,25410,6634314,327,51935
nation,England,E92000001,2021-09-23,28324,6660512,27927,6608904,397,51608
nation,England,E92000001,2021-09-22,28777,6632188,28424,6580977,353,51211
nation,England,E92000001,2021-09-21,30530,6603411,30165,6552553,365,50858
nation,England,E92000001,2021-09-20,32104,6572881,31702,6522388,402,50493
nation,England,E92000001,2021-09-19,24784,6540777,24473,6490686,311,50091
nation,England,E92000001,2021-09-18,20917,6515993,20662,6466213,255,49780
nation,England,E92000001,2021-09-17,22361,6495076,22098,6445551,263,49525
nation,England,E92000001,2021-09-16,22153,6472715,21883,6423453,270,49262
nation,England,E92000001,2021-09-15,22372,6450562,22108,6401570,264,48992
nation,England,E92000001,2021-09-14,22617,6428190,22320,6379462,297,48728
nation,England,E92000001,2021-09-13,25192,6405573,24861,6357142,331,48431
nation,England,E92000001,2021-09-12,17870,6380381,17634,6332281,236,48100
nation,England,E92000001,2021-09-11,16950,6362511,16734,6314647,216,47864
nation,England,E92000001,2021-09-10,21015,6345561,20721,6297913,294,47648
nation,England,E92000001,2021-09-09,24426,6324546,24108,6277192,318,47354
nation,England,E92000001,2021-09-08,25646,6300120,25258,6253084,388,47036
nation,England,E92000001,2021-09-07,27923,6274474,27569,6227826,354,46648
nation,England,E92000001,2021-09-06,33111,6246551,32660,6200257,451,46294
nation,England,E92000001,2021-09-05,23447,6213440,23151,6167597,296,45843
nation,England,E92000001,2021-09-04,23402,6189993,23133,6144446,269,45547
nation,England,E92000001,2021-09-03,28724,6166591,28361,6121313,363,45278
nation,England,E92000001,2021-09-02,30616,6137867,30209,6092952,407,44915
nation,England,E92000001,2021-09-01,31580,6107251,31196,6062743,384,44508
nation,England,E92000001,2021-08-31,33540,6075671,33096,6031547,444,44124
nation,England,E92000001,2021-08-30,24929,6042131,24606,5998451,323,43680
nation,England,E92000001,2021-08-29,19122,6017202,18881,5973845,241,43357
nation,England,E92000001,2021-08-28,20116,5998080,19880,5954964,236,43116
nation,England,E92000001,2021-08-27,24227,5977964,23926,5935084,301,42880
nation,England,E92000001,2021-08-26,26459,5953737,26092,5911158,367,42579
nation,England,E92000001,2021-08-25,27880,5927278,27523,5885066,357,42212
nation,England,E92000001,2021-08-24,28194,5899398,27816,5857543,378,41855
nation,England,E92000001,2021-08-23,30317,5871204,29927,5829727,390,41477
nation,England,E92000001,2021-08-22,22381,5840887,22130,5799800,251,41087
nation,England,E92000001,2021-08-21,22573,5818506,22309,5777670,264,40836
nation,England,E92000001,2021-08-20,25541,5795933,25218,5755361,323,40572
nation,England,E92000001,2021-08-19,29051,5770392,28649,5730143,402,40249
nation,England,E92000001,2021-08-18,31404,5741341,30957,5701494,447,39847
nation,England,E92000001,2021-08-17,31061,5709937,30596,5670537,465,39400
nation,England,E92000001,2021-08-16,30834,5678876,30401,5639941,433,38935
nation,England,E92000001,2021-08-15,21270,5648042,21010,5609540,260,38502
nation,England,E92000001,2021-08-14,21330,5626772,21096,5588530,234,38242
nation,England,E92000001,2021-08-13,24987,5605442,24666,5567434,321,38008
nation,England,E92000001,2021-08-12,27685,5580455,27300,5542768,385,37687
nation,England,E92000001,2021-08-11,29131,5552770,28778,5515468,353,37302
nation,England,E92000001,2021-08-10,27603,5523639,27210,5486690,393,36949
nation,England,E92000001,2021-08-09,28279,5496036,27865,5459480,414,36556
nation,England,E92000001,2021-08-08,20149,5467757,19894,5431615,255,36142
nation,England,E92000001,2021-08-07,19980,5447608,19701,5411721,279,35887
nation,England,E92000001,2021-08-06,24871,5427628,24524,5392020,347,35608
nation,England,E92000001,2021-08-05,28124,5402757,27758,5367496,366,35261
nation,England,E92000001,2021-08-04,28889,5374633,28494,5339738,395,34895
nation,England,E92000001,2021-08-03,27032,5345744,26666,5311244,366,34500
nation,England,E92000001,2021-08-02,26574,5318712,26190,5284578,384,34134
nation,England,E92000001,2021-08-01,18626,5292138,18383,5258388,243,33750
nation,England,E92000001,2021-07-31,18449,5273512,18176,5240005,273,33507
nation,England,E92000001,2021-07-30,22107,5255063,21788,5221829,319,33234
nation,England,E92000001,2021-07-29,25354,5232956,25006,5200041,348,32915
nation,England,E92000001,2021-07-28,26922,5207602,26563,5175035,359,32567
nation,England,E92000001,2021-07-27,26019,5180680,25643,5148472,376,32208
nation,England,E92000001,2021-07-26,26533,5154661,26167,5122829,366,31832
nation,England,E92000001,2021-07-25,19638,5128128,19389,5096662,249,31466
nation,England,E92000001,2021-07-24,20266,5108490,20004,5077273,262,31217
nation,England,E92000001,2021-07-23,24529,5088224,24225,5057269,304,30955
nation,England,E92000001,2021-07-22,27708,5063695,27378,5033044,330,30651
nation,England,E92000001,2021-07-21,31661,5035987,31279,5005666,382,30321
nation,England,E92000001,2021-07-20,35937,5004326,35407,4974387,530,29939
nation,England,E92000001,2021-07-19,43377,4968389,42797,4938980,580,29409
nation,England,E92000001,2021-07-18,33158,4925012,32758,4896183,400,28829
nation,England,E92000001,2021-07-17,35274,4891854,34898,4863425,376,28429
nation,England,E92000001,2021-07-16,51129,4856580,50509,4828527,620,28053
nation,England,E92000001,2021-07-15,57574,4805451,56818,4778018,756,27433
nation,England,E92000001,2021-07-14,50318,4747877,49652,4721200,666,26677
nation,England,E92000001,2021-07-13,43230,4697559,42643,4671548,587,26011
nation,England,E92000001,2021-07-12,40471,4654329,39954,4628905,517,25424
nation,England,E92000001,2021-07-11,27418,4613858,27133,4588951,285,24907
nation,England,E92000001,2021-07-10,25404,4586440,25111,4561818,293,24622
nation,England,E92000001,2021-07-09,29041,4561036,28684,4536707,357,24329
nation,England,E92000001,2021-07-08,29908,4531995,29524,4508023,384,23972
nation,England,E92000001,2021-07-07,34270,4502087,33810,4478499,460,23588
nation,England,E92000001,2021-07-06,31610,4467817,31186,4444689,424,23128
nation,England,E92000001,2021-07-05,30194,4436207,29741,4413503,453,22704
nation,England,E92000001,2021-07-04,21794,4406013,21516,4383762,278,22251
nation,England,E92000001,2021-07-03,20664,4384219,20392,4362246,272,21973
nation,England,E92000001,2021-07-02,22272,4363555,21945,4341854,327,21701
nation,England,E92000001,2021-07-01,24262,4341283,23834,4319909,428,21374
nation,England,E92000001,2021-06-30,23942,4317021,23592,4296075,350,20946
nation,England,E92000001,2021-06-29,23236,4293079,22865,4272483,371,20596
nation,England,E92000001,2021-06-28,23511,4269843,23083,4249618,428,20225
nation,England,E92000001,2021-06-27,15408,4246332,15152,4226535,256,19797
nation,England,E92000001,2021-06-26,13485,4230924,13271,4211383,214,19541
nation,England,E92000001,2021-06-25,14901,4217439,14624,4198112,277,19327
nation,England,E92000001,2021-06-24,15081,4202538,14813,4183488,268,19050
nation,England,E92000001,2021-06-23,14803,4187457,14523,4168675,280,18782
nation,England,E92000001,2021-06-22,13564,4172654,13317,4154152,247,18502
nation,England,E92000001,2021-06-21,12710,4159090,12489,4140835,221,18255
nation,England,E92000001,2021-06-20,8202,4146380,8064,4128346,138,18034
nation,England,E92000001,2021-06-19,7125,4138178,6988,4120282,137,17896
nation,England,E92000001,2021-06-18,8772,4131053,8566,4113294,206,17759
nation,England,E92000001,2021-06-17,9520,4122281,9292,4104728,228,17553
nation,England,E92000001,2021-06-16,9411,4112761,9241,4095436,170,17325
nation,England,E92000001,2021-06-15,9147,4103350,8928,4086195,219,17155
nation,England,E92000001,2021-06-14,8942,4094203,8768,4077267,174,16936
nation,England,E92000001,2021-06-13,6075,4085261,5959,4068499,116,16762
nation,England,E92000001,2021-06-12,5421,4079186,5309,4062540,112,16646
nation,England,E92000001,2021-06-11,6509,4073765,6375,4057231,134,16534
nation,England,E92000001,2021-06-10,6718,4067256,6583,4050856,135,16400
nation,England,E92000001,2021-06-09,6915,4060538,6790,4044273,125,16265
nation,England,E92000001,2021-06-08,6632,4053623,6480,4037483,152,16140
nation,England,E92000001,2021-06-07,6791,4046991,6650,4031003,141,15988
nation,England,E92000001,2021-06-06,4728,4040200,4639,4024353,89,15847
nation,England,E92000001,2021-06-05,3963,4035472,3908,4019714,55,15758
nation,England,E92000001,2021-06-04,4883,4031509,4795,4015806,88,15703
nation,England,E92000001,2021-06-03,5130,4026626,5018,4011011,112,15615
nation,England,E92000001,2021-06-02,5036,4021496,4947,4005993,89,15503
nation,England,E92000001,2021-06-01,4517,4016460,4393,4001046,124,15414
nation,England,E92000001,2021-05-31,3172,4011943,3089,3996653,83,15290
nation,England,E92000001,2021-05-30,2597,4008771,2550,3993564,47,15207
nation,England,E92000001,2021-05-29,2462,4006174,2420,3991014,42,15160
nation,England,E92000001,2021-05-28,2930,4003712,2854,3988594,76,15118
nation,England,E92000001,2021-05-27,3076,4000782,2989,3985740,87,15042
nation,England,E92000001,2021-05-26,3178,3997706,3098,3982751,80,14955
nation,England,E92000001,2021-05-25,2798,3994528,2712,3979653,86,14875
nation,England,E92000001,2021-05-24,2749,3991730,2658,3976941,91,14789
nation,England,E92000001,2021-05-23,1919,3988981,1863,3974283,56,14698
nation,England,E92000001,2021-05-22,1606,3987062,1555,3972420,51,14642
nation,England,E92000001,2021-05-21,1871,3985456,1820,3970865,51,14591
nation,England,E92000001,2021-05-20,1999,3983585,1933,3969045,66,14540
nation,England,E92000001,2021-05-19,2260,3981586,2193,3967112,67,14474
nation,England,E92000001,2021-05-18,2241,3979326,2165,3964919,76,14407
nation,England,E92000001,2021-05-17,2341,3977085,2264,3962754,77,14331
nation,England,E92000001,2021-05-16,1584,3974744,1540,3960490,44,14254
nation,England,E92000001,2021-05-15,1304,3973160,1269,3958950,35,14210
nation,England,E92000001,2021-05-14,1539,3971856,1482,3957681,57,14175
nation,England,E92000001,2021-05-13,1738,3970317,1680,3956199,58,14118
nation,England,E92000001,2021-05-12,1869,3968579,1796,3954519,73,14060
nation,England,E92000001,2021-05-11,1873,3966710,1805,3952723,68,13987
nation,England,E92000001,2021-05-10,2325,3964837,2259,3950918,66,13919
nation,England,E92000001,2021-05-09,1984,3962512,1914,3948659,70,13853
nation,England,E92000001,2021-05-08,1299,3960528,1257,3946745,42,13783
nation,England,E92000001,2021-05-07,1657,3959229,1598,3945488,59,13741
nation,England,E92000001,2021-05-06,1965,3957572,1883,3943890,82,13682
nation,England,E92000001,2021-05-05,2202,3955607,2107,3942007,95,13600
nation,England,E92000001,2021-05-04,2197,3953405,2118,3939900,79,13505
nation,England,E92000001,2021-05-03,1806,3951208,1752,3937782,54,13426
nation,England,E92000001,2021-05-02,1302,3949402,1254,3936030,48,13372
nation,England,E92000001,2021-05-01,1209,3948100,1166,3934776,43,13324
nation,England,E92000001,2021-04-30,1528,3946891,1457,3933610,71,13281
nation,England,E92000001,2021-04-29,1900,3945363,1818,3932153,82,13210
nation,England,E92000001,2021-04-28,2152,3943463,2079,3930335,73,13128
nation,England,E92000001,2021-04-27,1808,3941311,1749,3928256,59,13055
nation,England,E92000001,2021-04-26,2270,3939503,2165,3926507,105,12996
nation,England,E92000001,2021-04-25,1897,3937233,1829,3924342,68,12891
nation,England,E92000001,2021-04-24,1300,3935336,1255,3922513,45,12823
nation,England,E92000001,2021-04-23,1703,3934036,1626,3921258,77,12778
nation,England,E92000001,2021-04-22,2032,3932333,1944,3919632,88,12701
nation,England,E92000001,2021-04-21,2299,3930301,2215,3917688,84,12613
nation,England,E92000001,2021-04-20,2115,3928002,2007,3915473,108,12529
nation,England,E92000001,2021-04-19,2267,3925887,2182,3913466,85,12421
nation,England,E92000001,2021-04-18,2283,3923620,2215,3911284,68,12336
nation,England,E92000001,2021-04-17,1397,3921337,1360,3909069,37,12268
nation,England,E92000001,2021-04-16,1963,3919940,1902,3907709,61,12231
nation,England,E92000001,2021-04-15,1956,3917977,1881,3905807,75,12170
nation,England,E92000001,2021-04-14,2068,3916021,2009,3903926,59,12095
nation,England,E92000001,2021-04-13,2062,3913953,1982,3901917,80,12036
nation,England,E92000001,2021-04-12,2398,3911891,2314,3899935,84,11956
nation,England,E92000001,2021-04-11,2020,3909493,1983,3897621,37,11872
nation,England,E92000001,2021-04-10,2008,3907473,1972,3895638,36,11835
nation,England,E92000001,2021-04-09,2482,3905465,2419,3893666,63,11799
nation,England,E92000001,2021-04-08,2653,3902983,2572,3891247,81,11736
nation,England,E92000001,2021-04-07,2752,3900330,2688,3888675,64,11655
nation,England,E92000001,2021-04-06,2756,3897578,2681,3885987,75,11591
nation,England,E92000001,2021-04-05,2315,3894822,2269,3883306,46,11516
nation,England,E92000001,2021-04-04,2040,3892507,2003,3881037,37,11470
nation,England,E92000001,2021-04-03,2118,3890467,2093,3879034,25,11433
nation,England,E92000001,2021-04-02,2248,3888349,2212,3876941,36,11408
nation,England,E92000001,2021-04-01,3071,3886101,3017,3874729,54,11372
nation,England,E92000001,2021-03-31,3342,3883030,3285,3871712,57,11318
nation,England,E92000001,2021-03-30,3134,3879688,3078,3868427,56,11261
nation,England,E92000001,2021-03-29,3423,3876554,3362,3865349,61,11205
nation,England,E92000001,2021-03-28,4476,3873131,4413,3861987,63,11144
nation,England,E92000001,2021-03-27,3134,3868655,3094,3857574,40,11081
nation,England,E92000001,2021-03-26,3802,3865521,3755,3854480,47,11041
nation,England,E92000001,2021-03-25,4672,3861719,4607,3850725,65,10994
nation,England,E92000001,2021-03-24,5322,3857047,5253,3846118,69,10929
nation,England,E92000001,2021-03-23,4565,3851725,4505,3840865,60,10860
nation,England,E92000001,2021-03-22,5400,3847160,5342,3836360,58,10800
nation,England,E92000001,2021-03-21,4675,3841760,4627,3831018,48,10742
nation,England,E92000001,2021-03-20,3510,3837085,3481,3826391,29,10694
nation,England,E92000001,2021-03-19,4329,3833575,4274,3822910,55,10665
nation,England,E92000001,2021-03-18,4680,3829246,4647,3818636,33,10610
nation,England,E92000001,2021-03-17,5047,3824566,4999,3813989,48,10577
nation,England,E92000001,2021-03-16,4921,3819519,4877,3808990,44,10529
nation,England,E92000001,2021-03-15,5639,3814598,5584,3804113,55,10485
nation,England,E92000001,2021-03-14,3707,3808959,3676,3798529,31,10430
nation,England,E92000001,2021-03-13,3589,3805252,3562,3794853,27,10399
nation,England,E92000001,2021-03-12,4766,3801663,4729,3791291,37,10372
nation,England,E92000001,2021-03-11,4849,3796897,4810,3786562,39,10335
nation,England,E92000001,2021-03-10,5223,3792048,5165,3781752,58,10296
nation,England,E92000001,2021-03-09,5488,3786825,5408,3776587,80,10238
nation,England,E92000001,2021-03-08,5825,3781337,5742,3771179,83,10158
nation,England,E92000001,2021-03-07,3676,3775512,3645,3765437,31,10075
nation,England,E92000001,2021-03-06,3833,3771836,3810,3761792,23,10044
nation,England,E92000001,2021-03-05,4727,3768003,4677,3757982,50,10021
nation,England,E92000001,2021-03-04,5013,3763276,4958,3753305,55,9971
nation,England,E92000001,2021-03-03,5305,3758263,5251,3748347,54,9916
nation,England,E92000001,2021-03-02,5950,3752958,5855,3743096,95,9862
nation,England,E92000001,2021-03-01,6215,3747008,6086,3737241,129,9767
nation,England,E92000001,2021-02-28,4113,3740793,4080,3731155,33,9638
nation,England,E92000001,2021-02-27,4255,3736680,4229,3727075,26,9605
nation,England,E92000001,2021-02-26,5886,3732425,5833,3722846,53,9579
nation,England,E92000001,2021-02-25,6933,3726539,6831,3717013,102,9526
nation,England,E92000001,2021-02-24,7620,3719606,7525,3710182,95,9424
nation,England,E92000001,2021-02-23,8533,3711986,8424,3702657,109,9329
nation,England,E92000001,2021-02-22,10275,3703453,10118,3694233,157,9220
nation,England,E92000001,2021-02-21,7034,3693178,6984,3684115,50,9063
nation,England,E92000001,2021-02-20,7157,3686144,7109,3677131,48,9013
nation,England,E92000001,2021-02-19,9248,3678987,9140,3670022,108,8965
nation,England,E92000001,2021-02-18,10299,3669739,10203,3660882,96,8857
nation,England,E92000001,2021-02-17,10421,3659440,10318,3650679,103,8761
nation,England,E92000001,2021-02-16,11263,3649019,11162,3640361,101,8658
nation,England,E92000001,2021-02-15,12953,3637756,12804,3629199,149,8557
nation,England,E92000001,2021-02-14,7781,3624803,7743,3616395,38,8408
nation,England,E92000001,2021-02-13,8016,3617022,7977,3608652,39,8370
nation,England,E92000001,2021-02-12,10986,3609006,10891,3600675,95,8331
nation,England,E92000001,2021-02-11,11636,3598020,11566,3589784,70,8236
nation,England,E92000001,2021-02-10,12270,3586384,12170,3578218,100,8166
nation,England,E92000001,2021-02-09,12695,3574114,12590,3566048,105,8066
nation,England,E92000001,2021-02-08,14366,3561419,14263,3553458,103,7961
nation,England,E92000001,2021-02-07,10457,3547053,10420,3539195,37,7858
nation,England,E92000001,2021-02-06,10958,3536596,10915,3528775,43,7821
nation,England,E92000001,2021-02-05,14459,3525638,14371,3517860,88,7778
nation,England,E92000001,2021-02-04,16719,3511179,16630,3503489,89,7690
nation,England,E92000001,2021-02-03,17947,3494460,17851,3486859,96,7601
nation,England,E92000001,2021-02-02,18197,3476513,18101,3469008,96,7505
nation,England,E92000001,2021-02-01,20761,3458316,20668,3450907,93,7409
nation,England,E92000001,2021-01-31,14136,3437555,14088,3430239,48,7316
nation,England,E92000001,2021-01-30,15514,3423419,15454,3416151,60,7268
nation,England,E92000001,2021-01-29,20363,3407905,20277,3400697,86,7208
nation,England,E92000001,2021-01-28,22521,3387542,22425,3380420,96,7122
nation,England,E92000001,2021-01-27,23897,3365021,23805,3357995,92,7026
nation,England,E92000001,2021-01-26,25207,3341124,25082,3334190,125,6934
nation,England,E92000001,2021-01-25,27968,3315917,27847,3309108,121,6809
nation,England,E92000001,2021-01-24,15875,3287949,15842,3281261,33,6688
nation,England,E92000001,2021-01-23,20424,3272074,20362,3265419,62,6655
nation,England,E92000001,2021-01-22,27733,3251650,27634,3245057,99,6593
nation,England,E92000001,2021-01-21,29629,3223917,29516,3217423,113,6494
nation,England,E92000001,2021-01-20,32678,3194288,32545,3187907,133,6381
