"Variable","Category","Positive_r12","Total_r12","Prevalence_r12","Lower_r12","Upper_r12","Positive_r13","Total_r13","Prevalence_r13","Lower_r13","Upper_r13","Positive_r13a","Total_r13a","Prevalence_r13a","Lower_r13a","Upper_r13a","Positive_r13b","Total_r13b","Prevalence_r13b","Lower_r13b","Upper_r13b"
"gender_char","Male",55,48190,0.001141,0.00086,0.001485,252,43272,0.005824,0.005128,0.006586,126,21777,0.005786,0.004822,0.006885,126,21495,0.005862,0.004885,0.006975
"gender_char","Female",80,60718,0.001318,0.001045,0.00164,275,54957,0.005004,0.004431,0.00563,121,26987,0.004484,0.003722,0.005355,154,27970,0.005506,0.004673,0.006444
"gender_char","NA",0,3,0,0,0.707598,0,4,0,0,0.602365,0,2,0,0,0.841886,0,2,0,0,0.841886
"age_group_char2","5-12",26,7598,0.003422,0.002237,0.00501,70,6994,0.010009,0.00781,0.012629,30,3191,0.009401,0.006352,0.013394,40,3803,0.010518,0.007525,0.014295
"age_group_char2","13-17",10,5906,0.001693,0.000812,0.003112,86,5423,0.015858,0.012704,0.019548,45,3190,0.014107,0.010308,0.018831,41,2233,0.018361,0.013208,0.024827
"age_group_char2","18-24",12,4044,0.002967,0.001534,0.005178,47,3117,0.015079,0.0111,0.020001,24,1703,0.014093,0.00905,0.020897,23,1414,0.016266,0.010338,0.024307
"age_group_char2","25-34",11,9059,0.001214,0.000606,0.002172,54,7888,0.006846,0.005147,0.008923,21,3656,0.005744,0.003559,0.008767,33,4232,0.007798,0.005374,0.010934
"age_group_char2","35-44",16,12592,0.001271,0.000726,0.002063,73,11876,0.006147,0.004821,0.007723,31,5269,0.005883,0.004001,0.008341,42,6607,0.006357,0.004585,0.008583
"age_group_char2","45-54",23,17564,0.001309,0.00083,0.001964,74,15776,0.004691,0.003685,0.005885,36,7142,0.005041,0.003533,0.006972,38,8634,0.004401,0.003116,0.006036
"age_group_char2","55-64",16,21156,0.000756,0.000432,0.001228,59,18800,0.003138,0.00239,0.004046,26,8828,0.002945,0.001925,0.004312,33,9972,0.003309,0.002279,0.004644
"age_group_char2","65-74",15,20647,0.000726,0.000407,0.001198,48,18836,0.002548,0.00188,0.003377,25,10310,0.002425,0.00157,0.003577,23,8526,0.002698,0.001711,0.004045
"age_group_char2","75+",6,10345,0.00058,0.000213,0.001262,16,9523,0.00168,0.000961,0.002727,9,5477,0.001643,0.000752,0.003117,7,4046,0.00173,0.000696,0.003561
"region","South East",21,18855,0.001114,0.00069,0.001702,61,17427,0.0035,0.002678,0.004494,28,8527,0.003284,0.002183,0.004742,33,8900,0.003708,0.002554,0.005203
"region","North East",6,5018,0.001196,0.000439,0.002601,27,4500,0.006,0.003958,0.008718,13,2350,0.005532,0.002949,0.009441,14,2150,0.006512,0.003564,0.010901
"region","North West",22,13229,0.001663,0.001042,0.002517,81,11814,0.006856,0.005448,0.008515,39,6073,0.006422,0.00457,0.008769,42,5741,0.007316,0.005278,0.009876
"region","Yorkshire and The Humber",16,10538,0.001518,0.000868,0.002464,70,9550,0.00733,0.005718,0.009252,31,4942,0.006273,0.004266,0.008892,39,4608,0.008464,0.006025,0.011552
"region","East Midlands",12,9145,0.001312,0.000678,0.002291,47,8425,0.005579,0.004102,0.007412,19,4308,0.00441,0.002657,0.006879,28,4117,0.006801,0.004524,0.009815
"region","West Midlands",12,10993,0.001092,0.000564,0.001906,49,9842,0.004979,0.003685,0.006577,19,4895,0.003882,0.002338,0.006055,30,4947,0.006064,0.004095,0.008646
"region","East of England",17,12388,0.001372,8e-04,0.002196,42,11210,0.003747,0.002702,0.005061,22,5581,0.003942,0.002472,0.005962,20,5629,0.003553,0.002172,0.005482
"region","London",22,16966,0.001297,0.000813,0.001963,111,14598,0.007604,0.006259,0.00915,59,6624,0.008907,0.006787,0.011475,52,7974,0.006521,0.004874,0.008543
"region","South West",7,11779,0.000594,0.000239,0.001224,39,10867,0.003589,0.002553,0.004903,17,5466,0.00311,0.001813,0.004975,22,5401,0.004073,0.002554,0.006161
