level,prevalence_9,lower_9,upper_9,prevalence_9a,lower_9a,upper_9a,prevalence_9b,lower_9b,upper_9b
Male,0.005020312,0.004297641,0.005863788,0.005419868,0.004415683,0.006650892,0.004607745,0.003632248,0.005843689
Female,0.004891657,0.004268088,0.005605816,0.004806973,0.003998519,0.005777938,0.004980107,0.004072415,0.006088876
NA,5.66E-11,NA,NA,1.58E-10,NA,NA,5.62E-11,NA,NA
05-Dec,0.007179087,0.005442135,0.00946514,0.008598993,0.006007661,0.01229424,0.005875362,0.003801208,0.009070987
13-17,0.005738771,0.003779513,0.00870481,0.004867603,0.003127801,0.007567803,0.007078006,0.003442509,0.014496956
18-24,0.007114077,0.004527915,0.011160789,0.008545783,0.004524418,0.016083643,0.005704435,0.003103996,0.010460588
25-34,0.004586444,0.003446973,0.006100284,0.004868653,0.003206411,0.007386237,0.004350997,0.002942024,0.006430391
35-44,0.005708012,0.004249774,0.00766277,0.004724836,0.003222833,0.006921988,0.00649487,0.004309643,0.009777247
45-54,0.00503116,0.00409278,0.006183352,0.00498296,0.003747567,0.006622896,0.005071982,0.00377742,0.006807173
55-64,0.004912158,0.004001279,0.006029141,0.005362743,0.004168915,0.006896073,0.004431604,0.00315557,0.006220412
65+,0.002633179,0.002072287,0.003345376,0.003003622,0.002238012,0.004030084,0.002084481,0.001381148,0.003144851
South East,0.0035796,0.002896807,0.004422615,0.003274517,0.002442871,0.00438804,0.003904214,0.002882446,0.005286257
North East,0.006939782,0.004899481,0.009821345,0.008018643,0.005184247,0.012383404,0.005778235,0.003251268,0.01024903
North West,0.006908628,0.005415694,0.008809471,0.008881714,0.006615522,0.011914894,0.00475118,0.003082285,0.007317063
Yorkshire and The Humber,0.005989223,0.003713542,0.009645953,0.00602668,0.0031336,0.011559807,0.005948552,0.002953232,0.011945481
East Midlands,0.005859289,0.004465682,0.007684442,0.005047221,0.003814835,0.006675064,0.006855666,0.004369598,0.010740914
West Midlands,0.003605132,0.002520797,0.005153489,0.003364333,0.002202601,0.005135649,0.003864289,0.002189477,0.006811483
East of England,0.004664523,0.003643203,0.005970438,0.005321069,0.003818716,0.007410079,0.004036058,0.002787329,0.005840945
London,0.006027771,0.004792466,0.007579064,0.005340703,0.003683411,0.007737876,0.006550408,0.004892233,0.008765655
South West,0.002319594,0.001497176,0.003592151,0.002671455,0.001507787,0.004728959,0.001890807,0.000965493,0.003699641
HCW/CHW,0.007264476,0.004868631,0.010826486,0.009021867,0.006083645,0.013360088,0.006139737,0.003096616,0.012136998
Key worker (other),0.005681929,0.004610778,0.007000174,0.006471839,0.004929795,0.008492119,0.005062139,0.00368623,0.006948032
Other worker,0.004746905,0.003991033,0.005645121,0.005212076,0.004014167,0.006765038,0.004345948,0.003463186,0.005452494
"Not FT, PT, SE",0.004342551,0.003601198,0.00523572,0.004032107,0.003176138,0.005117576,0.004848518,0.003592857,0.006540138
NA,0.005502833,0.003286158,0.00920096,0.005826563,0.003137984,0.010793737,0.005261978,0.002387607,0.011556633
White,0.004493508,0.004056613,0.004977221,0.004907915,0.004314143,0.005582951,0.00402851,0.00341237,0.004755371
Asian / Asian British,0.009493216,0.00640454,0.014050384,0.011786069,0.005867581,0.023533076,0.008168898,0.005329387,0.012502293
Black / African / Caribbean / Black British,0.007914247,0.003906561,0.015967454,0.000565466,7.91E-05,0.004029488,0.011083814,0.005398851,0.022618878
Mixed,0.003879936,0.001674771,0.008962563,0.000846706,0.000179224,0.003990155,0.006472705,0.002585475,0.016109937
Other,0.005761248,0.001860781,0.017692734,0.003069296,0.000756698,0.012362148,0.007590829,0.001890021,0.029970479
NA,0.005353353,0.00304288,0.009401635,0.004881087,0.002105827,0.011272533,0.005758759,0.0026885,0.012292032
1,0.003137764,0.002358877,0.004172759,0.002746787,0.001777488,0.004242418,0.003506827,0.002403005,0.00511509
2,0.003174534,0.002661904,0.003785511,0.003302001,0.002645318,0.004121026,0.00301804,0.002268033,0.004015066
3,0.0051637,0.004157656,0.006411612,0.006052827,0.004660347,0.007858085,0.004309473,0.002985486,0.006216953
4,0.005571889,0.004640029,0.006689638,0.006157182,0.004807542,0.00788271,0.005003778,0.003811718,0.006566182
5,0.008376648,0.006241071,0.011234718,0.007635701,0.005207319,0.011183804,0.00906759,0.005891111,0.013932818
6,0.014112869,0.008785621,0.022596706,0.014418941,0.00687783,0.029978818,0.013840287,0.007560953,0.025202149
No,0.00285683,0.002491223,0.003275917,0.002652158,0.002245064,0.003132837,0.003110822,0.002497195,0.003874647
"Yes, contact with confirmed/tested COVID-19 case",0.094065043,0.078513002,0.112322169,0.098473932,0.078314751,0.1231291,0.089007757,0.066472928,0.118214659
"Yes, contact with suspected COVID-19 case",0.030698145,0.010162914,0.088996274,0.055988179,0.017274995,0.166737645,0.00425234,0.001314316,0.013668146
NA,0.005212942,0.004120292,0.006593431,0.007887096,0.005389702,0.011528279,0.004206735,0.003122274,0.005665723
Classic COVID symptoms,0.048856415,0.040232556,0.059214752,0.047803218,0.037057217,0.061466477,0.050121888,0.037175053,0.067262682
Other symptoms,0.007367636,0.005634364,0.009628942,0.008165001,0.005571649,0.011950936,0.006399229,0.004546682,0.008999772
No symptoms,0.002633574,0.002241664,0.00309379,0.002488093,0.002050181,0.003019258,0.002814487,0.002164582,0.003658807
NA,0.005037359,0.003969484,0.006390671,0.007894336,0.0053824,0.011564947,0.003967579,0.002931932,0.005367079
1,0.008504652,0.006638862,0.010889056,0.008617651,0.006039262,0.012283248,0.008402818,0.005948285,0.01185812
2,0.005928083,0.004866317,0.007219832,0.006124514,0.004660782,0.008044222,0.005746826,0.00432101,0.007639513
3,0.00340312,0.002767236,0.004184511,0.003824766,0.002983643,0.004901844,0.002972002,0.002093021,0.004218558
4,0.003798267,0.003169293,0.004551496,0.004100186,0.003222195,0.005216161,0.003462333,0.002631987,0.004553442
5,0.0035687,0.002982534,0.004269574,0.003666683,0.00286145,0.004697448,0.003451235,0.002665502,0.004467547
