Variable,Category,total,Number with 1 or more symptoms (weighted),Number with 2 or more symptoms (weighted),Number with 3 or more symptoms (weighted),Prevalence 1 or more symptoms (weighted),Prevalence 2 or more symptoms (weighted),Prevalence 3 or more symptoms (weighted)
dummy,All participants,508707,27039,17167,10970,5.43 [5.37-5.5],3.41 [3.36-3.46],2.17 [2.13-2.21]
Sex,Female,284840,17054,11175,7337,6.21 [6.12-6.31],4.06 [3.98-4.13],2.68 [2.62-2.74]
Sex,Male,223861,9985,5992,3633,4.62 [4.54-4.7],2.73 [2.67-2.79],1.64 [1.6-1.7]
Age group,18-24,28655,1465,857,511,5.41 [5.22-5.6],3.08 [2.94-3.23],1.83 [1.72-1.94]
Age group,25-34,65159,3564,2011,1182,5.68 [5.52-5.83],3.16 [3.05-3.28],1.82 [1.74-1.91]
Age group,35-44,85044,4885,2941,1761,5.78 [5.63-5.95],3.47 [3.34-3.59],2.08 [1.98-2.18]
Age group,45-54,103478,6462,4163,2667,6.42 [6.26-6.58],4.15 [4.02-4.29],2.67 [2.57-2.78]
Age group,55-64,105361,6055,4037,2654,5.94 [5.78-6.11],4.01 [3.87-4.15],2.68 [2.56-2.79]
Age group,65-74,85297,3436,2314,1588,4.35 [4.2-4.51],2.95 [2.82-3.08],2.04 [1.93-2.15]
Age group,74+,35713,1172,844,607,3.48 [3.33-3.64],2.53 [2.4-2.66],1.89 [1.77-2]
Ethnicity,Asian,17666,764,467,271,4.78 [4.56-5.01],2.73 [2.56-2.9],1.57 [1.45-1.7]
Ethnicity,Black,4091,261,133,82,6.23 [5.84-6.66],3.29 [3-3.61],1.97 [1.75-2.22]
Ethnicity,Mixed,6112,457,301,199,7.25 [6.61-7.95],4.59 [4.07-5.16],3.03 [2.61-3.51]
Ethnicity,Other,4434,286,180,119,6.42 [5.8-7.1],4.08 [3.59-4.63],2.77 [2.37-3.24]
Ethnicity,White,472750,25044,15938,10198,5.42 [5.35-5.49],3.44 [3.39-3.49],2.21 [2.17-2.25]
BMI,Normal weight,183305,8299,5061,3090,4.69 [4.6-4.79],2.82 [2.74-2.9],1.71 [1.65-1.77]
BMI,Obese,97597,6774,4545,3059,6.97 [6.81-7.13],4.54 [4.41-4.68],3.08 [2.98-3.2]
BMI,Overweight,161456,8385,5233,3303,5.39 [5.28-5.51],3.36 [3.27-3.45],2.13 [2.06-2.2]
BMI,Underweight,6273,316,210,143,5.66 [5.16-6.19],3.57 [3.18-4.01],2.09 [1.79-2.43]
Healthcare or care home worker,No,292531,15957,9647,5805,5.56 [5.48-5.65],3.31 [3.25-3.38],1.96 [1.91-2.02]
Healthcare or care home worker,Yes,27690,2142,1413,901,7.84 [7.53-8.16],5 [4.74-5.26],3.15 [2.95-3.36]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3306,2221,1509,6.49 [6.34-6.65],4.25 [4.12-4.37],2.84 [2.74-2.94]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3306,2221,1509,6.49 [6.34-6.65],4.25 [4.12-4.37],2.84 [2.74-2.94]
Index of multiple deprivation (IMD) quintile,2,80894,4797,3112,2071,5.9 [5.76-6.05],3.68 [3.56-3.79],2.42 [2.33-2.51]
Index of multiple deprivation (IMD) quintile,2,80894,4797,3112,2071,5.9 [5.76-6.05],3.68 [3.56-3.79],2.42 [2.33-2.51]
Index of multiple deprivation (IMD) quintile,3,109928,5960,3808,2452,5.23 [5.1-5.37],3.28 [3.18-3.39],2.07 [1.98-2.15]
Index of multiple deprivation (IMD) quintile,3,109928,5960,3808,2452,5.23 [5.1-5.37],3.28 [3.18-3.39],2.07 [1.98-2.15]
Index of multiple deprivation (IMD) quintile,4,126237,6315,3949,2483,4.92 [4.79-5.06],3.03 [2.92-3.13],1.88 [1.8-1.96]
Index of multiple deprivation (IMD) quintile,4,126237,6315,3949,2483,4.92 [4.79-5.06],3.03 [2.92-3.13],1.88 [1.8-1.96]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,6661,4077,2455,4.62 [4.49-4.75],2.82 [2.71-2.92],1.67 [1.6-1.76]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,6661,4077,2455,4.62 [4.49-4.75],2.82 [2.71-2.92],1.67 [1.6-1.76]
Current smoker,Current cigarette smoker,50983,3414,2310,1589,6.79 [6.59-7],4.49 [4.33-4.67],3.07 [2.93-3.21]
Current smoker,Not current cigarette smoker,453681,23386,14709,9281,5.26 [5.19-5.32],3.27 [3.21-3.32],2.06 [2.02-2.1]
Current smoker,Prefer not to say,4043,239,148,100,5.9 [5.25-6.63],3.9 [3.38-4.51],2.4 [1.99-2.88]
Current vaper,Current vaper,28436,1911,1240,820,6.96 [6.68-7.25],4.46 [4.23-4.69],2.89 [2.71-3.09]
Current vaper,Not current vaper,477729,24989,15834,10083,5.33 [5.27-5.4],3.34 [3.29-3.39],2.13 [2.09-2.17]
Current vaper,Prefer not to say,2542,139,93,67,5.54 [4.77-6.44],3.92 [3.27-4.69],2.43 [1.92-3.05]
Severity of COVID symptoms,Mild symptoms,27572,5169,2670,1338,17.67 [17.25-18.1],9 [8.69-9.32],4.44 [4.21-4.67]
Severity of COVID symptoms,Moderate symptoms,45357,13653,8482,5294,29.43 [29.02-29.84],17.99 [17.64-18.34],11.29 [11.01-11.58]
Severity of COVID symptoms,No symptoms,416589,0,0,0,0 [0-0],0 [0-0],0 [0-0]
Severity of COVID symptoms,Severe symptoms,19187,8217,6015,4338,41.96 [41.27-42.65],30.69 [30.05-31.33],22.05 [21.47-22.63]
Treatment sought/ received for COVID,Hospital admission,739,387,308,235,50.66 [47.28-54.03],40.17 [36.9-43.52],30.27 [27.26-33.47]
Treatment sought/ received for COVID,No medical attention sought,58330,14266,8235,4817,23.4 [23.06-23.73],13.32 [13.05-13.59],7.8 [7.59-8.01]
Treatment sought/ received for COVID,Sought medical attention from pharmacist / by phone (NHS 111/GP),21388,8228,5777,4033,37.16 [36.54-37.78],25.62 [25.06-26.18],17.94 [17.45-18.43]
