"Variable","Category","Positive_r9","Total_r9","Prevalence_r9","Lower_r9","Upper_r9","Positive_r10","Total_r10","Prevalence_r10","Lower_r10","Upper_r10","Positive_r11","Total_r11","Prevalence_r11","Lower_r11","Upper_r11"
"gender_char","Male",315,75027,0.004198,0.003748,0.004688,108,63077,0.001712,0.001405,0.002067,52,56550,0.00092,0.000687,0.001206
"gender_char","Female",374,90425,0.004136,0.003728,0.004576,119,77765,0.00153,0.001268,0.001831,63,70855,0.000889,0.000683,0.001137
"gender_char","NA",0,4,0,0,0.602365,0,2,0,0,0.841886,0,3,0,0,0.707598
"age_group_char2","5-12",81,13605,0.005954,0.004731,0.007395,33,10750,0.00307,0.002114,0.004308,12,8551,0.001403,0.000725,0.00245
"age_group_char2","13-17",45,10155,0.004431,0.003234,0.005925,14,7891,0.001774,0.00097,0.002975,8,6722,0.00119,0.000514,0.002344
"age_group_char2","18-24",40,6788,0.005893,0.004213,0.008016,13,5799,0.002242,0.001194,0.00383,4,4640,0.000862,0.000235,0.002206
"age_group_char2","25-34",68,14801,0.004594,0.003569,0.005821,21,12203,0.001721,0.001066,0.002629,17,10238,0.00166,0.000968,0.002657
"age_group_char2","35-44",94,21088,0.004458,0.003604,0.005452,35,17339,0.002019,0.001406,0.002806,14,14894,0.00094,0.000514,0.001577
"age_group_char2","45-54",132,27595,0.004783,0.004004,0.00567,37,22258,0.001662,0.001171,0.002291,16,19668,0.000814,0.000465,0.001321
"age_group_char2","55-64",135,31727,0.004255,0.003569,0.005034,39,25811,0.001511,0.001075,0.002065,18,25330,0.000711,0.000421,0.001123
"age_group_char2","65-74",63,26589,0.002369,0.001821,0.00303,21,25874,0.000812,0.000502,0.00124,19,24680,0.00077,0.000464,0.001202
"age_group_char2","75+",31,13108,0.002365,0.001607,0.003355,14,12919,0.001084,0.000593,0.001818,7,12685,0.000552,0.000222,0.001137
"region","South East",119,36642,0.003248,0.002691,0.003885,18,31128,0.000578,0.000343,0.000914,26,28262,0.00092,0.000601,0.001348
"region","North East",41,5836,0.007025,0.005046,0.009519,16,4935,0.003242,0.001854,0.00526,6,4654,0.001289,0.000473,0.002804
"region","North West",112,19402,0.005773,0.004755,0.006942,41,16106,0.002546,0.001827,0.003452,15,14533,0.001032,0.000578,0.001702
"region","Yorkshire and The Humber",42,11218,0.003744,0.0027,0.005057,28,9601,0.002916,0.001939,0.004212,6,8629,0.000695,0.000255,0.001513
"region","East Midlands",103,21193,0.00486,0.003969,0.005891,34,17934,0.001896,0.001313,0.002648,15,16224,0.000925,0.000518,0.001524
"region","West Midlands",60,15478,0.003876,0.002959,0.004987,26,12926,0.002011,0.001314,0.002946,15,11868,0.001264,0.000708,0.002084
"region","East of England",86,23672,0.003633,0.002907,0.004485,27,20103,0.001343,0.000885,0.001954,13,18262,0.000712,0.000379,0.001217
"region","London",91,15492,0.005874,0.004732,0.007207,22,14062,0.001565,0.000981,0.002368,11,12543,0.000877,0.000438,0.001569
"region","South West",35,16523,0.002118,0.001476,0.002945,15,14049,0.001068,0.000598,0.00176,8,12433,0.000643,0.000278,0.001267
"work_new_alt","HCW/CHW",55,9042,0.006083,0.004586,0.00791,19,8614,0.002206,0.001328,0.003442,6,8384,0.000716,0.000263,0.001557
"work_new_alt","Key worker (other)",165,31393,0.005256,0.004486,0.006119,44,24094,0.001826,0.001327,0.002451,26,20321,0.001279,0.000836,0.001874
"work_new_alt","Other worker",244,59907,0.004073,0.003579,0.004616,90,52495,0.001714,0.001379,0.002107,43,46761,0.00092,0.000666,0.001238
"work_new_alt","Not FT, PT, SE",202,60496,0.003339,0.002895,0.003832,64,52331,0.001223,0.000942,0.001561,36,49601,0.000726,0.000508,0.001005
"work_new_alt","NA",23,4618,0.004981,0.00316,0.007464,10,3310,0.003021,0.00145,0.005549,4,2341,0.001709,0.000466,0.004369
"ethnic_new_char","White",596,149859,0.003977,0.003665,0.004309,194,126966,0.001528,0.001321,0.001759,98,114853,0.000853,0.000693,0.00104
"ethnic_new_char","Asian / Asian British",52,6516,0.00798,0.005966,0.010452,14,5892,0.002376,0.0013,0.003983,12,5400,0.002222,0.001149,0.003879
"ethnic_new_char","Black / African / Caribbean / Black British",14,2151,0.006509,0.003563,0.010896,4,1965,0.002036,0.000555,0.005204,2,1752,0.001142,0.000138,0.004118
"ethnic_new_char","Mixed",8,2926,0.002734,0.001181,0.00538,7,2460,0.002846,0.001145,0.005854,0,2086,0,0,0.001767
"ethnic_new_char","Other",5,1185,0.004219,0.001371,0.009819,3,1143,0.002625,0.000542,0.007651,2,1036,0.001931,0.000234,0.006956
"ethnic_new_char","NA",14,2819,0.004966,0.002718,0.008319,5,2418,0.002068,0.000672,0.004819,1,2281,0.000438,1.1e-05,0.00244
"hh_size_cat","1",68,23576,0.002884,0.00224,0.003655,26,20336,0.001279,0.000835,0.001873,16,19394,0.000825,0.000472,0.001339
"hh_size_cat","2",177,59046,0.002998,0.002573,0.003472,64,53128,0.001205,0.000928,0.001538,27,49884,0.000541,0.000357,0.000787
"hh_size_cat","3",145,30652,0.004731,0.003993,0.005564,48,25373,0.001892,0.001395,0.002507,25,22085,0.001132,0.000733,0.001671
"hh_size_cat","4",182,35280,0.005159,0.004438,0.005963,58,28568,0.00203,0.001542,0.002624,35,24562,0.001425,0.000993,0.001981
"hh_size_cat","5",83,12055,0.006885,0.005488,0.008528,19,9582,0.001983,0.001194,0.003095,6,8196,0.000732,0.000269,0.001593
"hh_size_cat","6+",34,4847,0.007015,0.004863,0.009789,12,3857,0.003111,0.001609,0.005428,6,3287,0.001825,0.00067,0.003969
"covidcon_char","No",350,139231,0.002514,0.002258,0.002791,136,119963,0.001134,0.000951,0.001341,71,110070,0.000645,0.000504,0.000814
"covidcon_char","Yes, contact with confirmed/tested COVID-19 case",215,2587,0.083108,0.072754,0.094417,46,977,0.047083,0.034674,0.062305,22,383,0.057441,0.036345,0.085678
"covidcon_char","Yes, contact with suspected COVID-19 case",15,640,0.023438,0.013176,0.038362,5,397,0.012594,0.004102,0.029145,1,198,0.005051,0.000128,0.027817
"covidcon_char","NA",109,22998,0.00474,0.003893,0.005715,40,19507,0.002051,0.001465,0.002791,21,16757,0.001253,0.000776,0.001915
"sympt_cat","Classic COVID symptoms",223,4968,0.044887,0.039298,0.051019,45,3508,0.012828,0.009372,0.017127,14,2677,0.00523,0.002862,0.008759
"sympt_cat","Other symptoms",105,17099,0.006141,0.005025,0.007429,30,14801,0.002027,0.001368,0.002892,12,12394,0.000968,5e-04,0.001691
"sympt_cat","No symptoms",256,120482,0.002125,0.001873,0.002401,112,103135,0.001086,0.000894,0.001307,69,95642,0.000721,0.000561,0.000913
"sympt_cat","NA",105,22907,0.004584,0.003751,0.005546,40,19400,0.002062,0.001473,0.002807,20,16695,0.001198,0.000732,0.00185
"imd_quintile","1",108,15718,0.006871,0.00564,0.00829,36,12974,0.002775,0.001944,0.003839,14,11599,0.001207,0.00066,0.002024
"imd_quintile","2",142,25369,0.005597,0.004717,0.006594,46,21750,0.002115,0.001549,0.00282,25,19323,0.001294,0.000837,0.001909
"imd_quintile","3",122,35741,0.003413,0.002835,0.004074,44,30461,0.001444,0.00105,0.001939,14,27056,0.000517,0.000283,0.000868
"imd_quintile","4",157,41455,0.003787,0.003219,0.004427,48,35151,0.001366,0.001007,0.00181,34,32105,0.001059,0.000734,0.00148
"imd_quintile","5",160,47173,0.003392,0.002887,0.003959,53,40508,0.001308,0.00098,0.001711,28,37325,0.00075,0.000499,0.001084
"vax_status_char","Not vaccinated",396,89335,0.004433,0.004008,0.00489,76,40279,0.001887,0.001487,0.002361,27,22931,0.001177,0.000776,0.001713
"vax_status_char","Vaccinated 12 or more",14,6740,0.002077,0.001136,0.003483,12,9741,0.001232,0.000637,0.002151,23,22244,0.001034,0.000656,0.001551
"vax_status_char","Vaccinated 11 or less",29,12909,0.002246,0.001505,0.003225,11,9818,0.00112,0.000559,0.002004,1,2150,0.000465,1.2e-05,0.002589
"vax_status_char","NA",250,56472,0.004427,0.003896,0.00501,128,81006,0.00158,0.001318,0.001878,64,80083,0.000799,0.000616,0.00102
"vax_type_char","pfizer",18,7709,0.002335,0.001384,0.003688,2,1863,0.001074,0.00013,0.003873,2,804,0.002488,0.000301,0.008957
"vax_type_char","oxford",23,10546,0.002181,0.001383,0.003271,18,14281,0.00126,0.000747,0.001991,8,5354,0.001494,0.000645,0.002942
"vax_type_char","moderna",0,2,0,0,0.841886,0,1,0,0,0.975,0,223,0,0,0.016406
"vax_type_char","other",1,136,0.007353,0.000186,0.040286,0,59,0,0,0.060609,0,28,0,0,0.123436
"vax_type_char","NA",647,147063,0.004399,0.004068,0.004751,207,124640,0.001661,0.001442,0.001903,105,120999,0.000868,0.00071,0.00105
